row index,Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),Column 6,Column 7
18,Hastings-Brockman,Western Australia,Australia,Felsic Volcanic,36.2,Y ppm,881.9258498219758
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,La ppm,4193.121583714688
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Ce ppm,10692.582694558048
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Pr ppm,1302.5254997440466
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Nd ppm,4535.639639536393
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Sm ppm,509.8589067744945
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Eu ppm,86.57981556446377
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Gd ppm,220.79261908580597
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Tb ppm,17.866836111133907
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Dy ppm,71.67393115644255
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Ho ppm,8.976260411224267
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Er ppm,20.232389081508874
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Tm ppm,2.2508353926524634
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Yb ppm,13.545033257539277
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Lu ppm,2.2605426721399566
19,Nolans Bore,Northern Territory,Australia,Granite -Related Skarn,47.3,Y ppm,273.26533054176036
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,La ppm,151.3335387637346
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Ce ppm,344.15288813063614
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Pr ppm,46.3262351927633
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Nd ppm,206.86059914407986
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Sm ppm,64.7713902271163
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Eu ppm,9.767376676517388
20,Area 5 (Browns Range),Western Australia,Australia,Granite -Related Skarn,1.52,Gd ppm,118.252
