Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Sherridon (Cold-Lost-Bob-Jungle),Canada,VMS,,22.4128,,0.9511000857
Silver Coin,Canada,Epithermal,,1.669,0.2836488916,0.7409466747
Silver Hart,Canada,Epithermal,Low sulfidation,0.0695,1.89,9.12
Silver King (Ymir),Canada,Epithermal,,0.068136,1.704122344,0.9150459375
Silver Queen (Cole Lake),Canada,Epithermal,,0.84224448,0.8366077337,5.486940801
Silver Queen (Wrinch),Canada,Epithermal,,0.5776,1.49,6.53
Silvertip (Midway),Canada,Sediment-hosted Pb-Zn,Sedex,2.57,6.4,8.8
Sito East,Canada,Sediment-hosted Pb-Zn,Sedex,0.05,,4.5
Skidder,Canada,VMS,,1.0,,2.0
Slocan Group,Canada,Epithermal,,0.120639,3.534273825,13.61647502
Smith Copper,Canada,Skarn,,0.083906,3.7,12.5
Spar,Canada,Epithermal,,1.36,0.17,0.08
Stannex-Woolsey,Canada,Epithermal,,0.590703,2.66,1.26
Stemwinder,Canada,Sediment-hosted Pb-Zn,Sedex,0.025,3.7,15.6
Stratmat,Canada,VMS,,5.5245,2.59,6.11
Sullivan,Canada,Sediment-hosted Pb-Zn,Sedex,12.796392,11.20928859,12.03846126
Summit,Canada,Sediment-hosted Pb-Zn,Sedex,0.244,1.0,4.5
Sunrise Lake,Canada,VMS?,,4.1,2.09195122,4.994390244
Swim,Canada,Sediment-hosted Pb-Zn,,4.3,3.8,4.7
Tetagouche-Armstrong A/B,Canada,VMS,,3.865583,0.3959853119,2.11338401
Tetagouche-Canoe Landing Lake,Canada,VMS,,22.8,0.64,1.82
Tetagouche-Rocky Turn,Canada,VMS,,0.131,2.69,8.43
Tinta Hill,Canada,Epithermal?,,4.53,0.540816777,0.9127373068
Tintina (Eagle),Canada,Skarn,,0.090719,6.0,10.0
Thor,Canada,VMS,,1.064,2.41037594,3.386466165
Tom,Canada,Sediment-hosted Pb-Zn,Sedex,18.53,3.43862925,6.669249865
Tortigny,Canada,Sediment-hosted Pb-Zn,VMS-associated or SEDEX,1.197,,3.459974937
Treasure Mountain,Canada,Epithermal,,0.31,2.063064516,3.029516129
Trout Lake Camp,Canada,VMS,,0.41635,5.89251094,5.516998487
Tulsequah Chief,Canada,VMS,,6.966,1.090043066,5.835236865
Upton,Canada,Sediment-hosted Pb-Zn,MVT,1.30953,0.59,1.94
Val,Canada,Sediment-hosted U,Basal U mineralisation,0.019958,26.7,7.3
Vangorda,Canada,Sediment-hosted Pb-Zn,Sedex,7.1,3.4,4.3
Vendôme (Mogador),Canada,VMS,,0.675554,,7.498456171
Vera,Canada,Epithermal,,0.352659,3.18,3.47
Vermilion,Canada,Sediment-hosted Pb-Zn,Sedex,3.2,1.1775,4.355
Vine 1,Canada,Epithermal,,1.3,3.12,3.12
Virginia Silver,Canada,Epithermal,,0.02,4.4,2.2
Walton,Canada,Sediment-hosted Pb-Zn,Sedex,0.5,2.7,3.5
West Ansil,Canada,VMS,,1.13,,0.2938053097
Wim,Canada,VMS,,3.223,,0.3179894508
Wolf (Hasselberg),Canada,VMS,,4.1,1.8,6.2
Wolverine (Fetish),Canada,VMS,,6.154,1.61600585,12.14374391
Wrigley,Canada,Sediment-hosted Pb-Zn,MVT,10.824,1.165349224,4.15027439
Yava,Canada,VMS?,,1.3,1.6,4.96
Cachinal,Chile,Epithermal,Low sulfidation,6.47,,0.2188253478
El Toqui,Chile,Manto,Porphyry-IOCG?,11.2,0.3721160714,5.298946429
Minera Florida,Chile,Epithermal,Low sulfidation?,9.393,,1.653711274
Paguanta-Patricia,Chile,Epithermal,Low sulfidation,5.6,1.510178571,4.36875
Vallecillo-La Colorada,Chile,Porphyry,Cu-Au-Ag-Zn,27.890775,0.2336468768,0.8009406304
Aerhada,China,Epithermal,,11.4,2.3,3.3
Baiyinnour,China,Skarn,,14.21,1.97,5.53
Beiya,China,Skarn,,77.1,2.01,0.6873151751
BYP,China,Sediment-hosted Pb-Zn,MVT,32.12,0.6747198007,1.796843088
Caijiaying,China,Skarn,,49.4,0.4,4.1
Changba-Lijiagou,China,Sediment-hosted Pb-Zn,Sedex,13.5,2.0,11.0
Dakuangshan,China,Skarn,,4.359615385,2.69,5.2
Fuwan-Changkeng,China,Epithermal,Low sulfidation?,27.265,0.2290772052,0.6353570512
Huangshaping,China,Skarn,,22.43,3.6,8.0
Huayuan Fenghuang,China,Sediment-hosted Pb-Zn,MVT,50.0,,3.4
Inner Mongolia Sanguikou,China,Sediment-hosted Pb-Zn,Sedex,133.0,0.5,2.25
Jiama,China,Porphyry,Porphyry with skarn,1449.0,0.04849137336,0.02924568668
Jiawula,China,Epithermal,,5.0,3.3,5.2
Liziping,China,Sediment-hosted Pb-Zn,Sedex?,1.1967,8.072602156,3.877821509
Menghu,China,Sediment-hosted Pb-Zn,Sedex?,0.2333333333,13.8,7.8
Mengya,China,Skarn,,2.0,10.0,10.0
Nonggeshan,China,Skarn?,,20.416,1.8,1.4
Qiandongshan,China,Sediment-hosted Pb-Zn,MVT,25.0,1.8,7.7
Qinghai Deerni,China,VMS,,20.6,,0.4
Shizishan,China,Skarn,,8.501788,9.4,6.0
Xietongmen,China,Skarn,,219.8,,0.08
Xinjiang Ashele,China,VMS,,35.2,,0.8512755682
Xinjiang Wulugentashi,China,Skarn?,,136.4,0.48,2.46
Ying Group,China,Mesothermal Vein,with Orogenic Au,21.54,3.518068709,1.149856082
Berlin,Columbia,Sediment-hosted mixed,,8.7,,2.813793103
Matahambre,Cuba,Sediment-hosted Pb-Zn,Sedex,14.8,0.24,0.51
Victoria,Cuba,VMS,,0.54,0.13,0.26
Santa Lucia Castellanos,Cuba,Sediment-hosted Pb-Zn,Sedex,12.0,3.2,2.4
Kipushi,Dem. Rep. Congo,Sediment-hosted Pb-Zn,MVT?,25.975458,,19.0446207
Sable Zinc Kabwe Tailings,Dem. Rep. Congo,Sediment-hosted Pb-Zn Tailings,MVT?,5.3,,4.9
Bayaguana Group,Dom. Rep.,Epithermal,High sulfidation,2.495239,,0.8890759301
Cerro de Maimón,Dom. Rep.,VMS,,7.510129,,1.418821171
Las Animas,Dom. Rep.,VMS,,1.45,,3.205793103
Romero-Romero South,Dom. Rep.,Epithermal,Intermediate sulfidation,57.55,,0.3244761077
Curipamba-El Domo,Ecuador,VMS,,9.962,0.2332383056,2.720977715
Abu Marawat,Egypt,Orogenic Au,,2.9,,1.15
Umm Gheig,Egypt,Sediment-hosted Pb-Zn,MVT,1.5,1.3,11.0
Asmara-Adi Nefas,Eritrea,VMS,,1.841,,10.05
Asmara-Debarwa,Eritrea,VMS,,3.993,,0.9946280992
Asmara-Emba Derho,Eritrea,VMS,,85.03,,1.28542632
Bisha,Eritrea,VMS,,30.28,,4.277770806
Hambok,Eritrea,VMS,,6.882,,1.854112177
Harena,Eritrea,VMS,,2.24,,3.782589286
Northwest,Eritrea,VMS,,4.25,,0.6640941176
Huatalampi,Finland,VMS,,3.16,,0.07528481013
Kainuu-Rautavaara,Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,34.4,,0.38
Kettukumpu,Finland,VMS,,0.4,,0.1
Kylylahti,Finland,VMS,,7.7,,0.52
Perttilahti,Finland,VMS,,1.32,,1.89
Pyhäsalmi,Finland,VMS,,14.613,,1.127931978
Rauhala,Finland,Sediment-hosted Pb-Zn,Sedex,1.7,0.96,4.97
Rautavaara,Finland,IOCG,,34.4,,0.38
Riihilahti,Finland,VMS,,0.7,,0.09
Saramäki,Finland,VMS,,3.4,,0.63
Sykäräinen,Finland,VMS?,,0.2,,0.25
Talvivaara (Kolmisoppi/Kuusilampi),Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,2052.8,,0.5002542868
Vuonos,Finland,VMS,,0.76,,1.33
Arrens,France,Sediment-hosted Pb-Zn,Sedex,4.0,3.5,3.5
Trèves,France,Sediment-hosted Pb-Zn,MVT,0.06,1.4,6.0
Amtkeli,Georgia,Epithermal,,0.285,2.36,3.8
Brdzyshra,Georgia,Sediment-hosted Pb-Zn,MVT,0.25,1.2,1.0
Dambludi,Georgia,Epithermal,High sulphidation,1.869,2.67,5.31
David Garedji,Georgia,Epithermal,High sulphidation,2.0,2.5,5.0
Kvaisi,Georgia,Epithermal,,2.851,2.24,6.47
Madneuli,Georgia,Epithermal,High sulphidation,93.07,0.62,4.09
Merisi Group,Georgia,Porphyry,,3.268,1.8,1.4
Razdarankom,Georgia,Epithermal,,0.34,1.5,1.0
Rtskhmeluri,Georgia,Epithermal?,,0.255,1.61,2.67
Skatykom,Georgia,Epithermal,,0.1745,6.81,
Zeshko,Georgia,VMS,May also be Sedex?,22.88,,1.67
Tellerhäuser,Germany,Skarn,,32.2,,0.74
Geyer Southwest,Germany,Skarn,,11.6,,0.4665217391
Olympias,Greece,Skarn,,20.918,4.284601778,5.510894923
Stratoni,Greece,Skarn,,1.834,7.261395856,10.10109051
Ark,Greenland,Sediment-hosted Pb-Zn,Sedex,0.492,2.2,4.7
Black Angel,Greenland,Sediment-hosted Pb-Zn,Sedex,4.425,3.0,8.6
Blyklippen,Greenland,Sediment-hosted Pb-Zn,MVT,0.22,2.1,9.3
Citronen,Greenland,Sediment-hosted Pb-Zn,Sedex,132.0,0.4,4.0
Kvanefjeld,Greenland,Magmatic Alkaline Intrusive,Layered alkaline complex,956.0,,0.2351
Nunngarut,Greenland,Sediment-hosted Pb-Zn,Sedex,0.2,3.4,9.0
South Lakes,Greenland,Sediment-hosted Pb-Zn,Sedex,1.7,2.5,6.9
Holly-Banderas (HB)-Escobal,Guatemala,Epithermal,Low sulfidation,31.7,0.6563091483,1.190031546
Torlon Hill,Guatemala,Manto,Oxide Zinc - IOCG? ,2.173686,2.373748743,6.878928636
El Mochito,Honduras,Skarn,,6.42,2.273831776,5.565482866
Ajari,India,VMS,,0.1,,3.5
Ambaji,India,Sediment-hosted Pb-Zn,MVT,8.8,3.1,4.2
Ambamata,India,Sediment-hosted Pb-Zn,Sedex,8.3,6.0,6.0
Askot,India,VMS,,2.009,3.686117471,5.708033848
Bajta Central,India,Sediment-hosted Pb-Zn,Sedex,1.22,2.57,3.84
Ballaria,India,Sediment-hosted Pb-Zn,Sedex,16.0,1.17,5.85
Bamnai Kalan,India,Sediment-hosted Pb-Zn,Sedex,16.3,1.666871166,4.03190184
Baroi,India,Sediment-hosted Pb-Zn,Sedex,7.0,4.6,1.71
Basantgarh,India,VMS,,3.5,,1.3
Bethumni,India,Sediment-hosted Pb-Zn,Sedex,0.23,1.64,1.0
Bhilwara,India,Sediment-hosted Pb-Zn,Sedex,7.1,0.86,1.4
Danva,India,VMS,,0.3,0.5,6.4
Deri,India,Sediment-hosted Pb-Zn,Sedex,1.0,5.4,7.3
Devpura,India,Sediment-hosted Pb-Zn,Sedex,17.49,0.44,1.84
Ganeshpura,India,Sediment-hosted Pb-Zn,Sedex,0.77,2.675,
Gorubathan,India,Sediment-hosted Pb-Zn,Sedex,2.79,4.0,4.23
Kalabar,India,VMS,,1.0,,6.7
Kankariya,India,Sediment-hosted Pb-Zn,Sedex,9.01,2.56,3.22
Kayad,India,Sediment-hosted Pb-Zn,Sedex,7.7,1.545454545,10.60909091
Kolari,India,Sediment-hosted Pb-Zn,Sedex,8.2,,6.8
Madarpura,India,Sediment-hosted Pb-Zn,Sedex,6.6,,5.51
Mochia,India,Sediment-hosted Pb-Zn,Sedex,27.0,1.69,3.79
Mokanpura North,India,Sediment-hosted Pb-Zn,Sedex,40.0,0.6,2.4
Paduna North Block,India,Sediment-hosted Pb-Zn,Sedex,3.14,0.67,3.25
Pipela,India,VMS,,0.6,,1.8
Rajpura Dariba,India,Sediment-hosted Pb-Zn,Sedex,54.2,2.041143911,6.892250923
Rampura Agucha,India,Sediment-hosted Pb-Zn,Sedex,109.4,1.99725777,12.78564899
Rangpo,India,Sediment-hosted Pb-Zn,Sedex,0.56,1.1,2.6
Rewara,India,Sediment-hosted Pb-Zn,Sedex,1.2,5.4,0.4
Saladipura,India,Sediment-hosted Pb-Zn,Sedex,115.0,,1.0
Samodi,India,Sediment-hosted Pb-Zn,Sedex,3.69,1.37,1.85
Sargipali,India,Sediment-hosted Pb-Zn,Sedex,2.0,5.94,
Sawar,India,Sediment-hosted Pb-Zn,Sedex,0.9,2.54,1.45
Sindesar Khurd,India,Sediment-hosted Pb-Zn,Sedex,99.1,2.593138244,4.320383451
South Dedwas,India,Sediment-hosted Pb-Zn,Sedex,18.38,0.79,1.3
Tikhi,India,Sediment-hosted Pb-Zn,Sedex,1.47,1.9,2.59
Tiranga,India,Sediment-hosted Pb-Zn,Sedex,1.15,1.75,1.13
Zawar,India,Sediment-hosted Pb-Zn,Sedex,78.5,2.097324841,4.791719745
Dairi-Anjing Hitam,Indonesia,Sediment-hosted Pb-Zn,Sedex,8.11,9.1,14.6
Dairi-Base Camp,Indonesia,Sediment-hosted Pb-Zn,Sedex,0.83,5.003614458,4.96746988
Dairi-Lae Jahe,Indonesia,Sediment-hosted Pb-Zn,Sedex,16.18,4.5,8.2
Atlantis II,International,VMS,Seafloor Massive sulfide,89.5,,2.06
Angouran,Iran,Sediment-hosted Pb-Zn,Sedex,22.23,3.950157445,30.31322537
Anjireh-Vejin,Iran,Sediment-hosted Pb-Zn,MVT,1.16,2.7522,5.5878
Emarat,Iran,Sediment-hosted Pb-Zn,MVT,10.0,2.26,6.0
Heyder Abad,Iran,Sediment-hosted Pb-Zn,MVT,0.12,8.0,1.0
Irankuh,Iran,Sediment-hosted Pb-Zn,MVT,10.0,2.4,7.4
Kuh-e-Surmeh,Iran,Sediment-hosted Pb-Zn,MVT,0.9,5.4,12.1
Kushk,Iran,Sediment-hosted Pb-Zn,Sedex,4.0,3.0,10.0
Mehdiabad,Iran,Sediment-hosted Pb-Zn,Sedex/MVT?,394.0,1.6,4.2
Nakhlak,Iran,Sediment-hosted Pb-Zn,MVT,7.0,8.33,0.38
Reza Barak,Iran,Sediment-hosted Pb-Zn,MVT,0.15,7.0,2.5
Allenwood West,Ireland,Sediment-hosted Pb-Zn,MVT,10.1,0.4,1.6
Ballinalack,Ireland,Sediment-hosted Pb-Zn,MVT,7.83,1.1,6.8
Courtbrown,Ireland,Sediment-hosted Pb-Zn,MVT,1.0,2.0,3.5
Garrycam,Ireland,Sediment-hosted Pb-Zn,MVT,1.35,0.18,2.67
Harberton Bridge,Ireland,Sediment-hosted Pb-Zn,MVT,3.7,1.1,8.8
Keel,Ireland,Sediment-hosted Pb-Zn,MVT,1.85,1.04,7.71
Lisheen,Ireland,Sediment-hosted Pb-Zn,MVT,3.8,2.096315789,12.555
Moyvoughly,Ireland,Sediment-hosted Pb-Zn,MVT,0.125,2.666666667,5.333333333
Oldcastle,Ireland,Sediment-hosted Pb-Zn,MVT,3.0,0.6,4.3
Pallas Green,Ireland,Sediment-hosted Pb-Zn,MVT,42.0,1.0,7.0
Rickardstown,Ireland,Sediment-hosted Pb-Zn,MVT,3.5,1.1,2.2
Silvermines,Ireland,Sediment-hosted Pb-Zn,MVT,6.89,3.833333333,7.666666667
Tara (Navan),Ireland,Sediment-hosted Pb-Zn,MVT,26.4,1.761742424,6.765909091
Tatestown,Ireland,Sediment-hosted Pb-Zn,MVT,3.6,2.3,4.6
Alaigyr (Alaigir),Kazakhstan,VMS?,,50.0,5.0,
Central Region (formerly Karaganda),Kazakhstan,Porphyry and VMS deposits,,5396.766,,0.008461278477
Chashinskoye Tailings,Kazakhstan,VMS? Tailings,,88.0,0.2,0.4340909091
Dolinnoe,Kazakhstan,VMS?,,3.01,1.396212625,2.758239203
East Region,Kazakhstan,VMS?,,91.807,0.87,3.64
Maleevsky,Kazakhstan,VMS,,22.6,1.371327434,7.259469027
Novo-Leninogorskoye,Kazakhstan,VMS,,40.0,1.0,4.0
Obruchevskoe,Kazakhstan,VMS?,,5.16,3.347713178,8.501162791
Ridder-Sokolny,Kazakhstan,VMS,,41.4,0.5734299517,1.317874396
Shaimerden Stockpile,Kazakhstan,VMS?,Non-sulfide Zinc,2.0,,22.0
Shalkiya,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,274.0,0.7613138686,3.091970803
Shubinsky,Kazakhstan,VMS,,3.85,0.4426753247,2.149532468
Staroye Tailings,Kazakhstan,VMS? Tailings,,6.7,0.3432835821,0.6432835821
Talap,Kazakhstan,Sediment-hosted Pb-Zn,Sedex,11.14,2.353860862,4.706024237
Tishinksy,Kazakhstan,VMS,,17.8,0.9671910112,4.482696629
Tishinsky Tailings,Kazakhstan,VMS Tailings,,1.15,0.44,2.26
Zhairem,Kazakhstan,Sediment-hosted Pb-Zn,,20.0,2.0,5.0
Bumbo,Kenya,Sediment-hosted Pb-Zn,Sedex,1.58,,4.5
Boz Emchek,Kyrgyzstan,Skarn,,17.84210526,4.0,4.3
Mironovskoye,Kyrgyzstan,Skarn?,,1.58223,0.52,
Kasi,Laos,Sediment-hosted Pb-Zn?,MVT?,0.9,1.9,9.0
Lamphun,Laos,Sediment-hosted Pb-Zn,MVT,2.1,1.2,7.2
Angangueo,Mexico,Epithermal,High to intermediate sulfidation,6.636,0.438,2.63
Bahuerachi,Mexico,Porphyry-Skarn,,604.685,,0.5342247782
Bilbao,Mexico,Skarn,,11.05,1.989493213,2.103149321
Bismark,Mexico,Skarn,,6.142,0.55,6.11
Boleo,Mexico,Skarn-Manto,,424.53,,0.663782536
Bolivar Group,Mexico,Skarn,,34.658,,0.7510984477
Buenavista Zinc,Mexico,Skarn?,,36.0,,3.3
Camino Rojo,Mexico,Skarn,,363.98,0.07502610034,0.26
Campo Morado Group,Mexico,VMS,,19.1,0.8688691099,3.690062827
Capire-Aurora 1,Mexico,VMS,,5.283312,0.3367506443,0.8700785379
Cerro Prieto,Mexico,Epithermal,overprints mesothermal mineralisation,23.156,0.2343427189,0.651326654
Chalchihuites,Mexico,Epithermal,,16.0,0.36,3.08
Cieneguita,Mexico,Epithermal,,57.963,0.1465500233,0.2370313648
Cinco de Mayo (Upper Manto),Mexico,Skarn,,14.93,2.55,5.77
Cordero,Mexico,Porphyry,,940.62,0.2482194276,0.4641076779
Cozamin Group,Mexico,Epithermal-Mesothermal,Intermediate sulfidation?,17.06,0.2686694021,1.350375147
Cusi Group,Mexico,Epithermal,,4.617036,0.1954406177,0.1803536715
Del Toro,Mexico,Skarn,,17.392711,2.455326338,3.589937106
El Tecolote (Reyna del Cobre) Tailings,Mexico,Skarn Tailings,,1.0,,2.3
Francisco I Madero,Mexico,Skarn,,47.225,0.74,2.17
Fresnillo-San Julián,Mexico,Epithermal,Intermediate sulfidation,21.299,0.5502666792,1.420423964
La Arista-El Aguila,Mexico,Epithermal,,4.48,1.2,4.1
La Colorada,Mexico,Epithermal,Low sulfidation,11.5,1.172434783,2.045826087
La Encantada,Mexico,Sediment-hosted Pb-Zn,MVT,9.587897,1.619442293,2.441913049
La Encantada Tailings,Mexico,Sediment-hosted Pb-Zn Tailings,MVT,5.304946,0.6,0.2
La Frazada,Mexico,Epithermal,,1.117,0.8948155774,2.526051925
La Negra,Mexico,Skarn,,40.299,0.9009335219,2.294209037
La Parilla,Mexico,Skarn,,19.1562,1.200345142,1.418932565
Los Gatos,Mexico,Epithermal,,25.49,1.324950961,2.724872499
Metates,Mexico,Skarn,,1.246916,,0.1566685928
Miguel Auza,Mexico,Epithermal,High and low sulphidation,2.0,2.2,2.3
Minera Ciénega,Mexico,Epithermal,Low sulfidation,31.75,0.5354110236,0.9546834646
Minera Fresnillo (underground),Mexico,Epithermal,Low sulfidation,69.49,1.451413153,2.823540078
Minera Juanicipio,Mexico,Epithermal,,8.021,1.918182272,3.486512904
Minera Parreña-Guachichil,Mexico,Epithermal?,Low sulfidation?,44.25,0.11,0.17
Minera Parreña-Leones,Mexico,Epithermal?,Low sulfidation?,7.049,1.46,1.27
Minera Parreña-Lucerito,Mexico,Epithermal?,Low sulfidation?,162.716,0.2574473315,0.4132631087
Minera Saucito,Mexico,Epithermal,Intermediate sulfidation,44.39,1.373025456,2.385532778
Naica,Mexico,Skarn,,13.536,2.19,5.18
Namiquipa,Mexico,Epithermal,Low/Intermediate sulfidation,7.6,0.88,1.54
Nuestra Señora,Mexico,Skarn,,4.445,0.81471991,1.604706412
Peñasquito (mill),Mexico,Skarn,,851.37,0.3042597226,0.8263523497
Pitarrilla,Mexico,Epithermal,Intermediate sulfidation,282.4,0.3113916431,0.7020007082
Platosa,Mexico,Manto/Skarn/Epithermal?,,0.706,9.184915014,10.65895184
Plomosas (Rosario-San Juan),Mexico,Sediment-hosted Pb-Zn,MVT,0.895512,2.1,3.4
Rey de Plata,Mexico,VMS,,25.2,2.1,8.3
Rosario,Mexico,Epithermal,Low sulfidation?,1.66,0.9020240964,2.210746988
Sabinas,Mexico,Sediment-hosted Pb-Zn,MVT,13.155,1.25,2.06
San Agustín,Mexico,Skarn,,212.2,0.06429783223,0.4857021678
San Felipe (Hochschild),Mexico,Epithermal,,4.005708,2.711162219,6.493533238
San Felipe (Santacruz),Mexico,Skarn,,8.944,2.378852862,4.014948569
San José,Mexico,Epithermal,Low sulfidation,32.5,0.38,0.7821538462
San José de Gracia,Mexico,Epithermal,Low sulfidation,15.058,0.03153074778,0.1770474167
San Marcial,Mexico,Epithermal,Low sulfidation,2.3,0.32,0.66
San Martin (Pb-Zn-Ag-Au only),Mexico,Skarn,,1.735048,0.7,1.557269943
San Nicolas,Mexico,VMS,,21.54,,1.604846797
San Rafael,Mexico,Skarn,,23.243,0.6444340231,1.360389795
San Sebastian,Mexico,Epithermal,Low/Intermediate sulfidation,5.0286096,0.6719465993,0.9359732997
Sierra Mojada,Mexico,Sediment-hosted Pb-Zn,MVT,94.5,,1.27
SCC-IMMSA Group (Charcas-Santa Barbara-San Martin-Santa Eulalia-Taxco),Mexico,Epithermal-Skarn,Skarn may be dominant?,48.765,0.957,2.882
Terrazas,Mexico,IOCG?,,90.64,,1.347278685
Tizapa,Mexico,VMS,,10.873,1.36,5.38
Topia,Mexico,Epithermal,Low sulfidation,0.4288,5.985247201,4.038619403
Velardeña (Peñoles),Mexico,Skarn,,29.938,0.48,4.21
Velardeña-Chicago (GM),Mexico,Skarn,,2.138,1.188821328,1.248119738
Brskovo,Montenegro,Sediment-hosted Pb-Zn,Sedex,2.51,3.17,3.84
Visnjica,Montenegro,Sediment-hosted Pb-Zn,Sedex,1.9,1.51,2.98
Zuta Prla,Montenegro,Sediment-hosted Pb-Zn,Sedex,4.74,0.11,4.06
Boumadine,Morocco,Epithermal,Low-sulfidation,3.83897,0.86,3.9
Hajar,Morocco,Sediment-hosted Pb-Zn,MVT,19.0,2.0,7.0
Tighza,Morocco,Skarn,,15.881,7.062468358,1.31944399
Berg Aukus,Namibia,Sediment-hosted Pb-Zn,MVT,1.3396,3.69,14.74
Gergarub,Namibia,Sediment-hosted Pb-Zn,Sedex,17.5,2.3,8.6
Namib,Namibia,Sediment-hosted Pb-Zn,Sedex,0.917,2.4,5.7
Namib Tailings,Namibia,Sediment-hosted Pb-Zn Tailings,,0.61,0.3,2.1
Rosh Pinah,Namibia,Sediment-hosted Pb-Zn,Sedex,14.62,1.63619699,7.616484268
Skorpion,Namibia,VMS,Non-sulfide Zinc,7.1,,9.672535211
Tsongoari,Namibia,Sediment-hosted Pb-Zn,Sedex?,5.8,6.4,0.8
Tsumeb Tailings,Namibia,Sediment-hosted Pb-Zn Tailings,MVT?,12.0,0.77,0.63
Ganesh Himal-Lari I,Nepal,Sediment-hosted Pb-Zn,Sedex,1.3,2.13,13.35
Ganesh Himal-Suple,Nepal,Sediment-hosted Pb-Zn,Sedex,1.1,4.05,16.25
Hysean,North Korea,Porphyry,,160.0,3.2,3.6
Goemdok (Gumdock),North Korea,Sediment-hosted Pb-Zn,MVT,266.0,0.88,4.21
Duddar,Pakistan,Sediment-hosted Pb-Zn,Sedex,14.48,3.4,9.9
Gunga (Khuzdar),Pakistan,Sediment-hosted Pb-Zn,Sedex,9.9,1.4,5.4
Accha (AZOD),Peru,Skarn,Non-sulfide Zinc,8.3,0.7966301205,6.187691566
Alpamarca,Peru,Manto-Cu,IOCG?,11.008,0.8920448765,1.392779797
Anamaray,Peru,Skarn,,0.173,0.38,4.32
AntaKori-Sinchao,Peru,Epithermal,High sulfidation,519.541,0.05,0.19
Antamina,Peru,Skarn,Porphyry-related,2121.0,,0.6544507308
Ariana,Peru,Skarn,,10.985329,,1.792279621
Atacocha,Peru,Skarn,,18.093468,1.37,3.92
Ayawilca,Peru,Skarn,,13.3,0.2,5.9
Bongará-Florida Canyon,Peru,Sediment-hosted Pb-Zn,MVT,11.85,1.344194093,11.31628692
Caylloma,Peru,Epithermal,Intermediate sulfidation,11.256,1.812955757,2.679493603
Cerro de Pasco,Peru,Epithermal,High to intermediate-low sulfidation,203.097,1.059435442,2.548925833
Cerro Lindo,Peru,VMS,,85.107369,0.29,2.57
Chungar,Peru,Skarn,,18.271,2.121456954,6.623819167
Contonga,Peru,Skarn,,3.11,1.161897106,3.960900322
Corani,Peru,Epithermal,Low-to-intermediate sulfidation,340.384,0.6333830262,0.3810497996
Coricancha,Peru,Skarn,,5.719,1.642107012,3.010610247
El Brocal (Colquijirca),Peru,Skarn,,45.926,0.86,2.53
El Porvenir,Peru,Skarn,,40.972762,0.89,4.64
Hilarion,Peru,Skarn,,60.45558,0.65,4.38
Huampar,Peru,Epithermal-Mesothermal,,0.874412,3.31,3.63
Huaron,Peru,Epithermal,Low sulfidation?,22.6,1.554380531,2.870265487
Invicta,Peru,Epithermal,Intermediate sulfidation,11.178,0.2485587762,0.2585024155
Iscaycruz,Peru,Skarn,,16.73,0.6382785415,5.085774059
Islay,Peru,Epithermal?,Low sulfidation?,0.3,0.54,1.12
Julcani,Peru,Epithermal,High to intermediate sulfidation,0.373,2.27,
La Granja,Peru,Porphyry,Cu-Mo,3600.0,,0.09
Mallay,Peru,Skarn,,0.123,6.64,8.47
Morococha,Peru,Epithermal,?low sulfidation?,15.3,1.39503268,4.579673203
Oyama,Peru,Epithermal?,Low sulfidation?,6.79,,0.23
Palma,Peru,Sediment-hosted Pb-Zn,Sedex?,8.0,,4.42
Pilarica (Fresnillo Peru),Peru,Epithermal,Low sulfidation,10.828,0.31,0.5
Pucarrajo,Peru,Sediment-hosted Pb-Zn,Sedex?,0.79,0.7,8.01
Quiruvilca,Peru,Epithermal,Low sulfidation,9.1638,0.7956011698,2.387736747
Recuperada,Peru,Epithermal,,0.064,3.55,6.49
Rio Pallanga,Peru,Epithermal,Low sulfidation,1.49,0.69,1.16
San Gregorio,Peru,Epithermal,High sulfidation,79.933811,1.528,5.223
San Sebastián,Peru,Epithermal,Low sulfidation,0.91,3.85,6.06
Santander (Magistral-Puajanca),Peru,Skarn,,31.055,0.5235923362,3.318203832
Santander Tailings,Peru,Skarn Tailings,,4.192,,1.93
Tajo Norte-La Llave,Peru,Epithermal,Low sulfidation,45.926,0.86,2.53
Tambomayo,Peru,Epithermal,Low sulfidation,1.6,2.1,3.0
"Uchucchacua (Jancapata, Yumpag)",Peru,Skarn,,3.836,1.039011992,1.400182482
Vinchos,Peru,Epithermal,High sulfidation?,1.349,1.595997035,3.157375834
Yanque,Peru,Skarn,Non-sulfide Zinc,27.66,2.133933116,2.361547361
Yauli,Peru,Skarn,,71.745,0.7704001673,4.485724998
Yauliyacu,Peru,Epithermal?,,23.54,1.207612574,3.782039082
Yauricocha,Peru,Skarn,,6.509,2.526388078,3.333780919
Zoraida,Peru,Epithermal?,Low sulfidation?,5.64,1.301134752,0.9768439716
Canatuan,Philippines,VMS,,0.994563,,0.73
Manat-Magas,Philippines,Epithermal,,2.7,0.85,1.58
Ungay-Malobago (Rapu Rapu),Philippines,VMS,,5.136,0.09764602804,2.377295561
