Deposit,Country,Primary Deposit Type,Secondary Deposit Type,Mt ore,%Pb,%Zn
Mariposa,Australia,VMS,,0.574,5.1,1.9
Mayfield,Australia,Skarn,,4.9,,0.5967346938775511
McArthur River,Australia,Sediment-hosted Pb-Zn,Sedex,194.0,4.049536082474227,9.206185567010309
Menninnie Dam,Australia,Sediment-hosted Pb-Zn,Sedex,7.7,2.6,3.1
Merlin-Little Wizard,Australia,IOCG,Cloncurry-type,6.715,0.01997766195,0.1426656739
Mons Cupri,Australia,VMS,,4.607,0.5,1.3
Morrison,Australia,Skarn,,1.93,0.3,5.4
Mt Angelo North,Australia,Porphyry,Porphyry Cu-Au-Pb-Zn,0.124,0.5387096774193548,2.6612903225806455
Mt Ararat,Australia,VMS,,1.3,,0.4
Mt Bonnie,Australia,VMS,,0.65,2.0,9.0
Mt Charter,Australia,VMS,,6.1,,0.5
Mt Clement-Eastern Hills,Australia,Epithermal,Low sulfidation?,0.607,2.4,
Mt Dore,Australia,IOCG,,144.3,0.05328482328,0.3018780319
Mt Garnet Group,Australia,Skarn,,9.633233,0.3896732280844863,7.799577327777704
Mt Isa (Open Cut),Australia,Sediment-hosted Pb-Zn,Sedex,427.8,2.4990042075736327,3.3728190743338002
Mt Isa-Black Star,Australia,Sediment-hosted Pb-Zn,Sedex,24.400000000000002,3.1126229508196723,4.597090163934427
Mt Isa-George Fisher North,Australia,Sediment-hosted Pb-Zn,Sedex,145.1,3.9301585113714688,8.34459682977257
Mt Isa-George Fisher South (Hilton),Australia,Sediment-hosted Pb-Zn,Sedex,56.0,5.310714285714285,7.821785714285714
Mt Isa-Handle Bar Hill,Australia,Sediment-hosted Pb-Zn,Sedex,8.27,2.421064087061669,5.698101571946796
Mt Moss,Australia,Skarn,,20.0,,0.35
Mt Mulcahy,Australia,VMS,,0.227899,0.17,1.85
Mulgul-Jillawarra (Abra),Australia,VMS,,107.0,3.494392523364486,0.08691588785046729
Myrtle,Australia,Sediment-hosted Pb-Zn,Sedex,43.6,0.95,4.09
Narrawa,Australia,Skarn,,0.209338,1.3221077874060132,1.1132319024735118
Nightflower-Digger Lode,Australia,VMS,,0.215534,4.91,2.2
Nimbus,Australia,Epithermal,High sulfidation,4.87613,0.14567621444344522,1.328
Northampton-Mary Springs,Australia,Epithermal,Low sulfidation?,0.145097,11.46,
Nymagee,Australia,Sediment-hosted Pb-Zn,Sedex,8.096,0.3,0.7
O'Callaghans,Australia,Skarn,,78.0,0.2472692307692308,0.5038461538461539
Oceana,Australia,Sediment-hosted Pb-Zn,MVT,2.1450389999999997,1.22,4.41
Onedin (Koongie Park),Australia,VMS,,4.458,0.92,3.24
Parkers Hill (Mineral Hill),Australia,VMS,,4.867,1.684857201561537,0.935196219437025
Peelwood North/South,Australia,VMS,,0.895,0.7257206703910616,3.9948603351955314
Pegmont,Australia,Sediment-hosted Pb-Zn,Sedex,8.852,3.4649062358788973,1.4796825576140984
Peterlumbo-Paris,Australia,Epithermal,High sulfidation?,5.9,0.6,
Prairie Downs,Australia,VMS,,2.98,1.588,4.94
Que River-Que River S Lens,Australia,VMS,,0.6800000000000002,2.45,4.935294117647058
Queenslander,Australia,Skarn,,1.59,0.1,4.5
Quinns-Austin,Australia,VMS,,1.48,,1.39
Railway Flat,Australia,Skarn,,0.9,0.9,3.4
Range & Turtle/Copper Ridge,Australia,Epithermal,Low sulfidation?,0.131,1.8854961832061068,
Red Cap Group,Australia,Skarn,,3.832,0.19697286012526097,4.800156576200418
Rosebery-South Hercules,Australia,VMS,,19.1,3.493717277486912,11.002094240837696
Salt Creek,Australia,VMS,,1.003,2.1,7.0
Sandiego,Australia,VMS,,3.53,,4.050991501416431
Sandy Creek,Australia,Sediment-hosted Pb-Zn,,24.381,0.45,1.81
Silver King,Australia,Sediment-hosted Pb-Zn,Sedex,1.6,13.9,5.1
Sorby Hills,Australia,Sediment-hosted Pb-Zn,MVT,16.7,4.5,0.7
Stockman,Australia,VMS,,13.986,0.6515151515151514,4.0
Sulphur Springs,Australia,VMS,,12.831,0.2,4.1
Sunny Corner,Australia,VMS,,1.5,2.1,3.7
Sunshine,Australia,Sediment-hosted Pb-Zn,MVT,0.2876,1.5,2.8
Sunter,Australia,Sediment-hosted Pb-Zn,Sedex,0.3756,1.6,3.8
Tally Ho,Australia,Orogenic Au?,,0.733,0.9,0.83
Teena,Australia,Sediment-hosted Pb-Zn,Sedex,58.0,1.6,11.1
Teutonic Bore,Australia,VMS,,1.554,,2.5
Thalanga Group,Australia,VMS,,4.1713,2.2525783328938225,7.927348788147582
Trilogy,Australia,Orogenic Au,Associated with Kundip,6.24,2.0,1.2
Turner River-Orchard Well/Discovery,Australia,VMS,,2.6100000000000003,1.0699616858237548,2.6713793103448276
Wagga Tank,Australia,Orogenic Au,,1.25,1.76,3.3
Walford Creek,Australia,Sediment-hosted Pb-Zn,Sedex,48.3,0.8300000000000001,0.8800000000000001
Webbs,Australia,Epithermal,,1.49,0.71,1.56
Whim Creek,Australia,VMS,,0.972,0.2,1.1
Whundo Cu-Zn / Zn,Australia,VMS,,2.875,,1.3490852173913042
Wonawinta,Australia,Sediment-hosted Pb-Zn,MVT?,41.5,0.5,
Woodlawn Tailings,Australia,Sediment-hosted Pb-Zn/VMS Tailings,Sedex/VMS,11.65,1.3484120171673821,2.285579399141631
Woodlawn Underground,Australia,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,10.1,4.029029702970297,10.152178217821783
Zeehan Group Slag,Australia,VMS Slag,VMS Slag,0.42,1.5,13.6
Filizchay (Filizchai),Azerbaijan,Sediment-hosted Pb-Zn,Sedex,95.0,1.43,3.63
Bolivar,Bolivia,Epithermal,Bolivian Polymetallic vein type?,4.1,0.9170731707,9.804878049
Caballo Blanco,Bolivia,Epithermal?,Bolivian Polymetallic vein type?,2.33,2.233690987,8.735579399
La Solución Tailings,Bolivia,Epithermal ? Tailings,Bolivian Polymetallic vein type?,0.3652996,0.3140353584,2.230239027
La Solución-Veta Hampaturi Sur,Bolivia,Epithermal,Bolivian Polymetallic vein type?,0.1163,1.2,5.1
Malku Khota,Bolivia,Sediment-hosted Pb-Zn,Sedex,485.005179,0.07722341148,0.04448444443
Paca,Bolivia,Epithermal,,18.4161,0.68,1.16
Poopo,Bolivia,Epithermal?,,2.23,0.484529148,6.198609865
Porco,Bolivia,Epithermal?,,2.35,0.8372340426,9.176595745
Pulacayo-Paya,Bolivia,Epithermal,,20.743,0.7619114882,1.365490527
San Vicente (Bolivia),Bolivia,Epithermal,,6.6,0.296969697,2.573787879
Kihabe,Botswana,Sediment-hosted Pb-Zn,Sedex,14.4,0.76,1.75
Nxuu,Botswana,Sediment-hosted Pb-Zn,,10.9,1.4,1.8
Aripuanã (Ambrex-Arex-Expedito-Valley),Brazil,VMS,,33.8,1.492485207,4.261183432
Boquira,Brazil,Sediment-hosted Pb-Zn,,7.0,4.7,0.6
Canoas,Brazil,Sediment-hosted Pb-Zn,Sedex,1.5,3.5,3.5
Fagundes,Brazil,Sediment-hosted Pb-Zn,MVT,3.0,,4.5
Irecê,Brazil,Sediment-hosted Pb-Zn,,1.5,,7.9
Januaria,Brazil,Sediment-hosted Pb-Zn,MVT,0.1,7.5,4.0
Morro Agudo,Brazil,Sediment-hosted Pb-Zn,Sedex,9.47,2.0,6.13
Nova Redenção (New Redemption),Brazil,Sediment-hosted Pb-Zn,,5.2,6.3,0.5
Palmeirópolis,Brazil,VMS,,6.89032,0.9974735571,4.536967514
Perau,Brazil,Sediment-hosted Pb-Zn,MVT,3.3,4.13,1.88
S. Maria,Brazil,Sediment-hosted Pb-Zn,,46.0,1.3,0.9
Tres Irmas,Brazil,Sediment-hosted Pb-Zn,MVT,7.0,1.4,7.6
Vazante,Brazil,Sediment-hosted Pb-Zn,,18.8,,23.7
Perkoa,Burkina Faso,VMS,,12.96,0.1444444444,9.822222222
Abcourt-Barvue,Canada,VMS,,10.127143,,3.029901403
Akie-Cardiac Creek,Canada,Sediment-hosted Pb-Zn,Sedex,68.19,0.9714025517,5.200339639
Aldermac,Canada,VMS,,1.54224,,3.0
Amy,Canada,Sediment-hosted Pb-Zn,?,0.072431,2.84,6.03
Andrew (Lad),Canada,Mesothermal Vein,,7.762,1.4,5.8
Atlin-Ruffner,Canada,Epithermal?,,0.113638,5.0,
Barvallée,Canada,VMS,,0.275922,,4.385592885
Bear,Canada,VMS,,1.13625,2.2,5.1
Bear-Twit,Canada,Sediment-hosted Pb-Zn,MVT,9.07,2.6,5.4
Belfort (Roymont),Canada,VMS,,0.066625,,5.71
Bend 1 (Canyon Zone),Canada,Sediment-hosted Pb-Zn,SEDEX,5.0,2.3,0.6
Berrigan North (Taché),Canada,VMS,,1.388915,,3.17
Berrigan South (Lac Taché),Canada,VMS,,0.259637,,3.05
Beveley,Canada,Sediment-hosted Pb-Zn,MVT?,2.7213,3.66,
Big Bull,Canada,VMS,,0.959,2.126131387,5.034306569
Big Ledge,Canada,Sediment-hosted Pb-Zn,Sedex,6.5,,4.0
Big Showing (Teddy Glacier),Canada,Sediment-hosted Pb-Zn,MVT,0.044216928,7.94,6.74
Blende,Canada,Sediment-hosted Pb-Zn,MVT,19.6,2.8,3.04
Bobby's Pond,Canada,VMS,,2.272,0.3519322183,4.164480634
Boomerang-Domino (Tulks South),Canada,VMS,,2.0772,2.921796649,6.820892548
Bowler Creek,Canada,VMS,VMS,0.296,0.765,2.575
Brabant Lake,Canada,VMS,,4.45,0.1631460674,6.753202247
