row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
8,Philippines,Agata Group,Deposit,,,OC,"Mindoro Resources-75%, Minimax Mineral Expl.-25%",,HPAL,Inferred,2.4,%SiO2,33
9,Greece,Agios Ioannis,Operating,,,,Larco,,RKEF,Inferred,57.1,%Ni,0.77
10,Brazil,Água Branca,Deposit,,,,unknown,,,Inferred,4.531,%Ni,1.4
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,%Cu,0.5830675422138837
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,g/t Au,0.14
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,%Ni,0.6
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,%Co,0.01
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,g/t Pt,0.1785
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,g/t Pd,0.255
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Measured,4.264,g/t Rh,0.0765
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,%Cu,0.5
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,g/t Au,0.14
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,%Ni,0.6
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,%Co,0.01
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,g/t Pt,0.1785
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,g/t Pd,0.255
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Indicated,1.527,g/t Rh,0.0765
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,%Cu,0.2
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,g/t Au,0.14
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,%Ni,0.4
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,%Co,0.01
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,g/t Pt,0.1785
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,g/t Pd,0.255
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Inferred,0.043,g/t Rh,0.0765
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,%Cu,0.5665895418787599
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,g/t Au,0.14
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,%Ni,0.6832947709393798
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,%Co,0.01
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,g/t Pt,0.1785
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,g/t Pd,0.255
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Proven,2.161,g/t Rh,0.0765
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,%Cu,0.5
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,g/t Au,0.14
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,%Ni,0.6
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,%Co,0.01
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,g/t Pt,0.1785
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,g/t Pd,0.255
11,Spain,Aguablanca,C&M,,,,Lundin Mining,,,Probable,1.289,g/t Rh,0.0765
12,Finland,Ahokkala,Deposit,,,,unknown,,,Inferred,0.02,%Cu,0.2
12,Finland,Ahokkala,Deposit,,,,unknown,,,Inferred,0.02,%Ni,1.25
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,%Cu,0.1279921000658328
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,g/t Au,0.2414843094140883
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,%Ni,0.23797893350888746
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,g/t Pt,1.729208267281106
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,g/t Pd,2.0413440895325876
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Indicated,151.89999999999998,g/t Rh,0.15165019486504283
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,%Cu,0.09933497536945812
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,g/t Au,0.19825397413793108
13,South Africa,Akanani,Deposit,,,,Lonmin,,,Inferred,81.19999999999999,%Ni,0.1780049261083744
