Country,Project,Status,Location,Location,Mine,Company,Economic,Principal,Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves
Finland,Ahokkala,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.02,0.2,,,,,,,1.25,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Akanani,Deposit,,,,Lonmin,,,0,,,,,,,,,,,,,,,,,,,,,151.89999999999998,0.1279921000658328,0.2414843094140883,,,,,,0.23797893350888746,,1.729208267281106,2.0413440895325876,0.15165019486504283,,,,,,,,,81.19999999999999,0.09933497536945812,0.19825397413793108,,,,,,0.1780049261083744,,1.418353511083744,1.6623498817733993,0.12451818349753693,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Russia,Akkim,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.75,0.335,,,,,,,0.47,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Alexo-Kelex,C&M,,,,Tartisan Nickel,,,0,,,,,,,,,,,,,,,,,,,,,0.473,0.04,0.01,,,,,,0.96,0.03,0.03,0.07,,,,,,,,,,0.066,0.04,0.01,,,,,,0.82,0.02,0.01,0.02,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Alpha,Care & Maint.,,,OC,DMCI Mining Corp,,DSO,1.782,,,,,,,,1.34,0.031,,,,,,,13.7,,,,,0.646,,,,,,,,1.22,0.039,,,,,,,17.6,,,,,0.293,,,,,,,,1.23,0.044,,,,,,,19.1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Amandelbult-Dishaba,,,,,Anglo American Pt,,,102.8,0.019601167315175094,0.06909530155642024,,,,,,0.1409727626459144,,3.358568443579767,1.5444746692607008,0.5659452431906615,,,18.655150954295884,,,,,,51.199999999999996,0.032421874999999996,0.11020453124999999,,,,,,0.155625,,3.65353328125,1.679052421875,0.533928515625,,,14.695269172318971,,,,,,21.8,0.05174311926605505,0.16217266055045873,,,,,,0.17770642201834863,,3.7055919266055044,1.7014451376146789,0.42400128440366974,,,8.727592109933612,,,,,,49.5,0.015656565656565657,0.04419080808080809,,,,,,0.13646464646464646,,2.6769670707070703,1.2313635353535355,0.47646848484848486,,,19.873504623147728,,,,,,13.600000000000001,0.03470588235294118,0.08737470588235292,,,,,,0.15823529411764706,,2.809469411764706,1.291066470588235,0.4044423529411765,,,13.989816764452407,,,,,
South Africa,Amandelbult-Tumela,,,,,Anglo American Pt,,,179.9,0.019883268482490273,0.20146092273485267,,,,,,0.13694274596998332,,3.464008643690939,1.650860339077265,0.2854029738743746,,,18.744298137206904,,,,,,92.1,0.045646036916395225,0.22676833876221494,,,,,,0.18110749185667754,,3.8991556026058634,1.8582405537459281,0.32125514657980453,,,10.711509258385618,,,,,,92.4,0.04431818181818181,0.22924519480519479,,,,,,0.17883116883116879,,3.941743766233766,1.878537012987013,0.3247640259740259,,,11.12553229682497,,,,,,40.4,0.010173267326732674,0.032979133663366335,,,,,,0.12029702970297029,,2.7315577475247528,1.3586158415841585,0.5295099504950495,,,21.772141455979018,,,,,,0.1,0.01,0.03122,,,,,,0.12,,2.61802,1.3023199999999997,0.50844,,,21.82588501542733,,,,,
Madagascar,Ambatovy JV (incl. Anamalay),Operating,,,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",,,54.5,,,,,,,,0.9492844036697247,0.08,,,,,,,,,,,,121.8,,,,,,,,0.9158128078817734,0.07842364532019705,,,,,,,,,,,,52.5,,,,,,,,0.84,0.08,,,,,,,,,,,,49.9,,,,,,,,0.94,0.08,,,,,,,,,,,,102.6,,,,,,,,0.93,0.08,,,,,,,,,,,
Brazil,Americano do Brasil,Deposit,,,,"Votorantim, Prometalica (?)",,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.09,1.02,,,,,,,1.12,0.0662,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Araguaia North / South,Deposit,,,,Horizonte Minerals,,,18.168,,,,,,,,1.44,0.05,,,,,,,16.26,,,,,101.169,,,,,,,,1.25,0.06,,,,,,,19.39,,,,,12.92,,,,,,,,1.19,0.06,,,,,,,20.21,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
