Country,Project,Status,Location,Location,Mine,Company,Economic,Principal,Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Mineral Resources (including reserves),Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves,Ore Reserves
Philippines,Berong,Operating,,,OC,DMCI Holdings,,DSO,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.13,,,,,,,,1.55,0.08,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
India,Bhimatangar,Deposit,,,,Indian Gov't,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,63.9,,,,,,,,1.03,0.15,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Bindura (Trojan-Shangani-Hunter's Road),C&M?,,,,Asa Resource Group,,,3.55,,,,,,,,0.96,,,,,,,,,,,,,37.627,,,,,,,,0.57,,,,,,,,,,,,,10.55,,,,,,,,0.62,,,,,,,,,,,,,1.72,,,,,,,,1.07,,,,,,,,,,,,,0.69,1.08,,,,,,,,,,,,,,,,,,,
Australia,Binti Binti,Deposit,,,OC,Pioneer Resources,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,0.91,0.09,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Birch Lake,Deposit,47.75,-91.8,,Antofagasta (through Twin Metals),,,0,,,,,,,,,,,,,,,,,,,,,90.4,0.52,,,,,,,0.16,,,,,,,,,,,,,217,0.46,,,,,,,0.15,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Black Hills-North Monger,Deposit,,,OC,"Western Resources, Zetek Resources",,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,0.64,0.03,,,,,,,12.98,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Black Swan-Silver Swan,C&M,,,UG,Poseidon Nickel,,F,0,,,,,,,,,,,,,,,,,,,,,9.652,0.0019846932157218835,,,,,,,0.7258474927476172,0.010705668698923336,,,,,,,,,,,,21.184,0.0019846932157218835,,,,,,,0.5735857250755287,0.010705668698923336,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.427,0.26,,,,,,,0.72,0.11,,,,,,,,,,,
Canada,Blue Lake,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.374917,0.87,,,,,,,0.52,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Blue Ridge,,,,,"Sibanya-Stillwater, Imbani Pt",,,29.6,0.02914859532982291,0.0560967,,,,,,0.11240231217618901,,1.5734069999999998,1.387221,0.2832852,,,,,,,,,8.2,0.02914859532982291,0.0543968,,,,,,0.11240231217618901,,1.525728,1.3451840000000002,0.2747008,,,,,,,,,8.4,0.02914859532982291,0.0543968,,,,,,0.11240231217618901,,1.525728,1.3451840000000002,0.2747008,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Bohemia Basin (Basin-Takanis-Flapjack),Deposit,57.98471,-136.43427,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19.9584,0.24,,,,,,,0.42,0.02,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Bokai North/South (Todal),,,,,ERG,,,0,,,,,,,,,,,,,,,,,,,,,40.17,0.18,0.4,,,,,,0.22,,1.86,1.42,0.13,,,,,,,,,41.61,0.17,0.37,,,,,,0.21,,1.74,1.23,0.13,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Bokoni-Ga Phasha,,,,,"Atlatsa Resource, Anglo Am Pt",,,291.42857142857144,0.05955882352941176,0.17692612745098038,,,,,,0.17955882352941177,,2.7451910294117643,2.589106372549019,0.41016749999999996,,,,,,,,,140,0.0602332361516035,0.1831662682215743,,,,,,0.1802332361516035,,2.7966261516034985,2.5976309037900878,0.4102000583090379,,,,,,,,,380.40816326530614,0.06622317596566524,0.2241422746781116,,,,,,0.18622317596566523,,2.935989141630901,2.291721287553648,0.34732313304721024,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Bon Accord-Segalla,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,0.40125615763546796,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Booysendal North / South-Everest,,,,,"Northam Pt, Mvelaphanda Res",,,91.08,0.0600332674571805,0.160563133035253,,,,,,0.16629018445322793,,2.3312439617612477,1.2606898130769222,0.25682076163744433,,,8.505356251044352,,,,,,175.98999999999998,0.11083436558895393,0.1532385752132586,,,,,,0.1621258594238309,,2.280886143572213,1.1638219094139775,0.24162571721453835,,,10.222953972676045,,,,,,455.51,0.052055278698601576,0.038135265601436145,,,,,,0.15235641369014952,,1.5250470312246296,0.8191440510717548,0.22222579144896226,,,11.13528783952847,,,,,,144.51999999999998,0.025338915029061722,0.07056754998253217,,,,,,0.10517264046498756,,1.7151653053722211,0.8895104496624228,0.23992002393383474,,,11.741847295069661,,,,,,13.7,0.009,0.0269727299270073,,,,,,0.08232554744525548,,1.7457691094890513,0.9037549781021899,0.28376590948905106,,,14.814313835815117,,,,,
Philippines,Botolan,Deposit,,,OC,NiHAO Mineral Resources Int'l,,DSO,0,,,,,,,,,,,,,,,,,,,,,4.585851,,,,,,,,1.05,0.04,,,,,,,18.33,,,,,1.232187,,,,,,,,1.092084196635738,,,,,,,,24.085160677721806,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Morocco,Bou-Azzer,Operating,,,,CTT (Managem),,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.82,,3.5,,,,,,1,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.05999999999999999,,3.5,,,,,,1,1,,,,,,,,,,,
Australia,Brown's-Brown's East,C&M,,,OC,China Minmetals,,HM,10.1,0.49,,10.5,,,3.32,0.54,0.1,0.12,,,,,,,,,,,,22.7,0.38,,13.8,,,3.47,0.71,0.09,0.11,,,,,,,,,,,,26.7,0.65,,14.3,,,2.7,,0.09,0.09,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Norway,Bruvann (Råna),Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.15,0.09,,,,,,,0.36,0.01,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Bucko Lake,Deposit,,,,unknown,,,1.367,0.11,0.025,,,,,,1.397037307973665,0.023,0.153,0.363,,,,,,,,,,4.839,0.11,0.025,,,,,,1.3988448026451745,0.023,0.153,0.363,,,,,,,,,,5.043,0.11,0.025,,,,,,1.41,0.023,0.153,0.363,,,,,,,,,,0.616,0.11,0.025,,,,,,1.43,0.023,0.153,0.363,,,,,,,,,,1.994,0.11,0.025,,,,,,1.44,0.023,0.153,0.363,,,,,,,,,
Canada,Buckton-Buckton South,Deposit,,,,DNI Metals,,,0,,,,,,,,,,,,,,,,,,,,,271.934,0.00416,,,0.0009245122985581001,0.0017995873366540927,,0.01748,0.00703,0.00165,,,,,,,,,,,,4937.08,0.004090462216532849,,,0.0009169403172405347,0.0015524383368586063,,0.01711199706709229,0.0067792575206397305,0.0015289933969066735,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Indonesia,Buli,Deposit,,,OC,unknown,,DSO?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,194.6,,,,,,,,1.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Russia,Buruktal,C&M,,,,Mechel Steel Group OAO (MTL),,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,70.36850000000001,,,,,,,,0.85736146144937,0.1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Byro East,Deposit,,,UG,Athena Resources,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,1.4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Caboclo dos Mangueiros,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,200,0.13,,,,,,,0.2,0.016,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Cagdianao (GFH),Operating,,,OC,Global Ferronickel Holdings,,DSO,32.775,,,,,,,,1.1,,,,,,,,35.2,,,,,21.385,,,,,,,,1.2,,,,,,,,25.7,,,,,0,,,,,,,,,,,,,,,,,,,,,25.081603,,,,,,,,1.17,,,,,,,,35.46,,,,,11.261068,,,,,,,,1.34,,,,,,,,23.37,,,,
Philippines,Cagdianao (NAC),Operating,,,OC,Nickel Asia Corp,,DSO,0,,,,,,,,,,,,,,,,,,,,,31.697000000000003,,,,,,,,1.2990525917279239,,,,,,,,21.54516358014954,,,,35.06176886357583,2.4829999999999997,,,,,,,,1.1862988320579944,,,,,,,,17.671369311316955,,,,35.000000000000014,0,,,,,,,,,,,,,,,,,,,,,25.215,,,,,,,,1.3425282569898869,,,,,,,,22.228954987110846,,,,35.00116000309334
Cuba,Cajálbana,Deposit,,,,unknown (Cuban Gov't?),,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,,1.11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Camelback Bore East,Deposit,,,OC,Glencore,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,0.98,0.069,,,,,,,18.5,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Canalask-Onion,Deposit,,,,Victoria Gold Corp,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.390235,,,,,,,,1.35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Carr Boyd,C&M,,,UG,Estrella Resources,,F,0,,,,,,,,,,,,,,,,,,,,,0.576,0.4663194444444445,,,,,,,1.39375,,,,,,,,,,,,,0.025,0.41600000000000004,,,,,,,1.568,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Carrascal,Deposit,,,OC,Carrascal Nickel,,DSO,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,1.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Casiguran,Operating,,,OC,Century Peak Metals,,DSO,0,,,,,,,,,,,,,,,,,,,,,9.897,,,,,,,,1.02,,,,,,,,35.36425179347277,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Cat Lake-New Manitoba,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,0.75,,,,,,,0.33,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Cawse,Deposit,,,OC,Wingstar Investments (?),,HPAL,0,,,,,,,,,,,,,,,,,,,,,55.518,,,,,,,,0.717,0.04,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.757,,,,,,,,0.65,0.04,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Colombia,Cerro Matoso,Operating,,,,South32,,RKEF,66,,,,,,,,0.9272727272727272,,,,,,,,,,,,,183,,,,,,,,0.9000000000000001,,,,,,,,,,,,,17,,,,,,,,0.2,,,,,,,,,,,,,22.3,,,,,,,,1.2627802690582959,,,,,,,,,,,,,14.9,,,,,,,,1.2,,,,,,,,,,,,
Russia,Cheremshanskoe ,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,1.6,0.024,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Russia,Chernogorskoye,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,143,0.22,,,,,,,0.29,0.015,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Chieftains Plain-Walhalla,,,,,Sibanya-Stillwater,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,259.81,0.05064576656828594,0.19818310861591162,,,,,,0.14062229501023565,,3.0461057584196145,2.266637176140257,0.4058891261317117,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Malawi,Chimimbe Hill,Deposit,,,,Mkango Resources,,,0,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,0.39,0.03,,,,,,0.57,,,,,,3.883,,,,,,,,0.33,0.03,,,,,,0.47,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Chironde,,,,,ERG,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.54,0.13,0.32,,,,,,0.15,,1.92,1.28,0.15,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Kosovo,Çikatovë (Čikatovo),C&M,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1.175,0.06,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Int'l Waters,Clarion-Clipperton (DeepGreen),Deposit,,,DSM,DeepGreen Metals,,beneficiation,3.2,1.16,,,,,,,1.4,0.13,,,,,,,,,,31.9,,26.400000000000002,1.15,,,,,,,1.35,0.13,,,,,,,,,,31.1,,684,1.08,,,,,,,1.3,0.18,,,,,,,,,,31.1,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Int'l Waters,Clarion-Clipperton (KIOST-Korea),Deposit,,,DSM,Korean Institute of Ocean Science & Technology (KIOST),,beneficiation,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,188.4,1.02,,,,,,,1.19,0.22,,,,,,,,,,27.7,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Int'l Waters,Clarion-Clipperton (Nautilus),Deposit,,,DSM,Nautilus Minerals,,beneficiation,1.4560000000000002,1.05,,,,,,,1.33,0.23,,,,,,,,,,27.57,,38.136,1.18,,,,,,,1.35,0.21,,,,,,,,,,30.32,,383.76800000000003,1.14,,,,,,,1.29,0.2,,,,,,,,,,29.05,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Int'l Waters,Clarion-Clipperton (Russia),Deposit,,,DSM,Yuzhmorgeologia,,beneficiation,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,448,1.1,,,,,,,1.39,0.23,,,,,,,,,,29.3,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Int'l Waters,Clarion-Clipperton (Russian-led JV),Deposit,,,DSM,InterOcean Metal Joint Organisation ('IOM'),,beneficiation,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,33.7,1.29080118694362,,,,,,,1.3145400593471808,0.1572700296735905,,,,,,,,,,32.64094955489614,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Claude Hills,Deposit,,,OC,Metals X,,HPAL,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,,0.81,0.07,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Cliffs,C&M,,,UG,BHP Group,,F,0.87,,,,,,,,3.4,,,,,,,,,,,,,5.1,,,,,,,,1.5811764705882354,,,,,,,,,,,,,3.52,,,,,,,,1.3607954545454546,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,2,,,,,,,,,,,,
Australia,Coglia-Mineral Patch Hill,Deposit,,,OC,White Cliff Minerals,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,0.8,0.09,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Collerina-Homeville,Deposit,,,OC,Alpha HPA,,HPAL?,0,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,0.97,0.04,,,,,,,19,,,,,18.8,,,,,,,,0.84,0.06,,,,,,,23,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Collurabbie-Olympia,Deposit,,,UG,Rox Resources,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.573,1.19,,,,,,,1.63,0.082,0.85,1.49,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Cookes Creek-Anomaly Hill,Deposit,,,UG,Cuvier Resources,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,0.9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Corkwood,Deposit,,,UG,Sayona Mining,,F,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.225,0.24,,,,,,,0.65,0.03,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Coronation Dam-Duck Hill,Deposit,,,OC,White Cliff Minerals,,HPAL,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,1,0.08,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Cosmic Boy-Seagull,C&M,,,UG,Western Areas,,F,0,,,,,,,,,,,,,,,,,,,,,0.3759,,,,,,,,2.384996009577015,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Cosmos Group,C&M,,,UG,Western Areas,,F,0,,,,,,,,,,,,,,,,,,,,,9.476184,,,,,,,,2.4598998605345783,,,,,,,,,,,,,0.926154,,,,,,,,3.5858948943696185,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Crawford,Deposit,,,,Canada Nickel Company,,,204.87019099999998,,,,,,,,0.23903817227368132,0.013000000000000001,0.0029038172273681342,0.007549924791157149,,,,,6.7531938697221205,,,,,395.519863,,,,,,,,0.26141342699140246,0.013,0.0056554769690542695,0.014395759557592687,,,,,6.582367494246427,,,,,310.496262,,,,,,,,0.22710436153334432,0.012999999999999998,0.0029932632683352563,0.0062003310558373164,,,,,6.687996689441627,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
USA,Crescent Creek,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.36288000000000004,0.16,,,,,,,0.23,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Crocodile River,,,,,"Eastern Pt, Gubevu",,,5.581174,0.01554223366330867,0.03,,,,,,0.11240231217618901,,2.48,1.04,0.41,,,,,,,,,28.550511,0.01554223366330867,0.02,,,,,,0.11240231217618901,,2.55,1.05,0.42,,,,,,,,,22.069275,0.01554223366330867,0.03,,,,,,0.11240231217618901,,2.56,1.06,0.43,,,,,,,,,1.96,0.01554223366330867,0.03,,,,,,0.11240231217618901,,2.58,1.08,0.43,,,,,,,,,22.165,0.01554223366330867,0.03,,,,,,0.11240231217618901,,2.54,1.05,0.42,,,,,,,,
Dominican Rep.,Cumpié Hill-Cerro de Maimon,Deposit,,,,Perilya Mines (Zhongjin),,,0,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1.49,,,,,,,,,,,,,3.2,,,,,,,,1.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Indonesia,Cycloops (Cyclops),Deposit,,,OC,unknown,,DSO?,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,1.31,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Norway,Dalen (Espedalen),Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,4.625,0.12,,,,,,,0.29,0.02,,,,,,,,,,,,5.438,0.11,,,,,,,0.25,0.02,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Decar-Baptiste,Deposit,,,,FPX Nickel Corp,,,0,,,,,,,,,,,,,,,,,,,,,1906.63,,,,,,,,0.121,,,,,,,,,,,,,504.88,,,,,,,,0.097,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Canada,Denison,Deposit,,,,Lonmin,,,0,,,,,,,,,,,,,,,,,,,,,0.575,0.57,0.94,,,,,,0.4,0.01,3.1,2.23,,,,,,,,,,0.382,0.61,1.32,,,,,,0.51,0.02,3.66,4.49,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
South Africa,Der Brochen,,,,,Anglo American Pt,,,152.7,0.039823182711198425,0.1363741060903733,,,,,,0.14337917485265225,,2.3226248722986247,1.4219295088408643,0.2932561886051081,,,,,,,,,214.3,0.040387307512832475,0.13281717218852077,,,,,,0.1441997200186654,,2.2868516472235183,1.4019297246850206,0.29033799346710215,,,,,,,,,200.5,0.050817955112219454,0.1637388927680798,,,,,,0.1593715710723192,,2.3884704339152116,1.431572558603491,0.27577921197007477,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Albania,Devolli Group,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,166.31499999999997,,,,,,,,0.8449089979857503,0.057316598021826065,,,,,,42.397044163184326,9.517667678802274,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Australia,Diggers,Operating,,,UG,Western Areas,,F,0,,,,,,,,,,,,,,,,,,,,,8.4149,,,,,,,,1.0180905298934033,,,,,,,,,,,,,1.6133000000000002,,,,,,,,0.7427198909068368,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.109,,,,,,,,1.4264580369843527,,,,,,,,,,,,
Botswana,Dikoloti,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.1,0.5,,,,,,,0.7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Philippines,Dinapigue,Deposit,,,OC,Nickel Asia Corp,,DSO,0,,,,,,,,,,,,,,,,,,,,,67.89,,,,,,,,1.2174723817940787,,,,,,,,30.98447193990278,,,,34.999281918713194,22,,,,,,,,1.1192,,,,,,,,21.328799999999998,,,,34.99970454411157,0,,,,,,,,,,,,,,,,,,,,,35.694,,,,,,,,1.3618577351935899,,,,,,,,39.110720569283345,,,,34.99899841567569
Brazil,Diorama,Deposit,,,,unknown,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11.104,,,,,,,,1.33,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
