Mt ore,%Pb,%Zn,g/t Ag
25.308999999999997,,5.011759058042594,25.0422158125568
2.354,,0.5019796091758708,5.209723874256585
6.62,,2.63,25.61
1.357,,1.6131982313927782,11.28978629329403
0.9189936,0.7169792694965449,9.406614017769003,117.42954466712284
0.317485,0.1,2.6,13.369708994708995
14.2,1.3915492957746478,12.830985915492958,73.0
7.1986,2.1249410996582667,3.2844143305642763,66.76608090462034
12.46,4.365425361155698,6.574237560192617,4.365425361155698
7.88,1.63,3.49,3.0
2.5465104,,0.96,38.052248677248684
3.464892,0.86,3.62,
63.97,0.21,0.64,23.63
0.918964,0.716975637783417,9.406633992191207,117.37000143640012
0.608,4.820394736842105,5.220065789473685,566.0756578947368
1.4849999999999999,1.6594747474747475,5.59263973063973,501.37306397306395
0.274,1.9130656934306567,1.282043795620438,867.8759124087591
0.821,1.178258221680877,13.101851400730817,196.58708891595614
21.47,,4.927293898462972,52.69306008383792
639.6,0.02364968730456535,,4.700625390869293
0.786285,0.42,0.5,311.9
0.485324,0.59,0.12,336.0
9.06,0.69,0.84,84.78
0.017935,8.2,8.0,240.0
0.01,5.36,15.6,66.5
12.8,1.6875,5.95859375,138.0
12.370000000000001,,3.171397736459175,36.16950687146322
38.905,0.05573705179282868,0.7385690785246113,19.678379899755818
0.03,,12.03,
5.71,0.24056042031523642,9.864290718038529,50.40168126094571
1.8163,0.5283873809392721,2.733503826460386,32.97737323129439
0.127,,8.0,
3.79,0.8723482849604222,3.85778364116095,42.37337730870713
0.317485,0.65,6.6,140.54
0.74,,3.5,38.62
11.8,,0.8,10.3
13.08,,5.1,23.7
0.485,1.525319587628866,7.490309278350516,46.58762886597938
28.64,0.6018470670391062,1.4217737430167599,5.369420391061452
0.307234,,2.73020564130272,54.56092554860464
1.664,,3.324236778846154,38.83185096153846
14.35,1.385156794425087,2.858466898954704,35.60044599303136
0.53343,6.1,4.6,102.86
25.211,,2.804596009678315,17.0
1.5,5.486666666666667,6.54,102.53333333333335
5.62,1.82,6.31,
2.1,1.76,4.12,24.8
83.633,,0.01820513433692442,0.9493258641923643
0.0408,6.23,9.49,355.0
0.76,10.0,7.0,1.2
18.485,,0.8016180687043549,
20.705,0.91153489495291,2.4496170007244626,38.4045158174354
9.15,0.669846994535519,6.221092896174864,75.37273224043716
7.280000000000001,0.34,2.768147060439562,35.0
9.0196,0.5459697769302408,2.7119395538604816,18.2268027185241
7.560272,0.381,1.522,15.311
0.688712,1.82,5.51,58.6
0.21682200000000001,2.85,4.63,411.3
2.7,0.01,0.2,34.0
1.55,,4.723225806451612,19.893548387096775
0.00263,14.0,,411.0
0.139371,3.7,,316.0
1.287,,15.06,36.8
25.278000000000002,0.879223039797452,2.572462220112351,
0.312,2.5,2.5,390.8
19.367,0.02,1.63,15.42
5.899999999999999,4.040677966101694,15.603389830508478,
0.8264,5.0,5.0,668.5
0.14748699999999998,2.7760602629384286,0.39779234780014516,120.09139110565677
11.67,10.918080548414737,12.775638389031705,196.7997429305913
0.359492,4.834540212299578,,44.947629766448216
0.375,4.8,6.1,55.0
2.17704,6.5,18.5,68.5
5.8,0.98,3.42,3.4
0.48,,7.97,23.3
2.605826,5.1,5.6,37.7
20.13762,1.6666666666666667,3.333333333333333,
1.0,,2.06,
2.313918,0.21,0.88,77.6
0.2531088,,4.38,42.16
0.0988848,0.61,5.2,
0.961632,1.03,6.86,54.52
4.935168,,1.8,
15.131,1.1595790099795122,5.8944769017249365,
0.273944,5.4,4.8,233.1
22.263781,,1.33,
2.19,2.6,10.4,
1.5,,5.7,
0.036287,0.1,4.1,
1.34,0.4,3.8,13.0
11.522,1.6307559451484115,2.9680133657351155,
5.32,1.4699812030075188,1.8474624060150375,
5.447,,4.6,34.0
1.506239,0.15,3.57,41.13
22.4128,,0.951100085665334,6.246560893774985
1.669,0.28364889155182743,0.7409466746554823,18.521533852606353
0.0695,1.89,9.12,555.66
0.068136,1.7041223435481976,0.9150459375366914,7.353974110602325
0.84224448,0.8366077337354587,5.486940801378717,191.27404178653688
0.5776,1.49,6.53,257.0
2.57,6.4,8.8,325.0
0.05,,4.5,
1.0,,2.0,
0.120639,3.5342738252140684,13.616475020515754,325.931189333466
0.083906,3.7,12.5,64.4
1.36,0.17,0.08,4.2
0.590703,2.66,1.26,71.6
0.025,3.7,15.6,76.3
5.5245,2.59,6.11,54.21
12.796391999999997,11.209288593222217,12.038461260017671,128.67831363715646
0.244,1.0,4.5,27.4
4.1,2.0919512195121954,4.99439024390244,203.02439024390247
4.3,3.8,4.7,42.0
3.865583,0.39598531191802117,2.1133840096047605,23.896256510337505
22.8,0.64,1.82,32.23
0.131,2.69,8.43,101.0
4.53,0.5408167770419426,0.9127373068432671,28.8539293598234
0.090719,6.0,10.0,687.5
1.064,2.4103759398496236,3.386466165413534,182.61654135338344
18.53,3.438629249865084,6.669249865083647,3.438629249865084
1.197,,3.459974937343358,45.16221386800335
0.31,2.063064516129032,3.029516129032258,523.2
0.41634999999999994,5.892510940314641,5.516998486850007,247.09447837156242
6.965999999999999,1.090043066322136,5.8352368647717485,84.32644272179157
1.30953,0.59,1.94,13.5
0.019958,26.7,7.3,1027.4
7.1,3.4,4.3,48.0
0.675554,,7.498456170787233,58.50386574574348
0.352659,3.18,3.47,606.16
3.1999999999999997,1.1775,4.355,53.025000000000006
1.3,3.12,3.12,36.3
0.02,4.4,2.2,2948.4
0.5,2.7,3.5,
1.13,,0.2938053097345133,20.244247787610618
3.2230000000000003,,0.3179894508222153,7.188200434377909
4.1,1.8,6.2,84.0
6.154,1.6160058498537537,12.143743906402339,363.24553136171596
10.824000000000002,1.1653492239467846,4.150274390243902,7.554871581670362
1.3,1.6,4.96,117.24206349206351
6.470000000000001,,0.21882534775888715,103.05255023183926
11.2,0.37211607142857145,5.298946428571429,13.642089285714288
9.393,,1.6537112743532416,34.68627701479825
5.6000000000000005,1.5101785714285714,4.36875,93.1267857142857
27.890774999999998,0.23364687678990637,0.8009406303697192,8.280038548229657
11.4,2.3,3.3,
14.21,1.97,5.53,32.6530612244898
77.1,2.01,0.6873151750972762,100.45260700389106
32.120000000000005,0.674719800747198,1.7968430884184308,
49.4,0.4,4.1,23.9
13.5,2.0,11.0,
4.359615384615385,2.69,5.2,54.16
27.265,0.22907720520814231,0.6353570511644966,179.1181734824867
22.43,3.6,8.0,
50.0,,3.4,
133.0,0.5,2.25,
1449.0,0.04849137336093857,0.029245686680469292,4.9883285024154596
5.0,3.3,5.2,125.0
1.1966999999999999,8.072602155928804,3.8778215091501638,200.05776886437707
0.2333333333333333,13.8,7.8,
2.0,10.0,10.0,
20.416,1.8,1.4,16.6
25.0,1.8,7.7,
20.6,,0.4,
8.501788,9.4,6.0,256.0
219.8,,0.08,3.81
35.2,,0.8512755681818182,
136.4,0.48,2.46,
21.54,3.5180687093779013,1.1498560817084496,242.2845868152275
8.7,,2.8137931034482757,3.3586206896551727
14.8,0.24,0.51,
0.54,0.13,0.26,
12.0,3.2,2.4,43.0
25.975458000000003,,19.044620703126775,
5.3,,4.9,
2.4952389999999998,,0.8890759301213232,2.5380186346878997
7.510129,,1.4188211707149105,32.25934989931597
1.45,,3.205793103448275,45.74314
57.55,,0.3244761077324067,3.495655951346655
9.962,0.23323830556113234,2.7209777153182095,50.78701465569163
2.9,,1.15,29.3
1.5,1.3,11.0,
1.841,,10.05,115.0
3.9929999999999994,,0.9946280991735538,26.636614074630604
85.03,,1.2854263201223097,8.57979536634129
30.280000000000005,,4.277770805812417,41.22820343461029
6.882,,1.8541121766928221,10.019761697181055
2.24,,3.7825892857142858,23.991071428571423
4.249999999999999,,0.664094117647059,13.056470588235298
3.1599999999999997,,0.07528481012658228,
34.4,,0.38,
0.4,,0.1,
7.7,,0.52,
1.32,,1.89,
14.613,,1.1279319783754191,14.0
1.7,0.96,4.97,53.0
34.4,,0.38,
0.7,,0.09,
3.4,,0.63,
0.2,,0.25,52.0
2052.8,,0.5002542868277474,
0.76,,1.33,
4.0,3.5,3.5,
0.06,1.4,6.0,20.0
0.285,2.36,3.8,
0.25,1.2,1.0,
1.869,2.67,5.31,30.1
2.0,2.5,5.0,15.0
2.851,2.24,6.47,15.4
93.07,0.62,4.09,9.2
3.268,1.8,1.4,18.7
0.34,1.5,1.0,
0.255,1.61,2.67,
0.1745,6.81,,
22.88,,1.67,
32.2,,0.74,
11.6,,0.4665217391304347,
20.918,4.284601778372694,5.510894923032795,127.41399751410269
1.8339999999999999,7.261395856052345,10.101090512540896,192.28353326063248
0.492,2.2,4.7,
4.425,3.0,8.6,17.9
0.22,2.1,9.3,
132.0,0.4,4.0,
956.0,,0.2351,
0.2,3.4,9.0,
1.7,2.5,6.9,
31.700000000000003,0.6563091482649842,1.1900315457413249,397.6214511041009
2.173686,2.3737487429187105,6.878928635506693,13.988883426585073
6.42,2.2738317757009345,5.565482866043614,62.718068535825545
0.1,,3.5,42.0
8.8,3.1,4.2,
8.3,6.0,6.0,
2.009,3.6861174713787954,5.7080338476854156,35.480836236933804
1.22,2.57,3.84,
16.0,1.17,5.85,
16.3,1.6668711656441717,4.031901840490797,58.64417177914111
7.0,4.6,1.71,
3.5,,1.3,
0.23,1.64,1.0,
7.1,0.86,1.4,
0.3,0.5,6.4,
1.0,5.4,7.3,
17.49,0.44,1.84,
0.77,2.675,,
2.79,4.0,4.23,62.0
1.0,,6.7,
9.01,2.56,3.22,
7.7,1.5454545454545454,10.60909090909091,31.584415584415584
8.2,,6.8,
6.6,,5.51,
27.0,1.69,3.79,
40.0,0.6,2.4,
3.14,0.67,3.25,
0.6,,1.8,50.0
54.2,2.0411439114391143,6.892250922509223,74.66420664206642
109.4,1.9972577696526508,12.785648994515538,59.11334552102376
0.56,1.1,2.6,
1.2,5.4,0.4,
115.0,,1.0,
3.69,1.37,1.85,
2.0,5.94,,
0.9,2.54,1.45,
99.1,2.5931382441977804,4.320383451059535,134.32088799192735
18.38,0.79,1.3,21.0
1.47,1.9,2.59,
1.15,1.75,1.13,
78.5,2.097324840764331,4.79171974522293,48.698089171974516
8.11,9.1,14.6,12.0
0.8300000000000001,5.0036144578313255,4.967469879518072,14.096385542168674
16.18,4.5,8.2,
89.5,,2.06,38.4
22.23,3.9501574448942867,30.31322537112011,90.20692757534863
1.16,2.7522,5.5878000000000005,
10.0,2.26,6.0,
0.12,8.0,1.0,
10.0,2.4,7.4,
0.9,5.4,12.1,
4.0,3.0,10.0,
394.0,1.6,4.2,36.0
7.0,8.33,0.38,72.0
0.15,7.0,2.5,
10.1,0.4,1.6,
7.83,1.1,6.8,27.0
1.0,2.0,3.5,14.0
1.35,0.18,2.67,
3.7,1.1,8.8,10.0
1.85,1.04,7.71,39.6
3.8,2.096315789473684,12.555000000000001,
0.125,2.6666666666666665,5.333333333333333,
3.0,0.6,4.3,11.0
42.0,1.0,7.0,
3.5,1.1,2.2,
6.89,3.8333333333333335,7.666666666666666,70.0
26.4,1.7617424242424242,6.7659090909090915,
3.6,2.3000000000000003,4.6,
50.0,5.0,,40.0
5396.7660000000005,,0.008461278476776647,1.3946094049658628
88.0,0.2,0.43409090909090914,5.131818181818182
3.01,1.3962126245847177,2.7582392026578075,118.08637873754154
91.807,0.87,3.64,55.49
22.6,1.3713274336283185,7.259469026548672,71.56637168141593
40.0,1.0,4.0,33.0
5.16,3.3477131782945735,8.501162790697673,74.84341085271318
41.4,0.5734299516908212,1.3178743961352657,23.52657004830918
2.0,,22.0,
274.0,0.7613138686131387,3.0919708029197084,
3.85,0.4426753246753247,2.1495324675324676,14.596623376623377
6.699999999999999,0.34328358208955223,0.6432835820895523,11.432835820895523
11.14,2.3538608617594257,4.7060242369838425,
17.8,0.9671910112359551,4.482696629213483,11.852808988764046
1.15,0.44,2.26,5.13
20.0,2.0,5.0,
1.58,,4.5,33.77
17.842105263157897,4.0,4.3,13.2
1.58223,0.52,,48.05
0.9,1.9,9.0,
2.1,1.2,7.2,
6.636,0.438,2.63,
604.685,,0.5342247781902975,3.910625151938614
11.049999999999999,1.9894932126696834,2.1031493212669683,53.52125791855204
6.142,0.55,6.11,40.25
424.53,,0.6637825359809671,
34.658,,0.7510984476888453,14.942682786081136
36.0,,3.3,29.0
363.98,0.07502610033518325,0.26,8.446211879773614
19.1,0.868869109947644,3.6900628272251303,111.58848167539264
5.283312,0.3367506442928224,0.8700785378565568,45.09281088832157
23.156,0.23434271894973224,0.6513266539989636,12.992449473138713
16.0,0.36,3.08,95.0
57.963,0.14655002329071995,0.2370313648361886,31.458146403740322
14.93,2.55,5.77,117.0
940.62,0.24821942761157534,0.464107677914567,17.624890412706513
17.06,0.2686694021101993,1.3503751465416178,46.06828839390388
4.617036,0.19544061774697014,0.18035367148967432,172.21633999366694
17.392711,2.455326337567502,3.589937106411991,136.70985972227103
1.0,,2.3,21.0
47.225,0.74,2.17,20.73
21.299,0.5502666791868164,1.4204239635663645,188.7984881919339
4.48,1.1999999999999997,4.1,210.3303571428571
11.5,1.1724347826086956,2.0458260869565215,329.72173913043474
9.587897,1.6194422927154934,2.4419130493370966,204.15895331374543
5.304946,0.6,0.2,104.99999999999999
1.117,0.8948155774395703,2.5260519247985678,238.26150402864818
40.299,0.9009335219236211,2.294209037445098,129.75034169582372
19.1562,1.2003451415207609,1.4189325649137097,169.4386367860014
25.490000000000002,1.3249509611612393,2.724872499019223,115.99333071792859
1.2469160000000001,,0.15666859275203782,13.489342746423977
2.0,2.2,2.3,137.0
31.75,0.5354110236220472,0.9546834645669291,141.2538582677165
69.49000000000001,1.4514131529716503,2.8235400777090227,358.0692185926032
8.021,1.9181822715372143,3.486512903627976,446.87333250218177
44.25,0.11,0.17,10.0
7.049,1.46,1.27,113.0
162.716,0.25744733154698984,0.4132631087293198,27.51053369060203
44.39,1.3730254561838249,2.3855327776526245,362.8247353007434
13.536,2.19,5.18,92.96
7.6,0.88,1.54,79.0
4.445,0.8147199100112485,1.6047064116985377,92.21230596175478
851.37,0.3042597225648073,0.8263523497421802,30.65408811679998
282.40000000000003,0.3113916430594901,0.7020007082152974,81.32092776203964
0.706,9.184915014164307,10.658951841359775,853.5283286118981
0.895512,2.1,3.4,191.0
25.2,2.1,8.3,
1.66,0.902024096385542,2.2107469879518074,125.74506024096385
13.155,1.25,2.06,121.57
212.2,0.06429783223374176,0.4857021677662583,12.428934967012253
4.005707999999999,2.7111622190134685,6.4935332380692765,78.10484688349726
8.944,2.378852862254025,4.014948568872987,54.671498211091226
32.5,0.38000000000000006,0.7821538461538462,112.21538461538462
15.058,0.03153074777526896,0.17704741665559834,9.769620135476158
2.3,0.32,0.66,191.8
1.735048,0.7000000000000001,1.5572699429641144,56.56380342215317
21.540000000000003,,1.6048467966573812,25.715598885793874
23.243,0.6444340231467539,1.3603897947769221,60.75797014154801
5.0286096,0.6719465993144507,0.9359732996572254,164.7988859584566
94.5,,1.27,58.7
48.765,0.957,2.882,
90.64,,1.3472786849073257,
10.873,1.36,5.38,221.21
0.4288,5.9852472014925375,4.038619402985074,825.6996268656716
29.938,0.48,4.21,26.48
2.138,1.188821328344247,1.2481197380729656,194.42048643592145
2.51,3.17,3.84,10.72163346613546
1.9,1.51,2.98,
4.74,0.11,4.06,
3.83897,0.86,3.9,203.0
19.0,2.0,7.0,
15.881,7.062468358415716,1.3194439896731942,128.73287576349094
1.3396,3.69,14.74,8.7
17.5,2.3,8.6,
0.917,2.4,5.7,44.8
0.61,0.3,2.1,7.6
14.620000000000001,1.6361969904240765,7.616484268125855,37.663474692202456
7.1,,9.672535211267606,
5.8,6.4,0.8,47.0
12.0,0.77,0.63,12.74
1.3,2.13,13.35,27.0
1.1,4.05,16.25,19.43
160.0,3.2,3.6,180.0
266.0,0.88,4.21,
14.48,3.4,9.9,19.1
9.9,1.4,5.4,
8.3,0.7966301204819276,6.18769156626506,
11.008000000000001,0.8920448764534883,1.3927797965116278,114.07945030886627
0.173,0.38,4.32,325.30600000000004
519.541,0.05,0.19,7.56
2121.0,,0.6544507307873644,10.296888260254597
10.985329,,1.7922796213021934,18.32279621302193
18.093468,1.37,3.92,72.774
13.3,0.2,5.9,14.0
11.850000000000001,1.3441940928270042,11.31628691983122,13.61502109704641
11.256,1.8129557569296375,2.679493603411514,117.43061478322672
203.09699999999998,1.0594354421778758,2.5489258334687372,100.22595286488722
85.107369,0.29,2.57,24.569000000000003
18.271,2.121456953642384,6.623819166985934,120.20433408133107
3.11,1.1618971061093248,3.960900321543409,71.70913183279742
340.384,0.6333830262292,0.38104979963805585,37.15595171923474
5.718999999999999,1.642107011715335,3.010610246546599,217.70066794894214
45.926,0.86,2.53,28.62
40.972762,0.89,4.64,60.334
60.45558,0.65,4.38,30.478
0.874412,3.31,3.63,209.0
22.6,1.5543805309734515,2.870265486725664,164.14601769911505
11.178,0.2485587761674718,0.2585024154589372,15.01531043120415
16.73,0.6382785415421398,5.085774058577406,23.463419007770472
0.3,0.54,1.12,329.349
0.373,2.27,,629.7438999999999
3600.0,,0.09,
0.123,6.64,8.47,392.8552
15.3,1.3950326797385622,4.579673202614379,201.17647058823528
6.79,,0.23,27.368000000000002
8.0,,4.42,19.593
10.828,0.31,0.5,111.0
0.79,0.7,8.01,58.8
9.1638,0.7956011698203802,2.3877367467644426,115.53534559898732
0.064,3.55,6.49,307.8589
1.49,0.69,1.16,282.38800000000003
79.933811,1.528,5.223,9.578800000000001
0.91,3.85,6.06,270.259
31.055,0.5235923361777493,3.3182038319111253,22.677121236515863
