Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Y ppm,Sc ppm
Crayfish,New South Wales,Australia,Heavy Mineral Sands,144.0,,,,,,,,,,,,,,,,
Cyclone,Western Australia,Australia,Heavy Mineral Sands,137.0,,,,,,,,,,,,,,,,
Cyclone Extended,Western Australia,Australia,Heavy Mineral Sands,86.3,,,,,,,,,,,,,,,,
Cylinder,New South Wales,Australia,Heavy Mineral Sands,54.0,,,,,,,,,,,,,,,,
Dampier,Western Australia,Australia,Heavy Mineral Sands,1374.0,,,,,,,,,,,,,,,,
Dongara,Western Australia,Australia,Heavy Mineral Sands,64.6,,,,,,,,,,,,,,,,
Dubloon North,New South Wales,Australia,Heavy Mineral Sands,13.0,,,,,,,,,,,,,,,,
Eneabba,Western Australia,Australia,Heavy Mineral Sands,250.2,,,,,,,,,,,,,,,,
Eucla,South Australia,Australia,Heavy Mineral Sands,444.5,,,,,,,,,,,,,,,,
Eucla West,Western Australia,Australia,Heavy Mineral Sands,470.0,,,,,,,,,,,,,,,,
Finigans Tank,New South Wales,Australia,Heavy Mineral Sands,8.0,,,,,,,,,,,,,,,,
Four Acres,Western Australia,Australia,Heavy Mineral Sands,1.0,,,,,,,,,,,,,,,,
Galileo,Victoria,Australia,Heavy Mineral Sands,26.0,,,,,,,,,,,,,,,,
Gallipoli,New South Wales,Australia,Heavy Mineral Sands,335.0,,,,,,,,,,,,,,,,
Gingin North,Western Australia,Australia,Heavy Mineral Sands,2.41,,,,,,,,,,,,,,,,
Gingin South,Western Australia,Australia,Heavy Mineral Sands,8.08,,,,,,,,,,,,,,,,
Ginko,New South Wales,Australia,Heavy Mineral Sands,188.4,,,,,,,,,,,,,,,,
Goliath,New South Wales,Australia,Heavy Mineral Sands,65.0,,,,,,,,,,,,,,,,
Gordon Inlet,Western Australia,Australia,Heavy Mineral Sands,0.37,,,,,,,,,,,,,,,,
Gwindinup North,Western Australia,Australia,Heavy Mineral Sands,16.0,,,,,,,,,,,,,,,,
Gwindinup South,Western Australia,Australia,Heavy Mineral Sands,13.0,,,,,,,,,,,,,,,,
Happy Valley North,Western Australia,Australia,Heavy Mineral Sands,3.0,,,,,,,,,,,,,,,,
Happy Valley South,Western Australia,Australia,Heavy Mineral Sands,6.0,,,,,,,,,,,,,,,,
Hassel Beach,Western Australia,Australia,Heavy Mineral Sands,4.0,,,,,,,,,,,,,,,,
Helene,Western Australia,Australia,Heavy Mineral Sands,11.5,,,,,,,,,,,,,,,,
Hopelands East,Western Australia,Australia,Heavy Mineral Sands,19.0,,,,,,,,,,,,,,,,
Hopelands West - Serpentine,Western Australia,Australia,Heavy Mineral Sands,4.554,,,,,,,,,,,,,,,,
Hyperion,Western Australia,Australia,Heavy Mineral Sands,3.7,,,,,,,,,,,,,,,,
Israelite Bay,Western Australia,Australia,Heavy Mineral Sands,0.5,,,,,,,,,,,,,,,,
Jacks Tank North,New South Wales,Australia,Heavy Mineral Sands,13.0,,,,,,,,,,,,,,,,
Jacks Tank South,New South Wales,Australia,Heavy Mineral Sands,41.0,,,,,,,,,,,,,,,,
Jangardup ,Western Australia,Australia,Heavy Mineral Sands,1.72,,,,,,,,,,,,,,,,
Jangardup South,Western Australia,Australia,Heavy Mineral Sands,25.0,,,,,,,,,,,,,,,,
Karra,New South Wales,Australia,Heavy Mineral Sands,151.0,,,,,,,,,,,,,,,,
Kemerton,Western Australia,Australia,Heavy Mineral Sands,8.0,,,,,,,,,,,,,,,,
Kulwin Nth,Victoria,Australia,Heavy Mineral Sands,5.0,,,,,,,,,,,,,,,,
Laburnum,New South Wales,Australia,Heavy Mineral Sands,70.0,,,,,,,,,,,,,,,,
Ludlow,Western Australia,Australia,Heavy Mineral Sands,5.0,,,,,,,,,,,,,,,,
Massidon,New South Wales,Australia,Heavy Mineral Sands,430.0,,,,,,,,,,,,,,,,
McCalls,Western Australia,Australia,Heavy Mineral Sands,4431.0,,,,,,,,,,,,,,,,
Mercury,Victoria,Australia,Heavy Mineral Sands,37.0,,,,,,,,,,,,,,,,
Minervah,New South Wales,Australia,Heavy Mineral Sands,62.0,,,,,,,,,,,,,,,,
Murray,Victoria,Australia,Heavy Mineral Sands,217.5,,,,,,,,,,,,,,,,
North Stradbroke,Queensland,Australia,Heavy Mineral Sands,1195.7288401253918,2.322,4.946400000000001,0.5724,2.0088,0.3348,0.0864,0.1944,0.032400000000000005,0.06480000000000001,0.0108,0.0216,,0.0108,0.0108,0.22680000000000003,
Perth,Western Australia,Australia,Heavy Mineral Sands,1111.8,,,,,,,,,,,,,,,,
Red Gully,Western Australia,Australia,Heavy Mineral Sands,5.98,,,,,,,,,,,,,,,,
Scott River,Western Australia,Australia,Heavy Mineral Sands,29.0,,,,,,,,,,,,,,,,
Shamrock,New South Wales,Australia,Heavy Mineral Sands,129.0,,,,,,,,,,,,,,,,
Snapper,New South Wales,Australia,Heavy Mineral Sands,117.0,,,,,,,,,,,,,,,,
Somme,New South Wales,Australia,Heavy Mineral Sands,40.0,,,,,,,,,,,,,,,,
Telesto,Western Australia,Australia,Heavy Mineral Sands,1.9,,,,,,,,,,,,,,,,
Titan,Western Australia,Australia,Heavy Mineral Sands,136.6,,,,,,,,,,,,,,,,
Trelawney,New South Wales,Australia,Heavy Mineral Sands,47.0,,,,,,,,,,,,,,,,
Triangle,New South Wales,Australia,Heavy Mineral Sands,41.0,,,,,,,,,,,,,,,,
Wakool,New South Wales,Australia,Heavy Mineral Sands,53.0,,,,,,,,,,,,,,,,
Wedderburn,Victoria,Australia,Heavy Mineral Sands,349.0,,,,,,,,,,,,,,,,
Wemen South,Victoria,Australia,Heavy Mineral Sands,12.0,,,,,,,,,,,,,,,,
Western Strands,New South Wales,Australia,Heavy Mineral Sands,60.0,,,,,,,,,,,,,,,,
Whicher Scarp,Western Australia,Australia,Heavy Mineral Sands,5.0,,,,,,,,,,,,,,,,
WIM 150,Victoria,Australia,Heavy Mineral Sands,1650.0,,,,,,,,,,,,,,,,
WIM 200,Victoria,Australia,Heavy Mineral Sands,2630.0,,,,,,,,,,,,,,,,
Winchester,New South Wales,Australia,Heavy Mineral Sands,95.0,,,,,,,,,,,,,,,,
Yabbie,New South Wales,Australia,Heavy Mineral Sands,302.0,,,,,,,,,,,,,,,,
Yoganup Group (includes Yoganup North & Extended,Western Australia,Australia,Heavy Mineral Sands,27.642000000000003,,,,,,,,,,,,,,,,
Mount Gee,South Australia,Australia,Hydrothermal Undifferentiated,44.198,,,,,,,,,,,,,,,,
Milo,Queensland,Australia,IOCG,187.2,127.90190902952551,221.979039727029,20.507185737675094,68.58773181169758,10.348245010323467,3.454421459422596,8.675862068965518,,6.970509383378016,,4.372581825786887,,,,40.94655731316316,
Olympic Dam,South Australia,Australia,IOCG,9576.0,1705.35878706034,2561.2966122349503,,,,,,,,,,,,,,
Korella ,Queensland,Australia,Sedimentary Undifferentiated,13.72,,,,,,,,,,,,,,,551.2036561387348,
Mary Kathleen ,Queensland,Australia,Tailings,5.5,,,,,,,,,,,,,,,,
Port Pirie (Radium Hill),South Australia,Australia,Tailings,0.1515,3208.1006885293527,2028.7497918692675,59.2204208596228,152.7944520557619,17.076311898223548,5.985383716821328,34.359849778081255,43.01001356900573,284.68664560826056,60.50278981214164,329.0259591681222,60.685325257762905,565.1764932887929,52.240324801440295,1247.4198724497535,193.649099813398
Araxá,Minas Gerais,Brazil,Carbonatite ,28.29,10062.370360263936,17741.573801235372,1630.8250658654842,4994.703370279998,540.8229143783404,122.01959264658224,249.737557075121,26.17953999908446,105.27372568864983,14.52355980584377,29.09861240190677,1.7923698720061711,14.651832917206468,0.19738619247910766,373.6227224482518,
Serra Negra,Minas Gerais,Brazil,Carbonatite ,200.0,,,,,,,,,,,,,,,,
Catalão I,,Brazil,Carbonatite ,46.0,,,,,,,,,,,,,,,,
Morro dos Seis Lagos ,,Brazil,Carbonatite ,2898.0,,,,,,,,,,,,,,,,
Tapira,,Brazil,Carbonatite ,166.0,,,,,,,,,,,,,,,,
Thor Lake/ Nechalacho (Basal and Upper),Northwest Territries,Canada,Alkaline,311.70000000000005,1612.1907813630887,4641.180612494234,609.4541626199234,2262.532192014982,446.12035652012446,52.59220911101867,368.9756460787892,47.42512047810635,215.88664944724982,35.6534807328324,87.35478600266353,11.63048512760541,71.26234569999808,10.120332480964809,836.1410587759934,
Hoidas Lake (JAK Zone),Saskatchewan,Canada,Alkaline,4.823588000000001,3417.4531033745,7427.522313265561,952.1393452342944,3470.765610578681,494.85573809371766,93.41279354704422,223.41279354704423,19.999999999999996,59.99999999999999,,40.984924500185336,,10.0,,200.98492450018531,
Kipawa Lake (Zeus),Quebec,Canada,Alkaline,24.45,518.2023875829918,1052.4240325922426,131.95821851889468,478.1715049199361,107.30572808250894,13.960207213853677,107.95682109865312,19.88402358026476,132.13498577279233,28.466103047005543,91.32883790563794,14.154142082111855,85.37550595438252,11.821800328953826,726.5534070236756,
Two Tom,Labrador,Canada,Alkaline,44.3,2336.341538272666,4431.043139166464,461.41167909768967,1543.2239657631956,267.32966276668964,25.90816094566947,164.84137931034482,17.376045481878315,69.70509383378017,8.729688244323295,17.49032730314755,,8.781973203410475,,29.135050395904557,
Lackner Lake,,Canada,Alkaline,113.0,,,,,,,,,,,,,,,,
Strange Lake,Quebec,Canada,Alkaline ,492.479,1033.6140759162438,2227.8089517998,247.73497901372573,953.5370353264649,207.41822869877103,8.987122006890758,201.4116532327547,40.19252300426614,275.693703181922,60.14722744012338,190.57323243789284,28.047803462734187,192.0893808170417,27.811285998456285,1709.5612846669635,
Elliot Lake,,Canada,Alluvial/Placer,51.602,406.3291539087632,718.1356924150226,70.88970001162747,235.80653850625947,39.532915390876326,1.625376923375063,25.00603077400101,3.050753846750126,13.703015387000503,2.150753846750126,5.576130770125189,0.7253769233750631,4.450753846750127,0.625376923375063,57.23593077787684,
Eco Ridge - HWZ,Ontario,Canada,Alluvial/Placer,49.18,168.35577272186828,317.013889890227,31.615244678915772,101.78557817537138,17.24707501720578,0.863605364855649,10.780737698251322,1.7376045481878315,6.47048730548284,0.8729688244323295,2.6235490954721317,,2.1306195541100603,,4.272716960036436,
Eco Ridge - MCB,Ontario,Canada,Alluvial/Placer,59.303,319.74246470472013,605.6225423265192,58.8911112912576,195.53336987447835,33.962513302181286,1.727210729711298,22.889965071255922,3.400845236184668,14.812332439678285,2.6189064732969882,6.121614556101642,0.8756025501477219,4.3909866017052375,0.8793788008242449,60.93438701224966,5.117487105856732
Niobec REE Zone,Quebec,Canada,Carbonatite,466.8,3451.6461850101286,6755.846697538387,741.6765508459159,,293.2002752924983,60.45237553989543,139.68137931034482,10.860028426173947,39.993297587131366,4.364844122161648,8.307905468995086,1.9263256103249884,,0.703503040659396,74.01877668148725,27.642763501363188
Saint-Honoré Complex,Quebec,Canada,Carbonatite,1058.2,3576.6746724583563,6801.279416718607,742.9597841498879,2572.99888783769,281.1644833654469,60.028325882383605,130.165970581143,11.29754943530705,35.73637615192575,4.364844122161648,7.873787677824068,0.8756025501477219,0.8781973203410475,0.8793788008242449,513.3510245775157,
Montviel,Quebec,Canada,Carbonatite,250.60000000000002,3171.7016046639383,6110.7505197859045,644.212181758867,2074.2735796428087,214.20474879559535,41.04916865129508,72.06574015466329,72.16675234452893,20.50403428554312,2.6189064732969882,4.6053441624029965,0.8756025501477219,2.868334025136263,0.23405652839176833,57.952739206642015,
Clay - Howells,Ontario,Canada,Carbonatite,11.971,972.0545086243939,1750.2193516938826,179.43787520465708,643.0099857346647,103.4824501032347,25.90816094566947,69.40689655172415,26.064068222817472,43.5656836461126,8.729688244323295,17.49032730314755,,17.56394640682095,,196.85844862097673,
Lavergne-Springer,,Canada,Carbonatite,49.595,1921.9941982083606,3410.214992425732,566.4023779442665,1233.6391078721954,160.8151076715199,36.410730554683205,90.50886025079002,8.688022740939157,36.73572289431797,8.729688244323295,10.635261628813804,,8.781973203410475,,161.52562185959653,
Oka,Quebec,Canada,Carbonatite,210.0,,,,,,,,,,,,,,,,
Ashram (Eldor),,Canada,Carbonatite ,422.74,3076.960456108417,5746.373625396686,618.2653655683146,2208.0000996150584,284.0192697585486,66.36735932546182,156.67625079734344,15.912559416253396,63.068154504869995,8.911947383378973,18.734104138524426,1.8364579766830114,11.604029152198141,1.7628763744772544,10.404728521682063,
Foxtrot,,Canada,Felsic Volcanic,14.393999999999998,1563.6269916967194,3332.8413966153134,377.3971959366269,1370.9715643723002,249.2250867604563,12.334305329097146,196.6561283676628,32.07922927807504,184.38526385547152,35.72494823803925,101.31011448747097,14.571050829827307,91.5804714273118,14.070060813187919,1015.9605501855989,
Buckton,Alberta,Canada,Shale-hosted,4712.05,41.43037669753313,71.7163051425786,8.957100084775432,34.40596104384757,6.797664394152278,1.4631451511603,5.797806757187827,0.8688022740939157,5.135722215585942,1.0475625893187954,2.973355641535083,0.43780127507386096,2.9858708891595613,0.43968940041212246,31.831991815663887,11.957442512777101
