record_id,Mineral Site Name,Country,State/Province,Latitude,Longitude,Tonnage,Grade (% of carbon)
89,Unnamed graphite mine,United States,Georgia,34.12,-84.74,,
90,Detroit-Northern Graphite quarries,United States,Michigan,46.63,-88.35,,
91,Black Diamond Carbon Graphite,United States,Montana,46.32,-111.63,,
92,Crystal Graphite Mine,United States,Montana,45.1,-112.51,,
93,Boston-Goshen-Osgood Mines area,United States,New Hampshire,43.27,-72.1,,
94,Stone Mills Graphite Mine,United States,New Jersey,40.68,-74.88,,
95,Adirondack Mining & Milling Mine,United States,New York,43.56,-73.46,,
96,Essex-Warren area,United States,New York,43.9,-73.47,,
97,Champlain Graphite Mine,United States,New York,43.54,-73.48,,
98,M. B. Hooper Graphite Mine,United States,New York,43.55,-73.5,,
99,Pope Mills-Rossie deposits,United States,New York,44.47,-75.55,,
100,Rowland Graphite Mine area,United States,New York,43.6,-73.97,,
101,Silver Leaf Graphite Co. Mine,United States,New York,43.59,-73.43,,
102,Dillinger Mine and mill,United States,North Carolina,35.9,-82.18,,
103,Cranston-Penners Ledge Mines,United States,Rhode Island,41.77,-71.46,,
104,Copper Cliff Mine,United States,South Dakota,44.12,-103.84,,
105,Burnet-Llano district,United States,Texas,30.78,-98.36,"400,000",5
106,Rabbit Creek area,United States,Wyoming,42.21,-105.23,,
107,Taskazgan,Uzbekistan,,40.81,63.38,"2,300,000",15
108,Lynx Mine,Zimbabwe,,-16.43,29.3,"6,700,000",26.2
