deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
179,Jacunda,Brazil,-62.9175,-9.12694444444444,10.28,million metric tons,Measured,Sn,130.0,grams/metric ton,,,1986
181,Mocambo,Brazil,-52.0,-6.84,11.89,million metric tons,Probable + Proven,Sn,192.0,grams/metric ton,,,1990
182,Montenegro,Brazil,-62.8030555555556,-9.58638888888889,50.48,million metric tons,Probable + Proven,Sn,107.0,grams/metric ton,,,1986
183,Morrinhos,Brazil,-51.8355555555556,-30.2619444444444,800.0,metric tons,Probable + Proven,Sn,100.0,percent,,,1985
184,Oriente Novo,Brazil,-62.4005555555556,-9.58166666666667,6.46,million metric tons,Measured,Sn,168.0,grams/metric ton,,,1986
185,Pedra Prata,Brazil,-50.15,-7.56,322753.0,metric tons,Probable + Proven,WO3,1.1,percent,,,1982
185,Pedra Prata,Brazil,-50.15,-7.56,322753.0,metric tons,Probable + Proven,WO3,1.1,percent,,,1982
186,Pela Ema,Brazil,-48.4813888888889,-13.4986111111111,3591494.0,metric tons,Probable + Proven,Sn,558.0,grams/metric ton,,,1979
188,Potosi,Brazil,-62.8602777777778,-9.28027777777778,,,,Sn,,,,,
191,Santa Barbara,Brazil,-63.0675,-9.1425,,,,Sn,,,,,
192,San Francisco,Brazil,-61.3702777777778,-9.20361111111111,,,,Sn,,,,,
193,San Lourenco,Brazil,-64.0669444444444,-9.48166666666667,,,,Sn,,,,,
194,San Pedro do Iriri,Brazil,-53.7644444444444,-6.09277777777778,,,,Sn,,,,,
195,Serra Branca,Brazil,-48.0691666666667,-13.6180555555556,,,,Sn,,,,,
196,Serra da Pedra Branca; Nova Roma,Brazil,-46.9719444444444,-13.6477777777778,,,,Sn,,,,,
197,Serra do Bom Jardim,Brazil,-52.2588888888889,-6.97833333333333,,,,W,,,,,
198,Surucucus,Brazil,-63.7166666666667,2.85,,,,Sn,,,,,
199,Velho Guilherme,Brazil,-51.18,-6.79,,,,Sn,,,,,
200,Grancharitsa,Bulgaria,24.1333333333333,42.0,,,,W,,,,,
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Zn,2.26,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,In,12.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Ag,25.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Sn,280.0,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Au,0.31,ppm,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Pb,0.42,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Cu,0.29,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,Zn,2.26,percent,,,2003
201,Armstrong,Canada,-66.0455555555556,47.6011111111111,3.38,million metric tons,,In,12.0,ppm,,,2003
