deposit_no,deposit_name,country,longdd,latdd,tonnage,tonnage_unit,category,commodity,grade,grade_unit,cutoff_grade,cutoff_grade_unit,year
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,WO3,0.08,percent,,,1998
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,MoS2,0.1,percent,,,1998
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,MoS2,0.1,percent,,,1998
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,SnO2,0.04,percent,,,1998
76,Glen Eden,Australia,151.866666666667,-29.6208333333333,30.0,million metric tons,,SnO2,0.04,percent,,,1998
77,Great Pyramid,Australia,148.183611111111,-41.4275,3.0,million metric tons,,Sn,0.33,percent,,,1990
78,Greenbushes,Australia,116.053888888889,-33.8588888888889,5.4,million metric tons,,Sn,0.24,kilograms/metric ton,,,1990
78,Greenbushes,Australia,116.053888888889,-33.8588888888889,13.46,million metric tons,Proven + Probable,Ta2O5,0.059,percent,,,1990
78,Greenbushes,Australia,116.053888888889,-33.8588888888889,5.4,million metric tons,,Ta2O5,0.07,kilograms/metric ton,,,1990
78,Greenbushes,Australia,116.053888888889,-33.8588888888889,13.46,million metric tons,Proven + Probable,Nb2O5,0.044,percent,,,1990
78,Greenbushes,Australia,116.053888888889,-33.8588888888889,13.46,million metric tons,Proven + Probable,Sn,0.15,percent,,,1990
79,Hatches Creek,Australia,135.188055555556,-20.8888888888889,1000.0,metric tons,,W,51.6,percent,,,1958
80,Jeannie River,Australia,144.666666666667,-14.75,6.7,million metric tons,,Sn,0.8,percent,,,1986
81,Kangaroo Hills-Ewan,Australia,145.866666666667,-18.9,,,,Sn,,,,,
82,Kara,Australia,145.771944444444,-41.3130555555556,0.4,million metric tons,,WO3,0.75,percent,,,1992
83,King Island,Australia,144.066666666667,-40.05,6.82,million metric tons,,WO3,1.01,percent,,,1987
84,Lancelot,Australia,145.275,-17.4519444444444,,,,Sn,,,,,
