Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Grum,Canada,Sediment-hosted Pb-Zn,Sedex,C,unknown,Yukon Gov't Zn profile,18.65,4.43
H.B.,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),6.45,4.1
Hackett River,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,87,3.8
Halfmile Lake,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2011-08),12.34,7.42
Hart River,Canada,VMS,,NC,unknown,Yukon Gov't Zn profile,0.524,3.65
High Lake,Canada,VMS,,C,MMG,Annual Report 2013,13.9,3.8
Holliday,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.036,20.78
Homestake,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.25,2.19
Horne 5,Canada,VMS,,C,Falco Resources,Tech Rep (2014-05),67.618,0.72
Howard's Pass-Anniv Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,97.95,4.41
Howard's Pass-Brodel,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,12.1,4.31
Howard's Pass-Don Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,130.162,5.29
Howard's Pass-HC Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,57.87,4.69
Howard's Pass-HP,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,6.18,4.55
Howard's Pass-OP Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,3.15,3.52
Howard's Pass-Pelly North,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,6.85,3.2
Howard's Pass-XY Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,109.301,4.8
Hudson Bay Mountain-Silver Lake 2,Canada,Epithermal,,NC,Lions Gate Metals,Tech Rep (2005-04),0.03,17.7
Hudson Bay-777,Canada,VMS,,C,HudBay Minerals,Ann Info Form 2013,11.38,4.16
Hudson Bay-Bur,Canada,VMS,,C,HudBay Minerals,Tech Rep (2008-01),1.05,8.57
Hudson Bay-Lalor,Canada,VMS,,C,HudBay Minerals,Ann Info Form 2013,25.31,5.01
Hudson Bay-Reed,Canada,VMS,,C,"HudBay Minerals-70%, VMS Ventures-30%",Ann Info Form 2013,2.35,0.5
Hudson Bay-Watts River,Canada,VMS,,C,HudBay Minerals,Tech Rep (2008-01),6.62,2.63
Hudvam,Canada,VMS,,C,Murgor Resources,Tech Rep (2008-10),1.36,1.61
Indian Mountain (BB Lake-Kennedy Lake),Canada,VMS,,NC,Panarc Resources,Brochure,0.92,9.4
Inel (AK),Canada,Skarn?,,NC,Snip Gold Corp,Tech Rep (2012-05),0.317,2.6
Izok Lake,Canada,VMS,,C,MMG,Annual Report 2013,14.2,12.8
J&L (Main Zone-Yellowknife-Yellowjacket),Canada,Sediment-hosted Pb-Zn,Sedex,C,Huakan International Mining,Tech Rep (2012-04),7.199,3.28
Jason,Canada,Sediment-hosted Pb-Zn,Sedex,C,HudBay Minerals,Website (2014-10-26),12.46,6.57
Jersey,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),7.88,3.49
Jonpol,Canada,VMS?,,NC,Abcourt Mines,Ann Info Form 2011,2.547,0.96
Jubilee,Canada,Sediment-hosted Pb-Zn,MVT,C,Merrex Gold,Tech Rep (2009-02),3.465,3.62
Keg Main Zone,Canada,Skarn-epithermal,Original skarn with epithermal overprint,C,Silver Range Resources,Tech Rep (2013-05),63.97,0.64
Kennedy Lake-BB Zone,Canada,VMS,,NC,unknown (Axmin Inc??),NWT Guide 2007,0.919,9.4
Keno Hill-Bellekeno,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-12),0.61,5.2
Keno Hill-Flame/Moth,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-03),1.49,5.59
Keno Hill-Lucky Queen,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-12),0.27,1.28
Keno Hill-Onek,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2011-09),0.82,13.1
Kidd Creek,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,21.47,4.93
Kitsault (Mo),Canada,Porphyry,Porphyry Mo,C,Avanti Mining,Tech Rep (2014-03),639.6,
Kitsault River-Torbrit,Canada,Porphyry,Porphyry Mo,NC,unknown,BC OFR (1998-10),0.786,0.5
Kitsault River-Wolf,Canada,Porphyry,Porphyry Mo,NC,unknown,BC OFR (1998-10),0.485,0.12
Klaza-BRX,Canada,Epithermal,Low sulfidation,C,Rockhaven Resources,Tech Rep (2015-01),9.06,0.84
Kokanee (Scranton/Sunset),Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.018,8
Kootenay King,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.01,15.6
Kudz Ze Kayah (ABM),Canada,VMS,,C,Teck,Ann Info Form 2005,12.8,6
Kutcho,Canada,VMS,,C,Capstone Mining,Ann Info Form 2012,12.37,3.17
La Ronde,Canada,VMS,,C,Agnico Eagle Mines,Reserves-Resources 2013,38.91,0.74
Lafontaine,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,0.03,12.03
Langlois,Canada,VMS,,C,Nyrstar,Reserves-Resources 2013,5.71,9.86
Lara-Coronation Trend,Canada,VMS,,C,Treasury Metals,Website (2014-10-26),1.816,2.73
Leitch,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,"(see Gatineau, Midland Expl'n)",0.13,8
Lemarchant-South Tally Pond,Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2012-03),3.79,3.86
Lenora (L.35G),Canada,VMS,,NC,unknown,BC OFR (1998-10),0.317,6.6
Lessard,Canada,VMS,,C,Landore Resources,Tech Rep (2008-12),0.74,3.5
Linda 2-RLM,Canada,VMS,,NC,Thundermin Resources,Website (2014-08-11),11.8,0.8
Logan,Canada,Epithermal,,C,Yukon Zinc Corp,Company Fact Sheet (2014-06),13.08,5.1
Long Lake,Canada,Sediment-hosted Pb-Zn,,C,Canadian Zinc Corp,Tech Rep (2012-03),0.49,7.49
Lundberg-Engine,Canada,VMS,,C,Minco Silver,Tech Rep (2013-07),28.64,1.42
Lustdust (Canyon Creek),Canada,Skarn,,NC,ALQ Gold Corp,BC OFR (1998-10),0.307,2.7
Magusi River,Canada,VMS,,C,Globex Mining,Tech Rep (2012-03),1.66,3.32
Marg,Canada,VMS,,C,Golden Predator (formerly Redtail Metals),Tech Rep (2011-06),14.35,2.86
Matt Berry (Barb),Canada,VMS,,NC,Silver Range Resources,Website (2016-02-04),0.533,4.6
McIlvenna Bay,Canada,VMS,,C,Foran Mining Corp,Tech Rep (from media 2013-03-27),25.21,2.8
McMillan,Canada,Skarn,,NC,Glencore Xstrata (?),Yukon Gov't Zn profile,1.5,6.5
Mel,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Silver Range Resources,Tech Rep (2014-11),5.62,6.31
Mineral King,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2.1,4.12
Ming-Rambler,Canada,VMS,Noranda-type,C,Rambler Metals & Mining,Tech Rep (2015-11),83.63,0.02
Miya-Emerald Glacier,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.041,9.49
Monarch-Kicking Horse,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.76,7
Mt Pleasant (North Zone),Canada,Porphyry,Sn-W-Mo,C,Adex Mining,Tech Rep (2013-10),18.49,0.8
Murray Brook,Canada,VMS,,C,"Votorantim Metais, El Nino",Tech Rep (2012-04),20.71,2.45
Myra Falls,Canada,VMS,,C,Nyrstar,Reserves-Resources 2013,9.15,6.22
Nanisivik,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,7.28,2.77
Nash Creek,Canada,VMS,,C,Slam Resources,Tech Rep (2009-02),9.02,2.71
Nepisiguit,Canada,VMS,,C,Slam Resources,Tech Rep (2012-07),7.56,1.52
New Moon,Canada,Epithermal,Low sulfidation,NC,Northaven Resources Corp (?),BC OFR (1998-10),0.689,5.51
Ox-C,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.217,4.63
Packsack,Canada,VMS,,NC,unknown,BC OFR (1998-10),2.7,0.2
PD1,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,1.55,4.72
Peak,Canada,Epithermal,,C,Grizzly Discoveries,Website (2014-10-26),0.003,
Peso (Rex),Canada,Intrusion-related,,NC,unknown (Victoria Gold Corp?),Yukon Gov't Zn profile,0.139,
Pick Lake,Canada,VMS,,C,Golden Share Mining Corp,Tech Rep (2013-06),1.29,15.06
Pine Point Group,Canada,Sediment-hosted Pb-Zn,MVT,C,Tamerlane Ventures,Tech Rep (2014-03),25.28,2.57
Plata,Canada,Epithermal,,NC,Rockhaven Resources,Tech Rep (2008-01),0.31,2.5
Point Leamington,Canada,VMS,,C,Newmarket Gold,Tech Rep (2013-09),19.37,1.63
Polaris,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,5.9,15.6
Porter-Idaho,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.826,5
Portland Canal,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.147,0.4
Prairie Creek,Canada,Sediment-hosted Pb-Zn,MVT,C,Canadian Zinc Corp.,Tech Rep (2012-06),11.67,12.8
Premier Camp,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.359,
Rea / Extra High,Canada,VMS,,NC,37 Capitral,Tech Rep (2008-02),0.38,6.1
Red Bird,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,BC OFR (1998-10),2.177,18.5
Remac,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),5.8,3.42
Ribago,Canada,VMS,,NC,Falco Resources,Website (2014-10-26),0.48,7.97
River Jordan,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Silver Phoenix Resources,BC OFR (1998-10),2.606,5.6
Robb Lake (Barrier),Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,BC MINFILE 094B 005,20.14,3.3
Rochon Lake,Canada,VMS,,NC,Panarc Resources,Brochure,1,2.06
Rock and Roll,Canada,VMS,,C,Pacific North West Capital,Tech Rep (2011-02),2.314,0.88
Romer-Frederickson Lake,Canada,VMS,,NC,Minco Silver,Tech Rep (2014-02),0.25,4.38
Romer-Jimmick Lake,Canada,VMS,,NC,Minco Silver,Tech Rep (2014-02),0.1,5.2
Romer-Koke,Canada,VMS,,NC,Minco Silver,Tech Rep (2014-02),0.96,6.86
Romer-Soucy #1,Canada,VMS,,NC,Minco Silver,Tech Rep (2014-02),4.94,1.8
Ruddock Creek,Canada,Sediment-hosted Pb-Zn,Sedex,C,Imperial Metals Corp.,"see also Silver Phoenix (River Jordan), Selkirk Metals ??",15.13,5.89
Ruth-Vermont,Canada,Epithermal,,NC,Jasper Mining,BC OFR (1998-10),0.274,4.8
Ruttan,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2011-08),22.264,1.33
Sä Dena Hes (Mt Hundere),Canada,Skarn-manto,,C,JDS Silver,Ann Info Form 2005 (Teck),2.19,10.4
Salerno Lake,Canada,Sediment-hosted Pb-Zn,,NC,unknown,"(see Gatineau, Midland Expl'n)",1.5,5.7
Salmo,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,BC OFR (1998-10),0.036,4.1
Scotia (BC),Canada,VMS,,NC,Atna Resources,BC OFR (1998-10),1.34,3.8
Scotia-Gays River,Canada,Sediment-hosted Pb-Zn,MVT,C,Selwyn Resources,Tech Rep (2013-06),11.52,2.97
Scotia-Getty,Canada,Sediment-hosted Pb-Zn,MVT,C,Selwyn Resources,Tech Rep (2013-06),5.32,1.85
Scott Lake,Canada,VMS,,C,Cogitore Resources,Tech Rep (2011-07),5.45,4.6
Seneca,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),1.506,3.57
Sherridon (Cold-Lost-Bob-Jungle),Canada,VMS,,C,Sendero Mining Corp (formerly Halo Resources),Tech Rep (2010-11),22.413,0.95
Silver Coin,Canada,Epithermal,,C,Jayden Resources,Tech Rep (2013-08),1.669,0.74
Silver Hart,Canada,Epithermal,Low sulfidation,C,CMC Metals,Tech Rep (2010-01),0.07,9.12
Silver King (Ymir),Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.068,0.92
Silver Queen (Cole Lake),Canada,Epithermal,,NC,New Nadina Exploration,Tech Rep (1996-02),0.842,5.49
Silver Queen (Wrinch),Canada,Epithermal,,NC,New Nadina Exploration,Tech Rep (1996-02),0.578,6.53
Silvertip (Midway),Canada,Sediment-hosted Pb-Zn,Sedex,C,JDS Silver,Tech Rep (2002-10; Silver Standard),2.57,8.8
Sito East,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown (formerly Golden Arch Resources?),Steadman & Spry 2015,0.05,4.5
Skidder,Canada,VMS,,NC,Canadian Zinc Corp,Website (2014-10-31),1,2
Slocan Group,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.121,13.62
Smith Copper,Canada,Skarn,,NC,unknown,BC OFR (1998-10),0.084,12.5
Spar,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),1.36,0.08
Stannex-Woolsey,Canada,Epithermal,,NC,Northavn Resources Corp,BC OFR (1998-10),0.591,1.26
Stemwinder,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,0.03,15.6
Stratmat,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2009-02),5.525,6.11
Sullivan,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,12.8,12
Summit,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),0.24,4.5
Sunrise Lake,Canada,VMS?,,C,Silver Standard,Ann Info Form 2013,4.1,4.99
Swim,Canada,Sediment-hosted Pb-Zn,,NC,unknown,Yukon Gov't Zn profile; PorterGeo,4.3,4.7
Tetagouche-Armstrong A/B,Canada,VMS,,NC,Wolfden Resources Corp,Website (2014-10-31),3.866,2.11
Tetagouche-Canoe Landing Lake,Canada,VMS,,NC,Wolfden Resources Corp,Website (2014-10-31),22.8,1.82
Tetagouche-Rocky Turn,Canada,VMS,,NC,Wolfden Resources Corp,Website (2014-10-31),0.13,8.43
Tinta Hill,Canada,Epithermal?,,C,Northern Freegold Resources,Tech Rep (2009-08),4.53,0.91
Tintina (Eagle),Canada,Skarn,,NC,unknown,Yukon Gov't Zn profile,0.091,10
Thor,Canada,VMS,,C,Taranis Resources,Tech Rep (213-08),1.06,3.39
Tom,Canada,Sediment-hosted Pb-Zn,Sedex,C,HudBay Minerals,Website (2014-10-26),18.53,6.67
Tortigny,Canada,Sediment-hosted Pb-Zn,VMS-associated or SEDEX,C,Beaufield Resources,Tech Rep (2014-04),1.2,3.46
Treasure Mountain,Canada,Epithermal,,C,Huldra Silver,Tech Rep (2012-06),0.31,3.03
Trout Lake Camp,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.416,5.52
Tulsequah Chief,Canada,VMS,,C,Chieftain Metals,Ann Info Form 2013,6.97,5.84
Upton,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,1.31,1.94
Val,Canada,Sediment-hosted U,Basal U mineralisation,NC,unknown (Prism Reosurces?),Yukon Gov't Zn profile,0.02,7.3
Vangorda,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Yukon Gov't Zn profile,7.1,4.3
Vendôme (Mogador),Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.676,7.5
Vera,Canada,Epithermal,,NC,unknown (Prism Reosurces?),Yukon Gov't Zn profile,0.353,3.47
Vermilion,Canada,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,Reserves-Resources 2013,3.2,4.36
Vine 1,Canada,Epithermal,,NC,PJX Resources,Website (2014-10-26),1.3,3.12
Virginia Silver,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.02,2.2
Walton,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Nova Scotia MinFile 2008,0.5,3.5
West Ansil,Canada,VMS,,NC,"Falco Resources, Glencore Xstrata",Website (2014-10-26),1.13,0.3
Wim,Canada,VMS,,C,Murgor Resources,Tech Rep (2008-10),3.22,0.32
Wolf (Hasselberg),Canada,VMS,,NC,Atna Resources,Yukon Gov't Zn profile,4.1,6.2
Wolverine (Fetish),Canada,VMS,,C,Yukon Zinc Corp,Tech Rep (2007-10),6.15,12.14
Wrigley,Canada,Sediment-hosted Pb-Zn,MVT,C,Devonian Metals,Tech Rep (2012-06),10.82,4.15
Yava,Canada,VMS?,,NC,Savant Explorations,Tech Rep (2008-02),1.3,4.96
Cachinal,Chile,Epithermal,Low sulfidation,C,"Apogee Minerals, Valencia Ventures",Tech Rep (2010-04),6.47,0.22
El Toqui,Chile,Manto,Porphyry-IOCG?,C,Nyrstar,Reserves-Resources 2013,11.2,5.3
Minera Florida,Chile,Epithermal,Low sulfidation?,C,Yamana Gold,Ann Rep 2013,9.39,1.65
Paguanta-Patricia,Chile,Epithermal,Low sulfidation,C,Herencia Resources,Website (2014-10-26),5.6,4.4
Vallecillo-La Colorada,Chile,Porphyry,Cu-Au-Ag-Zn,C,Metminco,Website (2016-06-25),27.891,0.8
Aerhada,China,Epithermal,,NC,Shanjinaerhada Mining,ILZSG database (2016-03-02),11.4,3.3
Baiyinnour,China,Skarn,,NC,Chifeng Nonferrous Metals Corp,ILZSG database; CNMI website,14.21,5.53
Beiya,China,Skarn,,NC,Yunnan Gold Mining Group?,Zhou et al (2016),77.1,0.69
BYP,China,Sediment-hosted Pb-Zn,MVT,C,Silvercorp Metals,Tech Rep (2012-06),32.12,1.8
Caijiaying,China,Skarn,,C,Griffin Mining,Ann Rep 2013,49.4,4.1
Changba-Lijiagou,China,Sediment-hosted Pb-Zn,Sedex,NC,Baiyin Nonferrous,ILZSG database (2016-07-12),13.5,11
Dakuangshan,China,Skarn,,C,China Polymetallic Mining,Ann Rep 2013,4.36,5.2
Fuwan-Changkeng,China,Epithermal,Low sulfidation?,C,Minco Silver,Ann Info Form 2013,27.265,0.64
Huangshaping,China,Skarn,,NC,unknown,Li et al (2016),22.43,8
Huayuan Fenghuang,China,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),50,3.4
Inner Mongolia Sanguikou,China,Sediment-hosted Pb-Zn,Sedex,C,Zijin Mining,Ann Rep 2013,133,2.25
Jiama,China,Porphyry,Porphyry with skarn,C,China Gold International Resources Corp,Website (2014-10-26),"1,449.00",0.03
Jiawula,China,Epithermal,,NC,"Naneco Minerals, Vina Mineral Res, Hullunbeir",ILZSG database (2016-07-12),5,5.2
Liziping,China,Sediment-hosted Pb-Zn,Sedex?,C,China Polymetallic Mining,Ann Rep 2013,1.2,3.88
Menghu,China,Sediment-hosted Pb-Zn,Sedex?,C,China Polymetallic Mining,Ann Rep 2013,0.233,7.8
Mengya,China,Skarn,,NC,MCC,ILZSG database (2016-07-12),2,10
Nonggeshan,China,Skarn?,,C,MCC JV,Tech Rep (2009-07),20.42,1.4
Qiandongshan,China,Sediment-hosted Pb-Zn,MVT,NC,"Marshall Minerals, CNMI, Quinsun",ILZSG database (2016-07-12),25,7.7
Qinghai Deerni,China,VMS,,C,Zijin Mining,Ann Rep 2013,20.6,0.4
Shizishan,China,Skarn,,C,China Polymetallic Mining,Ann Rep 2013,8.502,6
Xietongmen,China,Skarn,,C,Continental Minerals,Tech Rep (2009-05),219.8,0.08
Xinjiang Ashele,China,VMS,,C,Zijin Mining,Ann Rep 2013,35.2,0.85
Xinjiang Wulugentashi,China,Skarn?,,C,Zijin Mining,Ann Rep 2013,136.4,2.46
Ying Group,China,Mesothermal Vein,with Orogenic Au,C,Silvercorp Metals,Tech Rep (2014-07),21.54,1.15
Berlin,Columbia,Sediment-hosted mixed,,C,U3O8 Corp,MDA 2011,8.7,2.8
Matahambre,Cuba,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),14.8,0.51
Victoria,Cuba,VMS,,NC,unknown,Russell et al (undated),0.54,0.26
Santa Lucia Castellanos,Cuba,Sediment-hosted Pb-Zn,Sedex,NC,Trafigura,ILZSG database (2016-07-12),12,2.4
Kipushi,Dem. Rep. Congo,Sediment-hosted Pb-Zn,MVT?,NC,Ivanhoe Mines,Tech Rep (2012-09),25.975,19.04
Sable Zinc Kabwe Tailings,Dem. Rep. Congo,Sediment-hosted Pb-Zn Tailings,MVT?,TC,formerly Metorex,Ann Rep 2010,5.3,4.9
Bayaguana Group,Dom. Rep.,Epithermal,High sulfidation,NC,Perilya,Tech Rep (2006-01),2.495,0.89
Cerro de Maimón,Dom. Rep.,VMS,,C,Perilya,Tech Rep (2012-08),7.51,1.42
Las Animas,Dom. Rep.,VMS,,C,GoldQuest Mining Corp,Tech Rep (2013-08),1.45,3.21
Romero-Romero South,Dom. Rep.,Epithermal,Intermediate sulfidation,C,GoldQuest Mining Corp,Tech Rep (2013-12),57.55,0.32
Curipamba-El Domo,Ecuador,VMS,,C,Salazar Resources,Tech Rep (2014-04),9.96,2.72
Abu Marawat,Egypt,Orogenic Au,,C,Alexander Nubia,Website (2014-10-26),2.9,1.15
Umm Gheig,Egypt,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.5,11
Asmara-Adi Nefas,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),1.84,10.05
Asmara-Debarwa,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),3.99,0.99
Asmara-Emba Derho,Eritrea,VMS,,C,Sunridge Gold Corp,Tech Rep (2013-08),85.03,1.29
Bisha,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,30.28,4.28
Hambok,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,6.88,1.85
Harena,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,2.24,3.78
Northwest,Eritrea,VMS,,C,Nevsun Resources,Ann Info Form 2013,4.25,0.66
Huatalampi,Finland,VMS,,C,Altona Mining,Ann Rep 2013,3.16,0.08
Kainuu-Rautavaara,Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,FinnAust Mining (Magnus Minerals-Western Areas),Website (2014-10-26),34.4,0.38
Kettukumpu,Finland,VMS,,NC,unknown,Geol Survey Finland,0.4,0.1
Kylylahti,Finland,VMS,,C,Altona Mining,Ann Rep 2013,7.7,0.52
Perttilahti,Finland,VMS,,NC,unknown,Geol Survey Finland,1.32,1.89
Pyhäsalmi,Finland,VMS,,C,First Quantum,Ann Info Form 2013,14.61,1.13
Rauhala,Finland,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.7,4.97
Rautavaara,Finland,IOCG,,C,"FinnAust Mining (formerly Western Areas, Magnus Minerals)",Website (10-01-2013) (FinnAust Mining),34.4,0.38
Riihilahti,Finland,VMS,,NC,unknown,Geol Survey Finland,0.7,0.09
Saramäki,Finland,VMS,,C,Altona Mining,Ann Rep 2013,3.4,0.63
Sykäräinen,Finland,VMS?,,NC,unknown,Geol Survey Finland,0.2,0.25
Talvivaara (Kolmisoppi/Kuusilampi),Finland,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,Talvivaara,Ann Rep 2012,"2,052.80",0.5
Vuonos,Finland,VMS,,C,Altona Mining,Ann Rep 2013,0.76,1.33
Arrens,France,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),4,3.5
Trèves,France,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.06,6
Amtkeli,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.29,3.8
Brdzyshra,Georgia,Sediment-hosted Pb-Zn,MVT,C,unknown,NATO Sci 2002 v17,0.25,1
Dambludi,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17,1.87,5.31
David Garedji,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17,2,5
Kvaisi,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,2.85,6.47
Madneuli,Georgia,Epithermal,High sulphidation,C,unknown,NATO Sci 2002 v17; Migineishvili 2005,93.07,4.09
Merisi Group,Georgia,Porphyry,,C,unknown,NATO Sci 2002 v17,3.27,1.4
Razdarankom,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.34,1
Rtskhmeluri,Georgia,Epithermal?,,C,unknown,NATO Sci 2002 v17,0.26,2.67
Skatykom,Georgia,Epithermal,,C,unknown,NATO Sci 2002 v17,0.17,
Zeshko,Georgia,VMS,May also be Sedex?,C,unknown,NATO Sci 2002 v17,22.88,1.67
Tellerhäuser,Germany,Skarn,,C,Anglo Saxony Mining,Website (2015-12-28),32.2,0.74
Geyer Southwest,Germany,Skarn,,C,Tin International (Deutchse Rohstoff),Website (2015-12-28),11.6,0.47
Olympias,Greece,Skarn,,C,Eldorado Gold,Form-40F 2013,20.92,5.5
Stratoni,Greece,Skarn,,C,Eldorado Gold,Form-40F 2013,1.83,10.1
Ark,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,0.49,4.7
Black Angel,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,4.43,8.6
Blyklippen,Greenland,Sediment-hosted Pb-Zn,MVT,NC,Ironbark Zinc,Thomassen (2005),0.22,9.3
Citronen,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Ironbark Zinc,Ann Rep 2013-14,132,4
Kvanefjeld,Greenland,Magmatic Alkaline Intrusive,Layered alkaline complex,C,Greenland Energy & Minerals,Ann Rep 2013,956,0.235
Nunngarut,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,0.2,9
South Lakes,Greenland,Sediment-hosted Pb-Zn,Sedex,C,Angel Mining,Conf. Pres. 2011-11,1.7,6.9
Holly-Banderas (HB)-Escobal,Guatemala,Epithermal,Low sulfidation,C,Radius Gold,Website (2014-10-26),31.7,1.19
Torlon Hill,Guatemala,Manto,Oxide Zinc - IOCG? ,C,Firestone Ventures,Tech Rep (2008-12),2.174,6.88
El Mochito,Honduras,Skarn,,C,Nyrstar,Reserves-Resources 2013,6.42,5.57
Ajari,India,VMS,,NC,Indo Gold,Website (2014-10-26),0.1,3.5
Ambaji,India,Sediment-hosted Pb-Zn,MVT,NC,RBG Minerals (Binani Industries),ILZSG database (2016-07-12),8.8,4.2
Ambamata,India,Sediment-hosted Pb-Zn,Sedex,NC,Indo Gold,Website (2014-10-26),8.3,6
Askot,India,VMS,,C,Pebble Creek Mining,Tech Rep (2008-09),2.01,5.71
Bajta Central,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),1.22,3.84
Ballaria,India,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),16,5.85
