Country,Project,Lat,Long,Mine,Source,Ni basis,Co basis,Mineral Deposit Type Primary,Mineral Deposit Type Secondary,Mineral Deposit Type Other Notes,Category,Mt,%Ni,%Co
South Africa,Amandelbult-Dishaba,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Probable,13.600000000000001,0.15823529411764706,
South Africa,Amandelbult-Tumela,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,179.9,0.13694274596998332,
South Africa,Amandelbult-Tumela,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,92.1,0.18110749185667754,
South Africa,Amandelbult-Tumela,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,92.4,0.17883116883116879,
South Africa,Amandelbult-Tumela,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Proven,40.4,0.12029702970297029,
South Africa,Amandelbult-Tumela,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Probable,0.1,0.12,
Madagascar,Ambatovy JV (incl. Anamalay),,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",AIF 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Measured,54.5,0.9492844036697247,0.08
Madagascar,Ambatovy JV (incl. Anamalay),,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",AIF 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Indicated,121.8,0.9158128078817734,0.07842364532019705
Madagascar,Ambatovy JV (incl. Anamalay),,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",AIF 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Inferred,52.5,0.84,0.08
Madagascar,Ambatovy JV (incl. Anamalay),,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",AIF 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Proven,49.9,0.94,0.08
Madagascar,Ambatovy JV (incl. Anamalay),,,"Sherritt, Sumitomo, Korea Resources Corp (KORES)",AIF 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Probable,102.6,0.93,0.08
Brazil,Americano do Brasil,,,"Votorantim, Prometalica (?)",Mota-e-Silva et al (2011),NC,NC,Magmatic Sulphide,Layered Intrusive,,Inferred,3.09,1.12,0.0662
Brazil,Araguaia North / South,,,Horizonte Minerals,Tech Rep (2018-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Measured,18.168,1.44,0.05
Brazil,Araguaia North / South,,,Horizonte Minerals,Tech Rep (2018-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Indicated,101.169,1.25,0.06
Brazil,Araguaia North / South,,,Horizonte Minerals,Tech Rep (2018-12),C,C,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,12.92,1.19,0.06
Finland,Arctic-Suhanko,,,CD Capital Management,ResV-ResC 2016,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Measured,46.9,0.1,
Finland,Arctic-Suhanko,,,CD Capital Management,ResV-ResC 2016,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Indicated,69.9,0.09,
Finland,Arctic-Suhanko,,,CD Capital Management,ResV-ResC 2016,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Inferred,91.7,0.1,
Australia,Area 55,,,China Minmetals,AR 2007,C,C,Magmatic Sulphide,Sediment-hosted polymetallic,,Indicated,12.2,0.2,0.21
South Africa,Aurora,,,Sylvania Pt,Tech Rep (2010-12),NC,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Inferred,133.43,0.20463110206781226,
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",WA MINEDEX,C,C,Laterite,Hydrous Mg silicate-oxide-clay silicate,Hydrous Mg silicate-oxide-clay silicate,Indicated,88.0,0.86,0.053
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",WA MINEDEX,C,C,Laterite,Hydrous Mg silicate-oxide-clay silicate,Hydrous Mg silicate-oxide-clay silicate,Inferred,81.8,0.79,0.06
Australia,Avebury,,,Dundas Mining,ResV-ResC 2016,C,,Hydrothermal Ni,Skarn,,Measured,3.8,1.1,
Australia,Avebury,,,Dundas Mining,ResV-ResC 2016,C,,Hydrothermal Ni,Skarn,,Indicated,4.9,0.9,
Australia,Avebury,,,Dundas Mining,ResV-ResC 2016,C,,Hydrothermal Ni,Skarn,,Inferred,20.7,0.8,
Serbia,Ba,,,unknown,SMME (2013),NC,,Laterite,Hydrous Mg silicate,,Inferred,2.5,1.55,
USA,Babbit-Minnamax,,,unknown,"Miller et al (2002), Miller (2015)",NC,,Magmatic Sulphide,Small M-UM Intrusion-related,Duluth Complex - Keweenawan LIP,Inferred,330.2208,0.19,
Sweden,Backviken,,,unknown,Pres. (31 July 2009),NC,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,0.07,0.46,
South Africa,Bafokeng-Rasimone,,,"Royal Bafokeng, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Measured,169.01,0.1627684752381516,
South Africa,Bafokeng-Rasimone,,,"Royal Bafokeng, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Indicated,123.4,0.15887520259319285,
South Africa,Bafokeng-Rasimone,,,"Royal Bafokeng, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Inferred,55.540000000000006,0.16585163845876846,
South Africa,Bafokeng-Rasimone,,,"Royal Bafokeng, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Proven,60.910000000000004,0.21475127236906913,
South Africa,Bafokeng-Rasimone,,,"Royal Bafokeng, Anglo Am Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Contact-type,Probable,64.31,0.1513497123308972,
Indonesia,Bahodopi,,,Vale,Dalvi & Bacon (2004),NC,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,175.0,1.77,
China,Baimazhai,,,unknown,Lu et al (2019),NC,,Magmatic Sulphide,Small M-UM Intrusion-related,Emeishan LIP,Inferred,3.8,1.03,
Guatemala,Baja Verapaz,,,unknown,Berger et al (2011),NC,NC,Laterite,Clay silicate-oxide,Clay silicate-oxide,Inferred,40.0,1.35,0.04
South Africa,Bakubung (Ledig-Frischgewaagd),,,"Wesizwe, Anglo Am Pt",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,6.698,0.2156295867868934,
South Africa,Bakubung (Ledig-Frischgewaagd),,,"Wesizwe, Anglo Am Pt",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,50.986999999999995,0.1490330431376395,
South Africa,Bakubung (Ledig-Frischgewaagd),,,"Wesizwe, Anglo Am Pt",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,21.32,0.15620543421284055,
South Africa,Bakubung (Ledig-Frischgewaagd),,,"Wesizwe, Anglo Am Pt",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Proven,7.052,0.2156295867868934,
South Africa,Bakubung (Ledig-Frischgewaagd),,,"Wesizwe, Anglo Am Pt",AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Probable,54.07000000000001,0.1487714555335761,
Australia,Bamboo Creek,,,"Kitchener Mining50%, Destra25%, Haoma Mining25%",WA MINEDEX,C,,Hydrothermal Ni,,,Inferred,1.025,0.8,
Australia,Barnes Hill,,,unclear,AR 2011,C,C,Laterite,Clay silicate-oxide,Clay silicate-oxide,Indicated,5.674,0.82,0.06
Australia,Barnes Hill,,,unclear,AR 2011,C,C,Laterite,Clay silicate-oxide,Clay silicate-oxide,Inferred,0.933,0.77,0.05
Brazil,Barro Alto,,,Anglo American,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Measured,14.4,1.4116666666666666,
Brazil,Barro Alto,,,Anglo American,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Indicated,49.6,1.2409677419354839,
Brazil,Barro Alto,,,Anglo American,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Inferred,17.5,1.2688571428571427,
Brazil,Barro Alto,,,Anglo American,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Proven,13.9,1.42,
Brazil,Barro Alto,,,Anglo American,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Probable,38.1,1.27,
USA,Benbow,,,unknown,Tech Rep (2009-06),NC,,Magmatic Sulphide,Stratabound Stratiform Reef-type,,Inferred,9.25344,0.26,
South Africa,Berg,,,Platfields,AR 2012,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,13.685,0.11240231217618901,
South Africa,Berg,,,Platfields,AR 2012,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,9.945,0.11240231217618901,
Philippines,Berong,,,DMCI Holdings,AR 2011,C,,Laterite,Hydrous Mg silicate-Oxide,Hydrous Mg silicate-oxide,Inferred,9.13,1.55,0.08
India,Bhimatangar,,,Indian Gov't,Berger et al (2011),NC,NC,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,63.9,1.03,0.15
Zimbabwe,Bindura (Trojan-Shangani-Hunter's Road),,,Asa Resource Group,AR 2012,C,,Magmatic Sulphide,Archean Komatiite,,Measured,3.55,0.96,
Zimbabwe,Bindura (Trojan-Shangani-Hunter's Road),,,Asa Resource Group,AR 2012,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,37.627,0.57,
Zimbabwe,Bindura (Trojan-Shangani-Hunter's Road),,,Asa Resource Group,AR 2012,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,10.55,0.62,
