Country,Project,Lat,Long,Mine,Source,Ni basis,Co basis,Mineral Deposit Type Primary,Mineral Deposit Type Secondary,Mineral Deposit Type Other Notes,Category,Mt,%Ni,%Co
Russia,Chernogorskoye,,,unknown,Boyd et al (2016),C,C,Magmatic Sulphide,Layered Intrusive,,Inferred,143.0,0.29,0.015
South Africa,Chieftains Plain-Walhalla,,,Sibanya-Stillwater,ResV-ResC 2013,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,259.81,0.14062229501023565,
Malawi,Chimimbe Hill,,,Mkango Resources,media (25 March 2009),C,C,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Indicated,4.67,0.39,0.03
Malawi,Chimimbe Hill,,,Mkango Resources,media (25 March 2009),C,C,Laterite,Hydrous Mg silicate-clay silicate,Hydrous Mg silicate-clay silicate,Inferred,3.883,0.33,0.03
Zimbabwe,Chironde,,,ERG,media (9 July 2009),C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,9.54,0.15,
Kosovo,Çikatovë (Čikatovo),,,unknown,SMME (2013),NC,NC,Laterite,Clay silicate-hydrous Mg silicate,Clay silicate-hydrous Mg silicate,Inferred,10.0,1.175,0.06
Int'l Waters,Clarion-Clipperton (DeepGreen),,,DeepGreen Metals,Tech Rep (2019-07),C,C,Hydrothermal Ni,Manganese nodules,,Measured,3.2,1.4,0.13
Int'l Waters,Clarion-Clipperton (DeepGreen),,,DeepGreen Metals,Tech Rep (2019-07),C,C,Hydrothermal Ni,Manganese nodules,,Indicated,26.400000000000002,1.35,0.13
Int'l Waters,Clarion-Clipperton (DeepGreen),,,DeepGreen Metals,Tech Rep (2019-07),C,C,Hydrothermal Ni,Manganese nodules,,Inferred,684.0,1.3,0.18
Int'l Waters,Clarion-Clipperton (KIOST-Korea),,,Korean Institute of Ocean Science & Technology (KIOST),KIOST (2014),NC,NC,Hydrothermal Ni,Manganese nodules,,Inferred,188.4,1.19,0.22
Int'l Waters,Clarion-Clipperton (Nautilus),,,Nautilus Minerals,Tech Rep (2016-07),C,C,Hydrothermal Ni,Manganese nodules,,Measured,1.4560000000000002,1.33,0.23
Int'l Waters,Clarion-Clipperton (Nautilus),,,Nautilus Minerals,Tech Rep (2016-07),C,C,Hydrothermal Ni,Manganese nodules,,Indicated,38.136,1.35,0.21
Int'l Waters,Clarion-Clipperton (Nautilus),,,Nautilus Minerals,Tech Rep (2016-07),C,C,Hydrothermal Ni,Manganese nodules,,Inferred,383.76800000000003,1.29,0.2
Int'l Waters,Clarion-Clipperton (Russia),,,Yuzhmorgeologia,Yuzhmorgeologia (2014),NC,NC,Hydrothermal Ni,Manganese nodules,,Inferred,448.0,1.39,0.23
Int'l Waters,Clarion-Clipperton (Russian-led JV),,,InterOcean Metal Joint Organisation ('IOM'),Abromowski (2014),NC,NC,Hydrothermal Ni,Manganese nodules,,Inferred,33.7,1.3145400593471808,0.1572700296735905
Australia,Claude Hills,,,Metals X,AR 2018,C,C,Laterite,Oxide,Oxide,Inferred,33.3,0.81,0.07
Australia,Cliffs,,,BHP Group,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Measured,0.87,3.4,
Australia,Cliffs,,,BHP Group,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,5.1,1.5811764705882354,
Australia,Cliffs,,,BHP Group,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,3.52,1.3607954545454546,
Australia,Cliffs,,,BHP Group,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Probable,0.55,2,
Australia,Coglia-Mineral Patch Hill,,,White Cliff Minerals,WA MINEDEX,C,C,Laterite,Oxide,,Inferred,7.5,0.8,0.09
Australia,Collerina-Homeville,,,Alpha HPA,AR 2018,C,C,Laterite,Oxide-clay silicate,Oxide-clay silicate,Indicated,2.2,0.97,0.04
Australia,Collerina-Homeville,,,Alpha HPA,AR 2018,C,C,Laterite,Oxide-clay silicate,Oxide-clay silicate,Inferred,18.8,0.84,0.06
Australia,Collurabbie-Olympia,,,Rox Resources,AR 2018,C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,0.573,1.63,0.082
Australia,Cookes Creek-Anomaly Hill,,,Cuvier Resources,WA MINEDEX,C,,Magmatic Sulphide,Proterozoic Komatiite,,Inferred,0.478,0.9,
Australia,Corkwood,,,Sayona Mining,WA MINEDEX,C,C,Magmatic Sulphide,Proterozoic Komatiite,,Inferred,0.225,0.65,0.03
Australia,Coronation Dam-Duck Hill,,,White Cliff Minerals,media 25 March 2019,C,C,Laterite,Clay silicate,Clay silicate,Inferred,5.7,1,0.08
Australia,Cosmic Boy-Seagull,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,0.3759,2.384996009577015,
Australia,Cosmos Group,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,9.476184,2.4598998605345783,
Australia,Cosmos Group,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,0.926154,3.5858948943696185,
Canada,Crawford,,,Canada Nickel Company,Tech Rep (2020-04),C,C,Magmatic Sulphide,Archean Komatiite,,Measured,204.87019099999998,0.23903817227368132,0.013000000000000001
Canada,Crawford,,,Canada Nickel Company,Tech Rep (2020-04),C,C,Magmatic Sulphide,Archean Komatiite,,Indicated,395.519863,0.26141342699140246,0.013
Canada,Crawford,,,Canada Nickel Company,Tech Rep (2020-04),C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,310.496262,0.22710436153334432,0.012999999999999998
USA,Crescent Creek,,,unknown,Tech Rep (2009-06),NC,,Magmatic Sulphide,Stratabound Stratiform Reef-type,,Inferred,0.36288000000000004,0.23,
South Africa,Crocodile River,,,"Eastern Pt, Gubevu",AIF 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,5.581174,0.11240231217618901,
South Africa,Crocodile River,,,"Eastern Pt, Gubevu",AIF 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,28.550511,0.11240231217618901,
South Africa,Crocodile River,,,"Eastern Pt, Gubevu",AIF 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,22.069275,0.11240231217618901,
South Africa,Crocodile River,,,"Eastern Pt, Gubevu",AIF 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Proven,1.96,0.11240231217618901,
South Africa,Crocodile River,,,"Eastern Pt, Gubevu",AIF 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Probable,22.165,0.11240231217618901,
Dominican Rep.,Cumpié Hill-Cerro de Maimon,,,Perilya Mines (Zhongjin),AR 2018,C,,Laterite,Hydrous Mg silicate-clay silicate-oxide,Hydrous Mg silicate-clay silicate-oxide,Indicated,3.0,1.49,
Dominican Rep.,Cumpié Hill-Cerro de Maimon,,,Perilya Mines (Zhongjin),AR 2018,C,,Laterite,Hydrous Mg silicate-clay silicate-oxide,Hydrous Mg silicate-clay silicate-oxide,Inferred,3.2,1.5,
Indonesia,Cycloops (Cyclops),,,unknown,Berger et al (2011),NC,,Laterite,Oxide-hydrous Mg silicate,,Inferred,13.0,1.31,
Norway,Dalen (Espedalen),,,unknown,Tech Rep (2009-02),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,4.625,0.29,0.02
Norway,Dalen (Espedalen),,,unknown,Tech Rep (2009-02),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,5.438,0.25,0.02
Canada,Decar-Baptiste,,,FPX Nickel Corp,Tech Rep (2018-02),C,,Hydrothermal Ni,Fe-Ni alloy,Serpentinisation-related mineralisation,Indicated,1906.63,0.121,
Canada,Decar-Baptiste,,,FPX Nickel Corp,Tech Rep (2018-02),C,,Hydrothermal Ni,Fe-Ni alloy,Serpentinisation-related mineralisation,Inferred,504.88,0.097,
Canada,Denison,,,Lonmin,Wallbridge Mining data,C,C,Magmatic Sulphide,Impact-related,Sudbury Event,Indicated,0.575,0.4,0.01
Canada,Denison,,,Lonmin,Wallbridge Mining data,C,C,Magmatic Sulphide,Impact-related,Sudbury Event,Inferred,0.382,0.51,0.02
South Africa,Der Brochen,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,152.7,0.14337917485265225,
South Africa,Der Brochen,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,214.3,0.1441997200186654,
South Africa,Der Brochen,,,Anglo American Pt,ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,200.5,0.1593715710723192,
Albania,Devolli Group,,,unknown,pers. comm. Sokol Mati,NC,NC,Laterite,Clay silicate-oxide-hydrous Mg silicate,Clay silicate-oxide-hydrous Mg silicate,Inferred,166.31499999999997,0.8449089979857503,0.057316598021826065
Australia,Diggers,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,8.4149,1.0180905298934033,
Australia,Diggers,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,1.6133000000000002,0.7427198909068368,
Australia,Diggers,,,Western Areas,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Probable,2.109,1.4264580369843527,
Botswana,Dikoloti,,,unknown,AR 2008,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,4.1,0.7,
Philippines,Dinapigue,,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Indicated,67.89,1.2174723817940787,
Philippines,Dinapigue,,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,22.0,1.1192,
Philippines,Dinapigue,,,Nickel Asia Corp,AR 2018,C,,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Probable,35.694,1.3618577351935899,
Brazil,Diorama,,,unknown,Radaelli (2000),NC,,Laterite,Hydrous Mg silicate-oxide,,Inferred,11.104,1.33,
New Caledonia,Doniambo-SLN Group,,,Eramet-Société Le Nickel (SLN),AR 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Measured,39.4,2.39,
New Caledonia,Doniambo-SLN Group,,,Eramet-Société Le Nickel (SLN),AR 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Indicated,65.7,2.42,
New Caledonia,Doniambo-SLN Group,,,Eramet-Société Le Nickel (SLN),AR 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,84.5,2.43,
New Caledonia,Doniambo-SLN Group,,,Eramet-Société Le Nickel (SLN),AR 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Proven,17.1,2.61,
New Caledonia,Doniambo-SLN Group,,,Eramet-Société Le Nickel (SLN),AR 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Probable,19.2,2.46,
Australia,Duketon-C2,,,Duketon Mining,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,5.721787,0.7,
Australia,Duketon-Rosie,,,Duketon Mining,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,1.41,1.7,
Australia,Duketon-Rosie,,,Duketon Mining,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,0.53,1.6,
Canada,Dumont,,,RNC Minerals,Tech Rep (2019-07),C,C,Magmatic Sulphide,Archean Komatiite,,Measured,372.1,0.28,0.0112
Canada,Dumont,,,RNC Minerals,Tech Rep (2019-07),C,C,Magmatic Sulphide,Archean Komatiite,,Indicated,1293.5,0.26,0.0106
Canada,Dumont,,,RNC Minerals,Tech Rep (2019-07),C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,499.8,0.26,0.0101
Canada,Dumont,,,RNC Minerals,Tech Rep (2019-07),C,C,Magmatic Sulphide,Archean Komatiite,,Proven,163.14,0.33,0.0114
Canada,Dumont,,,RNC Minerals,Tech Rep (2019-07),C,C,Magmatic Sulphide,Archean Komatiite,,Probable,864.908,0.26,0.0106
Canada,Dundonald,,,Class 1 Nickel,Tech Rep (2009-01),C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,0.116,3.16,
USA,Dunka Pit,,,unknown,"Miller et al (2002), Miller (2015)",NC,,Magmatic Sulphide,Small M-UM Intrusion-related,Duluth Complex - Keweenawan LIP,Inferred,246.7584,0.05813953488372093,
Tanzania,Dutwa (Wamangola-Ngasamo),,,African Eagle,Website (23 May 2013),C,C,Laterite,Oxide,Oxide,Indicated,101.3,0.9277690029615006,0.028427443237907205
Tanzania,Dutwa (Wamangola-Ngasamo),,,African Eagle,Website (23 May 2013),C,C,Laterite,Oxide,Oxide,Inferred,5.42,0.814520295202952,0.02285239852398524
USA,Eagle-Eagle East (USA),,,Lundin Mining,ResV-ResC 2018,C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Measured,1.868,2.6,0.1
USA,Eagle-Eagle East (USA),,,Lundin Mining,ResV-ResC 2018,C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,2.113,4.113393279697113,0.09999999999999999
USA,Eagle-Eagle East (USA),,,Lundin Mining,ResV-ResC 2018,C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,0.313,1.6485623003194885,0.1
USA,Eagle-Eagle East (USA),,,Lundin Mining,ResV-ResC 2018,C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Proven,1.711,2.1,0.1
USA,Eagle-Eagle East (USA),,,Lundin Mining,ResV-ResC 2018,C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Probable,2.377,2.99911653344552,0.10000000000000002
Canada,Eagle's Nest,,,Noront Resources,AIF 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Measured,5.346,2.08,
Canada,Eagle's Nest,,,Noront Resources,AIF 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,5.643,1.5,
Canada,Eagle's Nest,,,Noront Resources,AIF 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,8.966,1.1,
Canada,Eagle's Nest,,,Noront Resources,AIF 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Proven,5.264,2.02,
Canada,Eagle's Nest,,,Noront Resources,AIF 2018,C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Probable,5.867,1.38,
Indonesia,East Halmahera Group (Limonite),,,PT Antam,AR 2018,C,C,Laterite,Oxide-hydrous Mg silicate,,Measured,37.55,1.467411451398136,0.1728255659121172
Indonesia,East Halmahera Group (Limonite),,,PT Antam,AR 2018,C,C,Laterite,Oxide-hydrous Mg silicate,,Indicated,26.05,1.3696391554702496,0.1610134357005758
Indonesia,East Halmahera Group (Limonite),,,PT Antam,AR 2018,C,C,Laterite,Oxide-hydrous Mg silicate,,Inferred,24.7,1.3846477732793523,0.1689514170040486
Indonesia,East Halmahera Group (Limonite),,,PT Antam,AR 2018,C,C,Laterite,Oxide-hydrous Mg silicate,,Proven,10.22,1.6952446183953034,0.17575342465753427
Indonesia,East Halmahera Group (Limonite),,,PT Antam,AR 2018,C,C,Laterite,Oxide-hydrous Mg silicate,,Probable,2.5300000000000002,1.6267588932806325,0.15225296442687744
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,AR 2018,C,C,Laterite,Hydrous Mg silicate-oxide,,Measured,82.03,1.9836474460563207,0.03359868340850908
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,AR 2018,C,C,Laterite,Hydrous Mg silicate-oxide,,Indicated,93.24,1.853512441012441,0.030203775203775204
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,AR 2018,C,C,Laterite,Hydrous Mg silicate-oxide,,Inferred,111.33,1.8410401509027217,0.038697565795383096
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,AR 2018,C,C,Laterite,Hydrous Mg silicate-oxide,,Proven,64.24000000000001,1.9376899128268987,0.034738480697384805
Indonesia,East Halmahera Group (Saprolite),,,PT Antam,AR 2018,C,C,Laterite,Hydrous Mg silicate-oxide,,Probable,70.26,1.8043922573299174,0.03039424992883575
South Africa,Eland,,,Northam Pt,AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,32.33,0.097,
South Africa,Eland,,,Northam Pt,AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,31.19,0.0980817569733889,
South Africa,Eland,,,Northam Pt,AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,88.73,0.097,
South Africa,Eland,,,Northam Pt,AR 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Probable,8.81,0.10100454029511918,
Canada,Eldorado-Port Radium Tailings,,,unknown,website (20 Jan 2013),NC,C,Tailings,Unconformity-related Uranium,,Inferred,0.8255520000000001,0.05,0.073
Norway,Ertelien (Ertelia),,,unknown,Tech Rep (2009-02),NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,2.698,0.83,0.06
South Africa,Everest North-Vygenhoek,,,"Sibanya-Stillwater, Sylvania Pt",ResV-ResC 2018,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,2.8,0.11240231217618901,
South Africa,Everest South-Hoogland,,,Sibanye-Stillwater,ResV-ResC 2015,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,2.71,0.11240231217618901,
South Africa,Everest South-Hoogland,,,Sibanye-Stillwater,ResV-ResC 2015,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,3.89,0.11240231217618901,
Greece,Evvoia,,,Larco,Berger et al (2011),NC,,Laterite,Oxide,Oxide,Inferred,210.75,0.83,
Dominican Rep.,Falcondo,,,Americano Nickel,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Measured,40.5,1.42,
Dominican Rep.,Falcondo,,,Americano Nickel,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Indicated,31.1,1.53,
Dominican Rep.,Falcondo,,,Americano Nickel,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,4.9,1.4,
Dominican Rep.,Falcondo,,,Americano Nickel,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Proven,44.9,1.28,
Dominican Rep.,Falcondo,,,Americano Nickel,ResV-ResC 2018,C,,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Probable,26.3,1.36,
Russia,Fedorova Tundra,,,unknown,FODD (2017),C,,Magmatic Sulphide,Layered Intrusive,,Inferred,260.5,0.07,
Guatemala,Fenix-Exmibal (Saprolite+Limonite),,,Solway Group,Tech Rep (2010-03),C,C,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Measured,55.013999999999996,1.2686916057730764,0.09250554404333443
Guatemala,Fenix-Exmibal (Saprolite+Limonite),,,Solway Group,Tech Rep (2010-03),C,C,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Indicated,40.96,1.6557397460937502,0.030675976562500006
Guatemala,Fenix-Exmibal (Saprolite+Limonite),,,Solway Group,Tech Rep (2010-03),C,C,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,55.3,1.2044665461121158,0.07841048824593129
Canada,Ferguson Lake,,,unknown,Tech Rep (2011-11),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,15.8,0.65,0.07
Canada,Ferguson Lake,,,unknown,Tech Rep (2011-11),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,30.2,0.67,0.05
Australia,Fisher East,,,Rox Resources,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Indicated,3.74,1.9133689839572192,
Australia,Fisher East,,,Rox Resources,AR 2018,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,0.42000000000000004,1.5190476190476188,
Norway,Flåt,,,unknown,Rasilainen et al (2012),NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,2.6,0.75,0.06
Australia,Flying Fox-Lounge Lizard,,,Western Areas,AR 2018,C,C,Magmatic Sulphide,Archean Komatiite,,Indicated,6.144703,1.9178558182551706,0.021075973891659206
Australia,Flying Fox-Lounge Lizard,,,Western Areas,AR 2018,C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,0.690556,1.7335332688442358,0.021075973891659206
Australia,Flying Fox-Lounge Lizard,,,Western Areas,AR 2018,C,C,Magmatic Sulphide,Archean Komatiite,,Probable,0.7496,3.9,0.021075973891659206
PNG,Frieda River,-4.666666666666667,141.93333333333334,Redstone Metals?,Mosusu (2014),NC,,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,23.33333333333333,0.9,
USA,Funter Bay,,,unknown,Szumigala et al (2011),NC,NC,Magmatic Sulphide,Small M-UM Intrusion-related,Associated with Wrangellia/Nikolai LIP?,Inferred,0.508032,0.34,0.15
Australia,Gabanintha (Ni-Co-Cu zone only),,,Australian Vanadium,media 28 Nov 2018,C,C,Magmatic Sulphide,Layered Intrusive,,Inferred,14.3,0.0666,0.0208
USA,Gap,,,unknown,Long (1992),NC,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,0.7257600000000001,0.7,
South Africa,Garatau (Garatouw/Hoepakrantz/De Kom),,,Nkwe Pt,AR 2017,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Measured,67.225,0.14504986907307207,
South Africa,Garatau (Garatouw/Hoepakrantz/De Kom),,,Nkwe Pt,AR 2017,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,137.985,0.18418032380209357,
South Africa,Garatau (Garatouw/Hoepakrantz/De Kom),,,Nkwe Pt,AR 2017,C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Inferred,149.763,0.156136777316737,
USA,Gasquet Mountain,,,unknown,pers. comm. Golightly,NC,NC,Laterite,Hydrous Mg silicate-oxide,Hydrous Mg silicate-oxide,Inferred,34.02,0.86,0.09
Indonesia,Gebe Island,,,unknown,Berger et al (2011),NC,,Laterite,Oxide-hydrous Mg silicate,,Inferred,27.0,2.2,
Canada,Geordie Lake,,,Sibanye-Stillwater,Tech Rep (2008-07),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Measured,13.97,0.009,0.007
Canada,Geordie Lake,,,Sibanye-Stillwater,Tech Rep (2008-07),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,37.54,0.01,0.007
Canada,Geordie Lake,,,Sibanye-Stillwater,Tech Rep (2008-07),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,17.92,0.009,0.006
Australia,Ghan Well,,,White Cliff Minerals,WA MINEDEX,C,C,Laterite,Clay silicate,Clay silicate,Inferred,1.3,0.9,0.07
Guinea,Gogota,,,SRG Mining,Tech Rep (2018-06),C,C,Laterite,Oxide-Hydrous Mg silicate,,Inferred,44.89,1.28,0.13
Australia,Goodyear,,,unknown,WA MINEDEX,C,,Magmatic Sulphide,Archean Komatiite,,Inferred,0.39,3.78,
Australia,Goongarrie South (Fe),,,Ardea Resources,WA MINEDEX,C,C,Laterite,Clay silicate-Oxide,,Indicated,29.830578,0.8,0.072
Australia,Goongarrie South (Fe),,,Ardea Resources,WA MINEDEX,C,C,Laterite,Clay silicate-Oxide,,Inferred,18.62709,0.42,0.035
Australia,Gordonbrook-Bungonia,,,unknown,AR 2009,NC,NC,Laterite,Oxide,,Inferred,0.077691,0.3,0.446
Kazakhstan,Gornostai,,,Kaznickel; Bekem Metals Inc. ,Berger et al (2011),NC,,Laterite,Clay silicate-hydrous Mg silicate,Clay silicate-hydrous Mg silicate,Inferred,9.7,0.91,
New Caledonia,Goro,,,Vale,AR's 2014 to 2018,C,C,Laterite,Oxide-Hydrous Mg silicate,Oxide-Hydrous Mg silicate,Inferred,111.17,1.4150366105963839,0.11
Canada,Grasset,,,Balmoral Resources,Tech Rep (2016-01),C,C,Magmatic Sulphide,Archean Komatiite,,Indicated,15.564,0.72,0.02
Canada,Grasset,,,Balmoral Resources,Tech Rep (2016-01),C,C,Magmatic Sulphide,Archean Komatiite,,Inferred,2.9994,0.43,0.01
South Africa,Grootboom,,,"Sedibelo Pt Mines, Moepi",Website (21 Oct 2019),C,,Magmatic Sulphide,Layered Intrusive,Stratabound Stratiform Reef-type,Indicated,12.2,0.15393774011700964,
Puerto Rico,Guanajibo-Punta Guanajibo,,,unknown,Berger et al (2011),NC,NC,Laterite,Oxide-hydrous Mg silicate,Oxide-hydrous Mg silicate,Inferred,44.4,0.89,0.08
Sweden,Häggån,,,Aura Energy,AR 2018,C,,Hydrothermal Ni,Shale-hosted Ni,Sediment-hosted Pb-Zn/VMS,Inferred,2600.0,0.03,
Finland,Haukiaho,,,"Nortec Minerals Corp, Finore Mining",Tech Rep (2013-09),C,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,23.2,0.14,0.0043
Russia,Hautavaara,,,unknown,Eilu (2012),NC,,Magmatic Sulphide,Archean komatiite,,Inferred,0.3,0.49,
China,Heishan,,,unknown,Lu et al (2019),NC,,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,35.0,0.6,
Indonesia,Hengjaya Mineralindo (HM),,,,Tech Rep (2018-04),C,C,Laterite,Oxide-hydrous Mg silicate,,Measured,0.708,1.797457627118644,0.04949152542372881
Indonesia,Hengjaya Mineralindo (HM),,,,Tech Rep (2018-04),C,C,Laterite,Oxide-hydrous Mg silicate,,Indicated,14.55,1.8424742268041236,0.06205498281786941
Indonesia,Hengjaya Mineralindo (HM),,,,Tech Rep (2018-04),C,C,Laterite,Oxide-hydrous Mg silicate,,Inferred,21.8,1.8004587155963305,0.05334862385321102
USA,Higdon,,,unknown,Singer et al (2009),NC,NC,Hydrothermal Ni,Sediment-hosted Pb-Zn,MVT,Inferred,3.55,0.10400000000000001,0.08
Philippines,Hinatuan-Taganaan,,,Nickel Asia Corp,AR 2018,C,,Laterite,Hydrous Mg silicate-Oxide,Hydrous Mg silicate-oxide,Indicated,16.725,1.1601937219730942,
Philippines,Hinatuan-Taganaan,,,Nickel Asia Corp,AR 2018,C,,Laterite,Hydrous Mg silicate-Oxide,Hydrous Mg silicate-oxide,Inferred,2.8120000000000003,1.2035028449502132,
Philippines,Hinatuan-Taganaan,,,Nickel Asia Corp,AR 2018,C,,Laterite,Hydrous Mg silicate-Oxide,Hydrous Mg silicate-oxide,Probable,2.958,1.2200135226504394,
Finland,Hitura,,,unknown,Tech Rep (2012-12),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Measured,0.22099999999999997,0.6258371040723982,0.02
Finland,Hitura,,,unknown,Tech Rep (2012-12),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Indicated,4.042,0.4845695200395844,0.02
Finland,Hitura,,,unknown,Tech Rep (2012-12),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Inferred,0.457,0.72,0.02
Finland,Hitura,,,unknown,Tech Rep (2012-12),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Proven,0.149,0.59,0.02
Finland,Hitura,,,unknown,Tech Rep (2012-12),C,C,Magmatic Sulphide,Small M-UM Intrusion-related,,Probable,1.5070000000000001,0.45109489051094886,0.02
