Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Larkins Find,,,Golden Life Nature Products (WA),Inferred,5.2,0.8
Australia,Mount Clifford-Marriotts,,,Norwest Minerals,Measured,0,
Australia,Mount Clifford-Marriotts,,,Norwest Minerals,Indicated,0.46,1.12
Australia,Mount Clifford-Marriotts,,,Norwest Minerals,Inferred,0.37,1.15
Australia,Marlborough Group,,,Gladstone Pacific Nickel (?),Measured,11.68,0.99
Australia,Marlborough Group,,,Gladstone Pacific Nickel (?),Indicated,42.96,0.91
Australia,Marlborough Group,,,Gladstone Pacific Nickel (?),Inferred,16.26,0.88
Australia,KNP East-Hampton: Kalpini (Lake Rebecca),,,Ardea Resources,Measured,0,
Australia,KNP East-Hampton: Kalpini (Lake Rebecca),,,Ardea Resources,Indicated,0,
Australia,KNP East-Hampton: Kalpini (Lake Rebecca),,,Ardea Resources,Inferred,75.0,0.73
Australia,Yerilla East / West,,,Glencore,Measured,0,
Australia,Yerilla East / West,,,Glencore,Indicated,0,
Australia,Yerilla East / West,,,Glencore,Inferred,7.782,1.00
Australia,Patch-Gulch (Canegrass),,,Nickelore,Measured,0,
Australia,Patch-Gulch (Canegrass),,,Nickelore,Indicated,2.6,0.78
Australia,Patch-Gulch (Canegrass),,,Nickelore,Inferred,27,0.7
Australia,Kurnalpi-Grey Dam,,,Carnavale Resources,Measured,0,
Australia,Kurnalpi-Grey Dam,,,Carnavale Resources,Indicated,10.4,0.76
Australia,Kurnalpi-Grey Dam,,,Carnavale Resources,Inferred,4.2,0.74
Australia,Barnes Hill,,,unclear,Measured,0,
Australia,Barnes Hill,,,unclear,Indicated,5.67,0.82
Australia,Barnes Hill,,,unclear,Inferred,0.93,0.77
Australia,Binti Binti,,,Pioneer Resources,Measured,0,
Australia,Binti Binti,,,Pioneer Resources,Indicated,0,
Australia,Binti Binti,,,Pioneer Resources,Inferred,2.8,0.91
Australia,Lake Innes (Hurll's Hill),,,unknown,Measured,0,
Australia,Lake Innes (Hurll's Hill),,,unknown,Indicated,0,
Australia,Lake Innes (Hurll's Hill),,,unknown,Inferred,19.2,0.63
Australia,Kurnalpi-Acra,,,Glencore,Measured,0,
Australia,Kurnalpi-Acra,,,Glencore,Indicated,0,
Australia,Kurnalpi-Acra,,,Glencore,Inferred,0.5,0.75
Australia,Goongarrie South (Fe),,,Ardea Resources,Measured,0,
Australia,Goongarrie South (Fe),,,Ardea Resources,Indicated,29.831,0.8
Australia,Goongarrie South (Fe),,,Ardea Resources,Inferred,18.627,0.42
Australia,Wyo Well,,, Connor Brendan Gabriel ,Measured,0,
Australia,Wyo Well,,, Connor Brendan Gabriel ,Indicated,0,
Australia,Wyo Well,,, Connor Brendan Gabriel ,Inferred,0.7,0.83
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",Measured,0,
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",Indicated,88,0.86
Australia,Avalon-Bulong,,,"Dragon Mountain Gold, Wingstar Investments",Inferred,81.8,0.79
Australia,Gordonbrook-Bungonia,,,unknown,Measured,0,
Australia,Gordonbrook-Bungonia,,,unknown,Indicated,0,
Australia,Gordonbrook-Bungonia,,,unknown,Inferred,0.078,0.3
Australia,KNP West-Goongarrie: Big Four,,,Ardea Resources,Measured,0,
Australia,KNP West-Goongarrie: Big Four,,,Ardea Resources,Indicated,34.2,0.71
Australia,KNP West-Goongarrie: Big Four,,,Ardea Resources,Inferred,7.6,0.61
Australia,KNP West-Goongarrie: Goongarrie South,,,Ardea Resources,Measured,5.8,1.08
Australia,KNP West-Goongarrie: Goongarrie South,,,Ardea Resources,Indicated,51.4,0.78
Australia,KNP West-Goongarrie: Goongarrie South,,,Ardea Resources,Inferred,25.8,0.63
Australia,KNP West-Goongarrie: Highway,,,Ardea Resources,Measured,0,
Australia,KNP West-Goongarrie: Highway,,,Ardea Resources,Indicated,52.9,0.66
Australia,KNP West-Goongarrie: Highway,,,Ardea Resources,Inferred,34.1,0.64
Australia,KNP West-Goongarrie: Scotia,,,Ardea Resources,Measured,0,
Australia,KNP West-Goongarrie: Scotia,,,Ardea Resources,Indicated,0,
Australia,KNP West-Goongarrie: Scotia,,,Ardea Resources,Inferred,11.2,0.77
Australia,Ravensthorpe,,,First Quantum,Measured,86.8,0.63
Australia,Ravensthorpe,,,First Quantum,Indicated,141.9,0.58
Australia,Ravensthorpe,,,First Quantum,Inferred,110.0,0.52
Australia,Wingellina,,,Metals X,Measured,37.6,0.98
Australia,Wingellina,,,Metals X,Indicated,130.9,0.91
Australia,Wingellina,,,Metals X,Inferred,14.1,0.87
Australia,Pacific Highway,,,unclear,Measured,0,
Australia,Pacific Highway,,,unclear,Indicated,0,
Australia,Pacific Highway,,,unclear,Inferred,0.697,0.90
Australia,Limeburners Flat,,,unclear,Measured,0,
Australia,Limeburners Flat,,,unclear,Indicated,0,
Australia,Limeburners Flat,,,unclear,Inferred,1.01,0.51
Australia,Pitkin-State Forest,,,unclear,Measured,0,
Australia,Pitkin-State Forest,,,unclear,Indicated,0,
Australia,Pitkin-State Forest,,,unclear,Inferred,1.12,0.33
Australia,State Forest Lot 3,,,unclear,Measured,0,
Australia,State Forest Lot 3,,,unclear,Indicated,0,
Australia,State Forest Lot 3,,,unclear,Inferred,1.32,0.44
Australia,Cawse,,,Wingstar Investments (?),Measured,0,
Australia,Cawse,,,Wingstar Investments (?),Indicated,55.518,0.717
Australia,Cawse,,,Wingstar Investments (?),Inferred,0,
Australia,Claude Hills,,,Metals X,Measured,0,
Australia,Claude Hills,,,Metals X,Indicated,0,
Australia,Claude Hills,,,Metals X,Inferred,33.3,0.81
Australia,Mount Thirsty,,,"Barra Resources50%, Conico50%",Measured,0,
Australia,Mount Thirsty,,,"Barra Resources50%, Conico50%",Indicated,16.6,0.60
Australia,Mount Thirsty,,,"Barra Resources50%, Conico50%",Inferred,15.34,0.51
Australia,Nindilbillup Group,,,Australasian Mining,Measured,0,
Australia,Nindilbillup Group,,,Australasian Mining,Indicated,0,
Australia,Nindilbillup Group,,,Australasian Mining,Inferred,49,0.56
Australia,Sconi North-Bell Creek Group,,,Australian Mines,Measured,7.8,0.96
Australia,Sconi North-Bell Creek Group,,,Australian Mines,Indicated,5.0,0.83
Australia,Sconi North-Bell Creek Group,,,Australian Mines,Inferred,0,
Australia,Sconi South-Kokomo,,,Australian Mines,Measured,2.2,0.57
Australia,Sconi South-Kokomo,,,Australian Mines,Indicated,17.2,0.56
Australia,Sconi South-Kokomo,,,Australian Mines,Inferred,10.2,0.36
Australia,Sconi North-Minnimoolka,,,Australian Mines,Measured,4.7,0.82
Australia,Sconi North-Minnimoolka,,,Australian Mines,Indicated,0.9,0.78
Australia,Sconi North-Minnimoolka,,,Australian Mines,Inferred,0,
Australia,Sconi South-Lucknow,,,Australian Mines,Measured,1.7,0.45
Australia,Sconi South-Lucknow,,,Australian Mines,Indicated,10.6,0.27
Australia,Sconi South-Lucknow,,,Australian Mines,Inferred,1.5,0.40
Australia,Munglinup-Boanaernup (Young River),,,UltraCharge,Measured,0,
Australia,Munglinup-Boanaernup (Young River),,,UltraCharge,Indicated,0,
Australia,Munglinup-Boanaernup (Young River),,,UltraCharge,Inferred,1,1
