Country,Project,Lat,Long,Company,Category,Mt ore,%Ni
Australia,Ruth Well,,,Artemis Resources,Measured,0,
Australia,Ruth Well,,,Artemis Resources,Indicated,0.06,0.99
Australia,Ruth Well,,,Artemis Resources,Inferred,0.09,1.05
Australia,Duketon-Rosie,,,Duketon Mining,Measured,0,
Australia,Duketon-Rosie,,,Duketon Mining,Indicated,1.41,1.7
Australia,Duketon-Rosie,,,Duketon Mining,Inferred,0.53,1.6
Australia,Duketon-C2,,,Duketon Mining,Measured,0,
Australia,Duketon-C2,,,Duketon Mining,Indicated,0,
Australia,Duketon-C2,,,Duketon Mining,Inferred,5.722,0.7
Australia,Kambalda-Foster/Jan/Fisher,,,Gold Fields,Measured,0,
Australia,Kambalda-Foster/Jan/Fisher,,,Gold Fields,Indicated,0.579,2.21
Australia,Kambalda-Foster/Jan/Fisher,,,Gold Fields,Inferred,0.409,3.0
Australia,Goodyear,,,unknown,Measured,0,
Australia,Goodyear,,,unknown,Indicated,0,
Australia,Goodyear,,,unknown,Inferred,0.39,3.78
Australia,Mount Day-Cat Camp,,,Matsa Resources,Measured,0,
Australia,Mount Day-Cat Camp,,,Matsa Resources,Indicated,0,
Australia,Mount Day-Cat Camp,,,Matsa Resources,Inferred,2.230,0.52
Australia,Sinclair,,,Talisman Mining,Measured,0,
Australia,Sinclair,,,Talisman Mining,Indicated,0.25,2.4
Australia,Sinclair,,,Talisman Mining,Inferred,0.46,2.2
Australia,Wildcatters,,,BHP Group,Measured,0,
Australia,Wildcatters,,,BHP Group,Indicated,0.08,3.5
Australia,Wildcatters,,,BHP Group,Inferred,0,
Australia,Carr Boyd,,,Estrella Resources,Measured,0,
Australia,Carr Boyd,,,Estrella Resources,Indicated,0.576,1.4
Australia,Carr Boyd,,,Estrella Resources,Inferred,0.025,1.6
Australia,Melba Flats (North Cuni-Genets),,,Dundas Mining?,Measured,0,
Australia,Melba Flats (North Cuni-Genets),,,Dundas Mining?,Indicated,0,
Australia,Melba Flats (North Cuni-Genets),,,Dundas Mining?,Inferred,0.094,0.8
Australia,Weld Range (PGEs)-Parks Reef (Central-Western),,,Podium Metals,Measured,0,
Australia,Weld Range (PGEs)-Parks Reef (Central-Western),,,Podium Metals,Indicated,0,
Australia,Weld Range (PGEs)-Parks Reef (Central-Western),,,Podium Metals,Inferred,30.2,0.10
Australia,Pardoo-Highway,,,Caeneus Minerals,Measured,0,
Australia,Pardoo-Highway,,,Caeneus Minerals,Indicated,0,
Australia,Pardoo-Highway,,,Caeneus Minerals,Inferred,50.0,0.30
Australia,Savannah-Copernicus,,,Panoramic Resources,Measured,2.055,1.56
Australia,Savannah-Copernicus,,,Panoramic Resources,Indicated,8.052,1.72
Australia,Savannah-Copernicus,,,Panoramic Resources,Inferred,3.105,1.53
Australia,Panton,,,Panoramic Resources,Measured,6.53,0.25
Australia,Panton,,,Panoramic Resources,Indicated,5.63,0.28
Australia,Panton,,,Panoramic Resources,Inferred,2.16,0.31
Australia,Munni Munni,,,Artemis Resources; Platina Resources,Measured,12.4,0.07
Australia,Munni Munni,,,Artemis Resources; Platina Resources,Indicated,9.8,0.11
Australia,Munni Munni,,,Artemis Resources; Platina Resources,Inferred,1.4,0.09
Australia,Byro East,,,Athena Resources,Measured,0,
Australia,Byro East,,,Athena Resources,Indicated,0,
Australia,Byro East,,,Athena Resources,Inferred,0.1,1.4
Australia,Gabanintha (Ni-Co-Cu zone only),,,Australian Vanadium,Measured,0,
Australia,Gabanintha (Ni-Co-Cu zone only),,,Australian Vanadium,Indicated,0,
Australia,Gabanintha (Ni-Co-Cu zone only),,,Australian Vanadium,Inferred,14.3,0.067
Australia,Mount Sholl,,,Welcome Exploration,Measured,0,
Australia,Mount Sholl,,,Welcome Exploration,Indicated,1.983,0.53
Australia,Mount Sholl,,,Welcome Exploration,Inferred,3.17,0.45
Australia,Nova-Bollinger,,,Independence Group,Measured,12.0,2.15
Australia,Nova-Bollinger,,,Independence Group,Indicated,1.1,0.88
Australia,Nova-Bollinger,,,Independence Group,Inferred,0.1,0.6
Australia,Cookes Creek-Anomaly Hill,,,Cuvier Resources,Measured,0,
Australia,Cookes Creek-Anomaly Hill,,,Cuvier Resources,Indicated,0,
Australia,Cookes Creek-Anomaly Hill,,,Cuvier Resources,Inferred,0.478,0.9
Australia,Keller Creek-Eskimo Knoll,,,Panoramic Resources,Measured,0,
Australia,Keller Creek-Eskimo Knoll,,,Panoramic Resources,Indicated,0,
Australia,Keller Creek-Eskimo Knoll,,,Panoramic Resources,Inferred,0.156,2.32
Australia,Corkwood,,,Sayona Mining,Measured,0,
Australia,Corkwood,,,Sayona Mining,Indicated,0,
Australia,Corkwood,,,Sayona Mining,Inferred,0.225,0.65
Australia,Trough Well,,,Kym Anthony McClaren,Measured,0,
Australia,Trough Well,,,Kym Anthony McClaren,Indicated,0,
Australia,Trough Well,,,Kym Anthony McClaren,Inferred,0.02,2.7
Australia,Mount Thirsty-Mission Sill,,,Galileo Mining,Measured,0,
Australia,Mount Thirsty-Mission Sill,,,Galileo Mining,Indicated,15.7,0.60
Australia,Mount Thirsty-Mission Sill,,,Galileo Mining,Inferred,13.3,0.47
Australia,Silver Knight,,,Great Southern Nickel,Measured,0,
Australia,Silver Knight,,,Great Southern Nickel,Indicated,3.9,0.8
Australia,Silver Knight,,,Great Southern Nickel,Inferred,0.4,0.6
Australia,Brown's-Brown's East,,,China Minmetals,Measured,10.1,0.10
Australia,Brown's-Brown's East,,,China Minmetals,Indicated,22.7,0.09
Australia,Brown's-Brown's East,,,China Minmetals,Inferred,26.7,0.09
Australia,Area 55,,,China Minmetals,Measured,0,
Australia,Area 55,,,China Minmetals,Indicated,12.2,0.20
Australia,Area 55,,,China Minmetals,Inferred,0,
Australia,West Musgrave-Nebo,,,"Cassini Resources, OZ Minerals",Measured,0,
Australia,West Musgrave-Nebo,,,"Cassini Resources, OZ Minerals",Indicated,37.8,0.49
Australia,West Musgrave-Nebo,,,"Cassini Resources, OZ Minerals",Inferred,1.9,0.37
Australia,West Musgrave-Babel,,,"Cassini Resources, OZ Minerals",Measured,0,
Australia,West Musgrave-Babel,,,"Cassini Resources, OZ Minerals",Indicated,73.9,0.36
Australia,West Musgrave-Babel,,,"Cassini Resources, OZ Minerals",Inferred,169.4,0.33
Australia,Prospect D-Barrow Creek,,,Kidman Resources,Measured,0,
Australia,Prospect D-Barrow Creek,,,Kidman Resources,Indicated,0,
Australia,Prospect D-Barrow Creek,,,Kidman Resources,Inferred,3.164,0.20
Australia,Mt Keith Tailings,,,Jubilee Metals Group (?),Measured,0,
Australia,Mt Keith Tailings,,,Jubilee Metals Group (?),Indicated,0,
Australia,Mt Keith Tailings,,,Jubilee Metals Group (?),Inferred,101.984,0.21
Australia,Kambalda Tailings,,,Jubilee Metals Group (?),Measured,0,
Australia,Kambalda Tailings,,,Jubilee Metals Group (?),Indicated,0,
Australia,Kambalda Tailings,,,Jubilee Metals Group (?),Inferred,32.64,0.41
Australia,Leinster Tailings,,,Jubilee Metals Group (?),Measured,3.16,0.6
Australia,Leinster Tailings,,,Jubilee Metals Group (?),Indicated,0,
Australia,Leinster Tailings,,,Jubilee Metals Group (?),Inferred,26.45,0.44
Australia,Mulga Rock East (base metals),,,Vimy Resources,Measured,0,
Australia,Mulga Rock East (base metals),,,Vimy Resources,Indicated,21.1,0.062
Australia,Mulga Rock East (base metals),,,Vimy Resources,Inferred,12.9,0.025
Botswana,Tati-Selkirk,,,Norilsk Nickel,Measured,0,
Botswana,Tati-Selkirk,,,Norilsk Nickel,Indicated,124,0.23
Botswana,Tati-Selkirk,,,Norilsk Nickel,Inferred,11.3,0.27
Botswana,Dikoloti,,,unknown,Measured,0,
Botswana,Dikoloti,,,unknown,Indicated,0,
Botswana,Dikoloti,,,unknown,Inferred,4.1,0.7
Botswana,Tati-Phoenix,,,Norilsk Nickel,Measured,0,
Botswana,Tati-Phoenix,,,Norilsk Nickel,Indicated,106.0,0.21
Botswana,Tati-Phoenix,,,Norilsk Nickel,Inferred,0,
Botswana,Phikwe,,,BCL,Measured,0,
Botswana,Phikwe,,,BCL,Indicated,0,
Botswana,Phikwe,,,BCL,Inferred,37.20,0.46
Botswana,SE Extension,,,BCL,Measured,0,
Botswana,SE Extension,,,BCL,Indicated,0,
Botswana,SE Extension,,,BCL,Inferred,4.47,1.47
Botswana,Selebi,,,BCL,Measured,0,
Botswana,Selebi,,,BCL,Indicated,0,
Botswana,Selebi,,,BCL,Inferred,26.75,0.79
Botswana,Selebi Central,,,BCL,Measured,0,
Botswana,Selebi Central,,,BCL,Indicated,0,
Botswana,Selebi Central,,,BCL,Inferred,19.51,0.68
Botswana,Selebi North,,,BCL,Measured,0,
Botswana,Selebi North,,,BCL,Indicated,0,
Botswana,Selebi North,,,BCL,Inferred,5.95,1.09
Brazil,Jaguar-Onca Rosa,,,Centaurus Metals,Measured,19.0,0.79
Brazil,Jaguar-Onca Rosa,,,Centaurus Metals,Indicated,21.4,0.77
Brazil,Jaguar-Onca Rosa,,,Centaurus Metals,Inferred,0,
Brazil,Ipanema,,,unknown,Measured,0,
Brazil,Ipanema,,,unknown,Indicated,0,
Brazil,Ipanema,,,unknown,Inferred,4,1.2
Brazil,Piauí (São João do Piauí),,,Brazilian Nickel,Measured,52.887,1.03
Brazil,Piauí (São João do Piauí),,,Brazilian Nickel,Indicated,19.324,0.92
Brazil,Piauí (São João do Piauí),,,Brazilian Nickel,Inferred,0,
Brazil,Morro de Engenho,,,unknown,Measured,0,
Brazil,Morro de Engenho,,,unknown,Indicated,0,
Brazil,Morro de Engenho,,,unknown,Inferred,38.6,1.1
Brazil,Santa Fé-Iporá,,,unknown,Measured,0,
Brazil,Santa Fé-Iporá,,,unknown,Indicated,0,
Brazil,Santa Fé-Iporá,,,unknown,Inferred,61,1.5
Brazil,Barro Alto,,,Anglo American,Measured,14.4,1.41
Brazil,Barro Alto,,,Anglo American,Indicated,49.6,1.24
Brazil,Barro Alto,,,Anglo American,Inferred,17.5,1.27
Brazil,Niquelândia-Codemin,,,Anglo American,Measured,0,
Brazil,Niquelândia-Codemin,,,Anglo American,Indicated,9.9,1.26
Brazil,Niquelândia-Codemin,,,Anglo American,Inferred,5.3,1.21
Brazil,Jacupiranga,,,unknown,Measured,0,
Brazil,Jacupiranga,,,unknown,Indicated,0,
Brazil,Jacupiranga,,,unknown,Inferred,13,1.4
Brazil,Araguaia North / South,,,Horizonte Minerals,Measured,18.168,1.44
Brazil,Araguaia North / South,,,Horizonte Minerals,Indicated,101.2,1.25
Brazil,Araguaia North / South,,,Horizonte Minerals,Inferred,12.92,1.19
Brazil,Serra do Tapa,,,Horizonte Minerals,Measured,14.296,1.31
Brazil,Serra do Tapa,,,Horizonte Minerals,Indicated,55.971,1.20
Brazil,Serra do Tapa,,,Horizonte Minerals,Inferred,2.68,1.14
Brazil,Onça Puma,,,Vale,Measured,60.7,1.66
Brazil,Onça Puma,,,Vale,Indicated,53.1,1.38
Brazil,Onça Puma,,,Vale,Inferred,0,
Brazil,Morro de Niquel,,,unknown,Measured,0,
Brazil,Morro de Niquel,,,unknown,Indicated,0,
Brazil,Morro de Niquel,,,unknown,Inferred,24.1,1.3
Brazil,Água Branca,,,unknown,Measured,0,
Brazil,Água Branca,,,unknown,Indicated,0,
Brazil,Água Branca,,,unknown,Inferred,4.531,1.40
Brazil,Diorama,,,unknown,Measured,0,
Brazil,Diorama,,,unknown,Indicated,0,
Brazil,Diorama,,,unknown,Inferred,11.104,1.33
Brazil,Tira Pressa,,,unknown,Measured,0,
Brazil,Tira Pressa,,,unknown,Indicated,0,
Brazil,Tira Pressa,,,unknown,Inferred,45.602,1.55
Brazil,Montes Claros,,,unknown,Measured,0,
Brazil,Montes Claros,,,unknown,Indicated,0,
Brazil,Montes Claros,,,unknown,Inferred,49.966,1.26
Brazil,Morro Sem Bone-Morro do Leme,,,GK Resources,Measured,0,
Brazil,Morro Sem Bone-Morro do Leme,,,GK Resources,Indicated,0,
Brazil,Morro Sem Bone-Morro do Leme,,,GK Resources,Inferred,58.003,1.77
Brazil,Vermelho,,,Horizonte Minerals,Measured,185.6,0.96
Brazil,Vermelho,,,Horizonte Minerals,Indicated,7.7,0.88
Brazil,Vermelho,,,Horizonte Minerals,Inferred,3.8,0.87
Brazil,Jacaré,,,Anglo American,Measured,6.3,1.15
Brazil,Jacaré,,,Anglo American,Indicated,93.4,1.33
Brazil,Jacaré,,,Anglo American,Inferred,206.9,1.26
Brazil,Serra do Quatipuru,,,unknown,Measured,0,
Brazil,Serra do Quatipuru,,,unknown,Indicated,0,
Brazil,Serra do Quatipuru,,,unknown,Inferred,13,1.3
Brazil,Santa Rita,,,"Atlantic Nickel, Appian Capital",Measured,13.167,0.25
Brazil,Santa Rita,,,"Atlantic Nickel, Appian Capital",Indicated,46.006,0.20
Brazil,Santa Rita,,,"Atlantic Nickel, Appian Capital",Inferred,0.045,0.16
Brazil,Caboclo dos Mangueiros,,,unknown,Measured,0,
Brazil,Caboclo dos Mangueiros,,,unknown,Indicated,0,
Brazil,Caboclo dos Mangueiros,,,unknown,Inferred,200,0.20
Brazil,Americano do Brasil,,,"Votorantim, Prometalica (?)",Measured,0,
Brazil,Americano do Brasil,,,"Votorantim, Prometalica (?)",Indicated,0,
Brazil,Americano do Brasil,,,"Votorantim, Prometalica (?)",Inferred,3.09,1.12
Brazil,Pedra Branca (PGEs),,,ValOre Metals Corp,Measured,0,
Brazil,Pedra Branca (PGEs),,,ValOre Metals Corp,Indicated,0,
Brazil,Pedra Branca (PGEs),,,ValOre Metals Corp,Inferred,27.2,0.18
Brazil,Limoeiro,,,Votorantim (?),Measured,0,
Brazil,Limoeiro,,,Votorantim (?),Indicated,0,
Brazil,Limoeiro,,,Votorantim (?),Inferred,35,0.25
Burundi,Nyabikere,,,unknown,Measured,0,
Burundi,Nyabikere,,,unknown,Indicated,0,
Burundi,Nyabikere,,,unknown,Inferred,46,1.45
Burundi,Waga,,,unknown,Measured,0,
Burundi,Waga,,,unknown,Indicated,0,
Burundi,Waga,,,unknown,Inferred,38,1.38
Burundi,Musongati,,,Burundi Mining & Metallurgy,Measured,0,
Burundi,Musongati,,,Burundi Mining & Metallurgy,Indicated,46.84,1.59
Burundi,Musongati,,,Burundi Mining & Metallurgy,Inferred,103.34,1.19
Cameroon,Nkamouna-Mada,,,Geovic Mining Corp,Measured,59.805,0.68
Cameroon,Nkamouna-Mada,,,Geovic Mining Corp,Indicated,54.169,0.63
Cameroon,Nkamouna-Mada,,,Geovic Mining Corp,Inferred,202.6,0.59
Canada,Decar-Baptiste,,,FPX Nickel Corp,Measured,0,
Canada,Decar-Baptiste,,,FPX Nickel Corp,Indicated,"1,906.6",0.121
Canada,Decar-Baptiste,,,FPX Nickel Corp,Inferred,504.9,0.097
Canada,Old Nick,,,Huakan Int'l Mining,Measured,0,
Canada,Old Nick,,,Huakan Int'l Mining,Indicated,0,
Canada,Old Nick,,,Huakan Int'l Mining,Inferred,30.50,0.160
Canada,Buckton-Buckton South,,,DNI Metals,Measured,0,
Canada,Buckton-Buckton South,,,DNI Metals,Indicated,271.9,0.007
Canada,Buckton-Buckton South,,,DNI Metals,Inferred,"4,937.1",0.007
Canada,Roughrider East/West,,,Rio Tinto,Measured,0,
Canada,Roughrider East/West,,,Rio Tinto,Indicated,0.3942,0.02
Canada,Roughrider East/West,,,Rio Tinto,Inferred,0.1616,0.14
Canada,Waterbury Lake,,,Fission Energy,Measured,0,
Canada,Waterbury Lake,,,Fission Energy,Indicated,0.458,0.04
Canada,Waterbury Lake,,,Fission Energy,Inferred,0.239,0.02
Canada,Turnagain,,,Giga Metals Corp,Measured,360.913,0.230
Canada,Turnagain,,,Giga Metals Corp,Indicated,712.406,0.215
Canada,Turnagain,,,Giga Metals Corp,Inferred,"1,142.1",0.220
Canada,Alexo-Kelex,,,Tartisan Nickel,Measured,0,
Canada,Alexo-Kelex,,,Tartisan Nickel,Indicated,0.473,0.96
Canada,Alexo-Kelex,,,Tartisan Nickel,Inferred,0.066,0.82
Canada,Crawford,,,Canada Nickel Company,Measured,204.9,0.24
Canada,Crawford,,,Canada Nickel Company,Indicated,395.5,0.26
Canada,Crawford,,,Canada Nickel Company,Inferred,310.5,0.23
Canada,Dumont,,,RNC Minerals,Measured,372.1,0.28
Canada,Dumont,,,RNC Minerals,Indicated,"1,293.5",0.26
Canada,Dumont,,,RNC Minerals,Inferred,499.8,0.26
Canada,Dundonald,,,Class 1 Nickel,Measured,0,
Canada,Dundonald,,,Class 1 Nickel,Indicated,0,
Canada,Dundonald,,,Class 1 Nickel,Inferred,0.116,3.16
Canada,Grasset,,,Balmoral Resources,Measured,0,
Canada,Grasset,,,Balmoral Resources,Indicated,15.564,0.72
Canada,Grasset,,,Balmoral Resources,Inferred,2.999,0.43
Canada,Junior Lake-B4-7 / Alpha,,,Landore Resources,Measured,0,
Canada,Junior Lake-B4-7 / Alpha,,,Landore Resources,Indicated,3.292,0.62
Canada,Junior Lake-B4-7 / Alpha,,,Landore Resources,Inferred,0.568,0.61
Canada,Junior Lake-VW,,,Landore Resources,Measured,0,
Canada,Junior Lake-VW,,,Landore Resources,Indicated,1.084,0.63
Canada,Junior Lake-VW,,,Landore Resources,Inferred,0.18,0.60
Canada,Marbridge-Cubric,,,Class 1 Nickel,Measured,0,
Canada,Marbridge-Cubric,,,Class 1 Nickel,Indicated,0,
Canada,Marbridge-Cubric,,,Class 1 Nickel,Inferred,0.2,0.85
Canada,Shaw Dome-Hart,,,Northern Sun Mining,Measured,0,
Canada,Shaw Dome-Hart,,,Northern Sun Mining,Indicated,1.546,1.40
Canada,Shaw Dome-Hart,,,Northern Sun Mining,Inferred,0.322,1.27
Canada,Shaw Dome-McWatters,,,Northern Sun Mining,Measured,0,
Canada,Shaw Dome-McWatters,,,Northern Sun Mining,Indicated,0,
Canada,Shaw Dome-McWatters,,,Northern Sun Mining,Inferred,0.793,0.81
Canada,Shaw Dome-Redstone,,,Northern Sun Mining,Measured,0.148,2.43
Canada,Shaw Dome-Redstone,,,Northern Sun Mining,Indicated,0.451,1.16
Canada,Shaw Dome-Redstone,,,Northern Sun Mining,Inferred,0.737,1.57
Canada,Texmont,,,Fletcher Nickel (?),Measured,0,
Canada,Texmont,,,Fletcher Nickel (?),Indicated,0,
Canada,Texmont,,,Fletcher Nickel (?),Inferred,3.19,0.92
Canada,Denison,,,Lonmin,Measured,0,
Canada,Denison,,,Lonmin,Indicated,0.575,0.40
Canada,Denison,,,Lonmin,Inferred,0.382,0.51
Canada,Nickel King (Thye Lake),,,Strongbow Exploration,Measured,0,
Canada,Nickel King (Thye Lake),,,Strongbow Exploration,Indicated,14.082,0.35
Canada,Nickel King (Thye Lake),,,Strongbow Exploration,Inferred,43.974,0.31
Canada,Owen,,,Sudbury Platinum,Measured,0,
Canada,Owen,,,Sudbury Platinum,Indicated,0,
Canada,Owen,,,Sudbury Platinum,Inferred,0.093,0.53
Canada,Sudbury Group (Glencore),46.58103,-80.79985,Glencore,Measured,5.68,1.59
Canada,Sudbury Group (Glencore),46.58103,-80.79985,Glencore,Indicated,23.25,2.10
Canada,Sudbury Group (Glencore),46.58103,-80.79985,Glencore,Inferred,25,0.9
Canada,Sudbury Group (Vale),46.49230,-81.06776,Vale,Measured,20.9,1.65
Canada,Sudbury Group (Vale),46.49230,-81.06776,Vale,Indicated,40.8,1.27
Canada,Sudbury Group (Vale),46.49230,-81.06776,Vale,Inferred,0,
Canada,Sudbury-Aer-Kidd,46.39759,-81.42692,Sudbury Platinum,Measured,0,
Canada,Sudbury-Aer-Kidd,46.39759,-81.42692,Sudbury Platinum,Indicated,0,
Canada,Sudbury-Aer-Kidd,46.39759,-81.42692,Sudbury Platinum,Inferred,0.661,0.57
Canada,Sudbury-Lockerby / Conwest,46.42380,-81.38751,Transition Metals Corp,Measured,0,
Canada,Sudbury-Lockerby / Conwest,46.42380,-81.38751,Transition Metals Corp,Indicated,9.741,0.63
Canada,Sudbury-Lockerby / Conwest,46.42380,-81.38751,Transition Metals Corp,Inferred,2.57,0.7
Canada,Sudbury-Parkin Offset,46.80500,-80.87806,"Wallbridge Mining, Glencore",Measured,0,
Canada,Sudbury-Parkin Offset,46.80500,-80.87806,"Wallbridge Mining, Glencore",Indicated,0.264,0.65
Canada,Sudbury-Parkin Offset,46.80500,-80.87806,"Wallbridge Mining, Glencore",Inferred,0.087,0.4
Canada,Sudbury-Podolsky (KGHM),46.77810,-80.87570,KGHM International,Measured,0.42,0.36
Canada,Sudbury-Podolsky (KGHM),46.77810,-80.87570,KGHM International,Indicated,6.70,0.72
Canada,Sudbury-Podolsky (KGHM),46.77810,-80.87570,KGHM International,Inferred,0.32,0.32
Canada,Sudbury-Lockerby East,46.42380,-81.38751,Sudbury Platinum,Measured,0,
Canada,Sudbury-Lockerby East,46.42380,-81.38751,Sudbury Platinum,Indicated,0.18,2.32
Canada,Sudbury-Lockerby East,46.42380,-81.38751,Sudbury Platinum,Inferred,0.04,2.93
Canada,Sudbury-Nickel Lake / Foy Offset,46.74104,-81.13276,unclear - KGHM?,Measured,0,
Canada,Sudbury-Nickel Lake / Foy Offset,46.74104,-81.13276,unclear - KGHM?,Indicated,1.56,0.94
Canada,Sudbury-Nickel Lake / Foy Offset,46.74104,-81.13276,unclear - KGHM?,Inferred,0.8,1.17
Canada,Sudbury-Victoria (KGHM),46.42380,-81.38751,KGHM International,Measured,0,
Canada,Sudbury-Victoria (KGHM),46.42380,-81.38751,KGHM International,Indicated,0,
Canada,Sudbury-Victoria (KGHM),46.42380,-81.38751,KGHM International,Inferred,14.2,2.5
Canada,Sudbury-Kirkwood (KGHM),46.56702,-80.89786,KGHM International,Measured,0,
Canada,Sudbury-Kirkwood (KGHM),46.56702,-80.89786,KGHM International,Indicated,0.56,1.17
Canada,Sudbury-Kirkwood (KGHM),46.56702,-80.89786,KGHM International,Inferred,1.59,1.27
Canada,Sudbury-West Graham,46.41797,-81.31286,"Sudbury Platinum, Landore Resources",Measured,0,
Canada,Sudbury-West Graham,46.41797,-81.31286,"Sudbury Platinum, Landore Resources",Indicated,8.55,0.45
Canada,Sudbury-West Graham,46.41797,-81.31286,"Sudbury Platinum, Landore Resources",Inferred,2.0,0.38
Canada,Cat Lake-New Manitoba,,,unknown,Measured,0,
Canada,Cat Lake-New Manitoba,,,unknown,Indicated,0,
Canada,Cat Lake-New Manitoba,,,unknown,Inferred,2,0.33
Canada,Kenbridge,,,Transition Metals Corp,Measured,4.464,0.42
Canada,Kenbridge,,,Transition Metals Corp,Indicated,2.675,0.96
Canada,Kenbridge,,,Transition Metals Corp,Inferred,0.118,1.38
Canada,Lac des Iles,,,North American Palladium,Measured,22.32,0.07
Canada,Lac des Iles,,,North American Palladium,Indicated,50.657,0.07
Canada,Lac des Iles,,,North American Palladium,Inferred,8.235,0.07
Canada,Lac Rocher,,,Victory Nickel,Measured,0.286,1.23
Canada,Lac Rocher,,,Victory Nickel,Indicated,0.513,1.05
Canada,Lac Rocher,,,Victory Nickel,Inferred,0.439,0.65
Canada,Werner Lake-Norpax,,,Global Cobalt Corp,Measured,0,
Canada,Werner Lake-Norpax,,,Global Cobalt Corp,Indicated,0,
Canada,Werner Lake-Norpax,,,Global Cobalt Corp,Inferred,1.01,1.2
Canada,Werner Lake-Big Zone,,,"Global Cobalt Corp, Global Energy Metals Corp",Measured,0,
Canada,Werner Lake-Big Zone,,,"Global Cobalt Corp, Global Energy Metals Corp",Indicated,0,
Canada,Werner Lake-Big Zone,,,"Global Cobalt Corp, Global Energy Metals Corp",Inferred,0.172,0.62
Canada,Mel,,,Victory Nickel,Measured,0,
Canada,Mel,,,Victory Nickel,Indicated,4.279,0.875
Canada,Mel,,,Victory Nickel,Inferred,1.01,0.839
Canada,Minago,,,Victory Nickel,Measured,9.053,0.30
Canada,Minago,,,Victory Nickel,Indicated,35.333,0.30
Canada,Minago,,,Victory Nickel,Inferred,11.812,0.30
Canada,Thompson,,,Vale,Measured,1.866,1.87
Canada,Thompson,,,Vale,Indicated,14.1,1.64
Canada,Thompson,,,Vale,Inferred,0,
Canada,Bucko Lake,,,unknown,Measured,1.367,1.40
Canada,Bucko Lake,,,unknown,Indicated,4.839,1.40
Canada,Bucko Lake,,,unknown,Inferred,5.043,1.41
Canada,Raglan,,,Glencore,Measured,6.5,3.75
Canada,Raglan,,,Glencore,Indicated,14.2,3.15
Canada,Raglan,,,Glencore,Inferred,14,3.0
Canada,Raglan-Nunavik Group #1,,,Jilin Jien Nickel (?),Measured,0.560,0.93
Canada,Raglan-Nunavik Group #1,,,Jilin Jien Nickel (?),Indicated,21.04,0.92
Canada,Raglan-Nunavik Group #1,,,Jilin Jien Nickel (?),Inferred,5.227,0.72
Canada,Raglan-Nunavik Group #2,,,Jilin Jien Nickel (?),Measured,0,
Canada,Raglan-Nunavik Group #2,,,Jilin Jien Nickel (?),Indicated,5.641,0.60
Canada,Raglan-Nunavik Group #2,,,Jilin Jien Nickel (?),Inferred,1.777,0.56
Canada,Blue Lake,,,unknown,Measured,0,
Canada,Blue Lake,,,unknown,Indicated,0,
Canada,Blue Lake,,,unknown,Inferred,4.375,0.52
Canada,Canalask-Onion,,,Victoria Gold Corp,Measured,0,
Canada,Canalask-Onion,,,Victoria Gold Corp,Indicated,0,
Canada,Canalask-Onion,,,Victoria Gold Corp,Inferred,0.390,1.35
Canada,Eagle's Nest,,,Noront Resources,Measured,5.346,2.08
Canada,Eagle's Nest,,,Noront Resources,Indicated,5.643,1.50
Canada,Eagle's Nest,,,Noront Resources,Inferred,8.966,1.10
Canada,Ferguson Lake,,,unknown,Measured,0,
Canada,Ferguson Lake,,,unknown,Indicated,15.8,0.65
Canada,Ferguson Lake,,,unknown,Inferred,30.2,0.67
Canada,Geordie Lake,,,Sibanye-Stillwater,Measured,13.97,0.009
Canada,Geordie Lake,,,Sibanye-Stillwater,Indicated,37.54,0.01
Canada,Geordie Lake,,,Sibanye-Stillwater,Inferred,17.92,0.009
Canada,Lac Kelly (Quebec),,,Globex Mining,Measured,0,
Canada,Lac Kelly (Quebec),,,Globex Mining,Indicated,0,
Canada,Lac Kelly (Quebec),,,Globex Mining,Inferred,1.4,0.7
Canada,Lac Levac-Nisk 1,,,Nemaska Lithium (?),Measured,1.255,1.09
Canada,Lac Levac-Nisk 1,,,Nemaska Lithium (?),Indicated,0.783,1.00
Canada,Lac Levac-Nisk 1,,,Nemaska Lithium (?),Inferred,1.053,0.81
Canada,Lynn Lake,,,"Corazon Mining, Victory Nickel",Measured,0,
Canada,Lynn Lake,,,"Corazon Mining, Victory Nickel",Indicated,1.899,0.7
Canada,Lynn Lake,,,"Corazon Mining, Victory Nickel",Inferred,2.403,0.86
Canada,Makwa (Maskwa),,,Grid Metals,Measured,0,
Canada,Makwa (Maskwa),,,Grid Metals,Indicated,7.2,0.61
Canada,Makwa (Maskwa),,,Grid Metals,Inferred,0.673,0.27
Canada,Mayville,,,Grid Metals,Measured,0,
Canada,Mayville,,,Grid Metals,Indicated,27.9,0.18
Canada,Mayville,,,Grid Metals,Inferred,5.3,0.18
Canada,Nicobi,,,Western Troy Capital Resources (?),Measured,0,
Canada,Nicobi,,,Western Troy Capital Resources (?),Indicated,0,
Canada,Nicobi,,,Western Troy Capital Resources (?),Inferred,1.8,0.47
Canada,Norton Lake,,,Copper Lake Resources,Measured,1.770,0.67
Canada,Norton Lake,,,Copper Lake Resources,Indicated,0.489,0.67
Canada,Norton Lake,,,Copper Lake Resources,Inferred,0.199,0.66
Canada,River Valley,,,New Age Metals,Measured,56.10,0.02
Canada,River Valley,,,New Age Metals,Indicated,43.16,0.02
Canada,River Valley,,,New Age Metals,Inferred,52.31,0.02
Canada,Shakespeare,,,private equity,Measured,0,
